Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1011,13
は,は,は,助詞 係助詞 * * * *,906,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,849,13
に,に,に,助詞 格助詞 * * * *,773,13
が,が,が,助詞 格助詞 * * * *,586,13
て,て,て,助詞 接続助詞 * * * *,577,13
を,を,を,助詞 格助詞 * * * *,577,13
ジョー,ジョー,ジョー,名詞 固有名詞 人名 一般 * *,486,12
よ,よ,よ,助詞 終助詞 * * * *,470,13
ん,ん,の,助詞 準体助詞 * * * *,443,13
も,も,も,助詞 係助詞 * * * *,383,13
南部,南部,南部,名詞 普通名詞 一般 * * *,346,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,335,13
で,で,で,助詞 格助詞 * * * *,332,13
か,か,か,助詞 終助詞 * * * *,302,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,301,13
と,と,と,助詞 格助詞 * * * *,300,13
な,な,な,助詞 終助詞 * * * *,255,13
の,の,の,助詞 準体助詞 * * * *,249,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,230,13
俺,俺,俺,代名詞 * * * * *,223,13
って,って,って,助詞 副助詞 * * * *,205,13
あっ,あっ,あっ,感動詞 一般 * * * *,199,13
サチオ,サチオ,サチオ,名詞 固有名詞 人名 名 * *,195,11
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,189,13
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,186,13
こと,こと,こと,名詞 普通名詞 一般 * * *,161,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,149,13
勇利,勇利,勇利,名詞 固有名詞 人名 名 * *,141,11
が,が,が,助詞 接続助詞 * * * *,132,13
ハァ,ハァ,はあ,感動詞 一般 * * * *,129,13
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,125,13
ああ,ああ,ああ,感動詞 一般 * * * *,123,13
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,121,13
うっ,うっ,うう,感動詞 一般 * * * *,117,12
ああっ,ああっ,ああ,感動詞 一般 * * * *,108,12
おっ,おっ,伯父,名詞 普通名詞 一般 * * *,107,13
おめえ,おめえ,御前,代名詞 * * * * *,104,13
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,104,13
観客,観客,観客,名詞 普通名詞 一般 * * *,103,11
さん,さん,さん,接尾辞 名詞的 一般 * * *,102,13
あんた,あんた,貴方,代名詞 * * * * *,101,13
