Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,128,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,99,2
加藤,加藤,加藤,名詞 固有名詞 人名 姓 * *,95,2
は,は,は,助詞 係助詞 * * * *,86,2
て,て,て,助詞 接続助詞 * * * *,66,2
に,に,に,助詞 格助詞 * * * *,64,2
を,を,を,助詞 格助詞 * * * *,60,2
が,が,が,助詞 格助詞 * * * *,52,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,50,2
で,で,で,助詞 格助詞 * * * *,50,2
よ,よ,よ,助詞 終助詞 * * * *,50,2
か,か,か,助詞 終助詞 * * * *,47,2
ん,ん,の,助詞 準体助詞 * * * *,47,2
音,音,音,名詞 普通名詞 一般 * * *,42,2
大助,大助,大助,名詞 固有名詞 人名 名 * *,40,2
と,と,と,助詞 格助詞 * * * *,35,2
も,も,も,助詞 係助詞 * * * *,34,2
ヨーコ,ヨーコ,ヨーコ,名詞 固有名詞 人名 名 * *,32,1
ヒロシ,ヒロシ,ヒロシ,名詞 固有名詞 人名 名 * *,31,1
亀井,亀井,亀井,名詞 固有名詞 人名 姓 * *,30,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,29,2
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,28,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,28,2
あっ,あっ,あっ,感動詞 一般 * * * *,25,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,24,2
なん,なん,何,代名詞 * * * * *,24,2
〜,〜,〜,補助記号 一般 * * * *,23,2
っす,っす,っす,助動詞 * * * 助動詞-デス 終止形-一般,23,2
な,な,な,助詞 終助詞 * * * *,23,2
の,の,の,助詞 準体助詞 * * * *,23,2
さん,さん,さん,接尾辞 名詞的 一般 * * *,22,2
あ,あ,あっ,感動詞 一般 * * * *,21,2
おい,おい,おい,感動詞 一般 * * * *,21,2
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,21,2
ね,ね,ね,助詞 終助詞 * * * *,20,2
俺,俺,俺,代名詞 * * * * *,20,2
から,から,から,助詞 格助詞 * * * *,19,2
か,か,か,助詞 副助詞 * * * *,18,2
って,って,って,助詞 副助詞 * * * *,18,2
芸人,芸人,芸人,名詞 普通名詞 一般 * * *,18,1
三田,三田,三田,名詞 固有名詞 地名 一般 * *,17,1
こと,こと,こと,名詞 普通名詞 一般 * * *,16,2
どう,どう,どう,副詞 * * * * *,16,2
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,16,2
うっ,うっ,うう,感動詞 一般 * * * *,15,2
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,15,2
お前,お前,御前,代名詞 * * * * *,14,2
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,14,2
ん,ん,ん,助詞 格助詞 * * * *,14,2
車,車,車,名詞 普通名詞 一般 * * *,14,2
ああ,ああ,ああ,感動詞 一般 * * * *,12,2
お,お,御,接頭辞 * * * * *,12,2
ここ,ここ,此処,代名詞 * * * * *,12,2
この,この,此の,連体詞 * * * * *,12,2
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,12,2
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,12,2
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,12,2
一,一,1,名詞 数詞 * * * *,12,2
え,え,え,助詞 終助詞 * * * *,11,2
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,11,2
課,課,課,名詞 普通名詞 助数詞可能 * * *,11,2
から,から,から,助詞 接続助詞 * * * *,10,2
それ,それ,其れ,代名詞 * * * * *,10,2
たち,たち,達,接尾辞 名詞的 一般 * * *,10,2
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,10,2
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,10,2
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,10,2
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,10,2
ヒュスク,ヒュスク,ヒュスク,名詞 普通名詞 一般 * * *,10,2
女,女,女,名詞 普通名詞 一般 * * *,10,2
清水,清水,清水,名詞 固有名詞 人名 姓 * *,10,2
けど,けど,けれど,助詞 接続助詞 * * * *,9,2
これ,これ,此れ,代名詞 * * * * *,9,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,9,2
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,9,2
神戸,神戸,神戸,名詞 固有名詞 地名 一般 * *,9,2
伊勢崎,伊勢崎,伊勢崎,名詞 固有名詞 地名 一般 * *,9,1
くっ,くっ,くっ,感動詞 一般 * * * *,8,2
す,す,っす,助動詞 * * * 助動詞-デス 終止形-一般,8,2
ヤツ,ヤツ,奴,名詞 普通名詞 一般 * * *,8,2
誰,誰,誰,代名詞 * * * * *,8,2
あの,あの,彼の,連体詞 * * * * *,8,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,7,2
あれ,あれ,彼れ,代名詞 * * * * *,7,2
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,7,2
いや,いや,否,感動詞 一般 * * * *,7,2
し,し,し,助詞 接続助詞 * * * *,7,2
ちょっと,ちょっと,一寸,副詞 * * * * *,7,2
て,てる,てる,助動詞 * * * 下一段-タ行 連体形-省略,7,2
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,7,2
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,7,2
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,7,2
クソッ,クソッ,くそ,感動詞 一般 * * * *,7,2
何,何,何,代名詞 * * * * *,7,2
組,組,組,名詞 普通名詞 助数詞可能 * * *,7,2
無理,無理,無理,名詞 普通名詞 形状詞可能 * * *,7,1
えっ,えっ,えっ,感動詞 一般 * * * *,6,2
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,6,2
そう,そう,そう,副詞 * * * * *,6,2
ため,ため,為,名詞 普通名詞 副詞可能 * * *,6,2
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,6,2
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,6,2
もう,もう,もう,副詞 * * * * *,6,2
ら,ら,等,接尾辞 名詞的 一般 * * *,6,2
ドア,ドア,ドア,名詞 普通名詞 一般 * * *,6,2
一体,一体,一体,名詞 普通名詞 一般 * * *,6,2
全て,全て,全て,名詞 普通名詞 副詞可能 * * *,6,2
時,時,時,名詞 普通名詞 助数詞可能 * * *,6,2
男,男,男,名詞 普通名詞 一般 * * *,6,2
シャッター,シャッター,シャッター,名詞 普通名詞 一般 * * *,6,1
星野,星野,星野,名詞 固有名詞 人名 姓 * *,6,1
本山,本山,本山,名詞 普通名詞 一般 * * *,6,1
権田原,権田原,権田原,名詞 固有名詞 地名 一般 * *,6,1
無線,無線,無線,名詞 普通名詞 一般 * * *,6,1
あと,あと,後,名詞 普通名詞 副詞可能 * * *,5,2
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,5,2
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,5,2
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,5,2
が,が,が,助詞 接続助詞 * * * *,5,2
つもり,つもり,積もり,名詞 普通名詞 一般 * * *,5,2
てん,てる,てる,助動詞 * * * 下一段-タ行 連体形-撥音便,5,2
なっ,なっ,なあ,感動詞 一般 * * * *,5,2
ば,ば,ば,助詞 接続助詞 * * * *,5,2
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,5,2
まで,まで,まで,助詞 副助詞 * * * *,5,2
よう,よう,様,形状詞 助動詞語幹 * * * *,5,2
分,分,分,名詞 普通名詞 助数詞可能 * * *,5,2
別,別,別,名詞 普通名詞 形状詞可能 * * *,5,2
早く,早い,早い,形容詞 一般 * * 形容詞 連用形-一般,5,2
金,金,金,名詞 普通名詞 一般 * * *,5,2
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,5,1
え,え,えっ,感動詞 一般 * * * *,5,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,5,1
パトカー,パトカー,パトカー,名詞 普通名詞 一般 * * *,5,1
パーティー,パーティー,パーティー,名詞 普通名詞 一般 * * *,5,1
ヤクザ,ヤクザ,やくざ,名詞 普通名詞 形状詞可能 * * *,5,1
仲本,仲本,仲本,名詞 固有名詞 人名 姓 * *,5,1
子,子,子,名詞 普通名詞 一般 * * *,5,1
店員,店員,店員,名詞 普通名詞 一般 * * *,5,1
犯人,犯人,犯人,名詞 普通名詞 一般 * * *,5,1
衝撃,衝撃,衝撃,名詞 普通名詞 一般 * * *,5,1
買っ,買う,買う,動詞 一般 * * 五段-ワア行 連用形-促音便,5,1
あいつ,あいつ,彼奴,代名詞 * * * * *,4,2
あれ,あれ,あれ,感動詞 一般 * * * *,4,2
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,4,2
いくら,いくら,幾ら,名詞 普通名詞 副詞可能 * * *,4,2
いたし,いたす,致す,動詞 非自立可能 * * 五段-サ行 連用形-一般,4,2
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,4,2
え,え,えー,感動詞 フィラー * * * *,4,2
ええ,ええ,ええ,感動詞 一般 * * * *,4,2
かける,かける,掛ける,動詞 非自立可能 * * 下一段-カ行 連体形-一般,4,2
