Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1742,18
に,に,に,助詞 格助詞 * * * *,1484,18
は,は,は,助詞 係助詞 * * * *,1291,18
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1158,18
を,を,を,助詞 格助詞 * * * *,1070,18
て,て,て,助詞 接続助詞 * * * *,1062,18
が,が,が,助詞 格助詞 * * * *,954,18
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,604,18
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,580,18
で,で,で,助詞 格助詞 * * * *,577,18
も,も,も,助詞 係助詞 * * * *,544,18
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,534,18
か,か,か,助詞 終助詞 * * * *,499,18
と,と,と,助詞 格助詞 * * * *,486,18
よ,よ,よ,助詞 終助詞 * * * *,478,18
な,な,な,助詞 終助詞 * * * *,434,18
ん,ん,の,助詞 準体助詞 * * * *,414,18
の,の,の,助詞 準体助詞 * * * *,351,18
吾郎,吾郎,吾郎,名詞 固有名詞 人名 名 * *,289,17
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,280,18
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,263,18
宇宙,宇宙,宇宙,名詞 普通名詞 一般 * * *,252,17
俺,俺,俺,代名詞 * * * * *,250,18
って,って,って,助詞 副助詞 * * * *,239,18
ね,ね,ね,助詞 終助詞 * * * *,221,18
か,か,か,助詞 副助詞 * * * *,212,18
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,209,18
何,何,何,代名詞 * * * * *,198,18
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,192,18
から,から,から,助詞 格助詞 * * * *,191,18
こと,こと,こと,名詞 普通名詞 一般 * * *,191,17
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,189,18
さん,さん,さん,接尾辞 名詞的 一般 * * *,173,16
わ,わ,わ,助詞 終助詞 * * * *,157,17
どう,どう,どう,副詞 * * * * *,155,18
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,155,18
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,154,18
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,154,18
から,から,から,助詞 接続助詞 * * * *,145,18
が,が,が,助詞 接続助詞 * * * *,143,18
ああ,ああ,ああ,感動詞 一般 * * * *,142,17
