Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1484,12
は,は,は,助詞 係助詞 * * * *,1037,12
に,に,に,助詞 格助詞 * * * *,989,12
て,て,て,助詞 接続助詞 * * * *,827,12
を,を,を,助詞 格助詞 * * * *,745,12
が,が,が,助詞 格助詞 * * * *,617,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,541,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,489,12
も,も,も,助詞 係助詞 * * * *,472,12
と,と,と,助詞 格助詞 * * * *,434,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,430,12
エクス,エクス,エクス,名詞 固有名詞 地名 一般 * *,427,12
よ,よ,よ,助詞 終助詞 * * * *,345,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,337,12
で,で,で,助詞 格助詞 * * * *,332,12
ね,ね,ね,助詞 終助詞 * * * *,305,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,304,12
レイナ,レイナ,レイナ,名詞 固有名詞 人名 一般 * *,294,12
の,の,の,助詞 準体助詞 * * * *,288,12
タオ,タオ,タオ,名詞 固有名詞 人名 一般 * *,287,11
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,286,12
か,か,か,助詞 終助詞 * * * *,283,12
たち,たち,達,接尾辞 名詞的 一般 * * *,246,12
ん,ん,の,助詞 準体助詞 * * * *,243,12
こと,こと,こと,名詞 普通名詞 一般 * * *,216,12
シェイン,シェイン,シェーン,名詞 固有名詞 人名 一般 * *,196,11
な,な,な,助詞 終助詞 * * * *,192,12
この,この,此の,連体詞 * * * * *,189,12
それ,それ,其れ,代名詞 * * * * *,185,12
って,って,って,助詞 副助詞 * * * *,171,12
私,私,私,代名詞 * * * * *,171,12
･,・,・,補助記号 一般 * * * *,164,12
あ,あ,あっ,感動詞 一般 * * * *,161,12
か,か,か,助詞 副助詞 * * * *,158,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,153,12
〜,〜,〜,補助記号 一般 * * * *,148,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,143,12
お,お,御,接頭辞 * * * * *,135,12
わ,わ,わ,助詞 終助詞 * * * *,134,12
あっ,あっ,あっ,感動詞 一般 * * * *,127,12
から,から,から,助詞 格助詞 * * * *,127,12
そう,そう,そう,副詞 * * * * *,127,12
これ,これ,此れ,代名詞 * * * * *,122,12
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,121,12
運命,運命,運命,名詞 普通名詞 一般 * * *,119,12
どう,どう,どう,副詞 * * * * *,118,12
アリス,アリス,アリス,名詞 固有名詞 人名 一般 * *,116,8
あなた,あなた,貴方,代名詞 * * * * *,113,12
様,様,様,接尾辞 名詞的 一般 * * *,111,11
なん,なん,何,代名詞 * * * * *,109,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,109,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,108,12
その,その,其の,連体詞 * * * * *,107,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,107,12
から,から,から,助詞 接続助詞 * * * *,106,12
僕,僕,僕,代名詞 * * * * *,105,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,103,12
カオス,カオス,カオス,名詞 普通名詞 一般 * * *,95,12
の,の,の,助詞 終助詞 * * * *,94,12
ハァ,ハァ,はあ,感動詞 一般 * * * *,94,10
ああ,ああ,ああ,感動詞 一般 * * * *,93,12
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,92,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,91,11
シンデレラ,シンデレラ,シンデレラ,名詞 固有名詞 人名 一般 * *,88,8
が,が,が,助詞 接続助詞 * * * *,87,12
何,何,何,代名詞 * * * * *,86,12
区,区,区,接尾辞 名詞的 一般 * * *,82,12
想,想,想,名詞 普通名詞 一般 * * *,82,12
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,79,12
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,77,12
俺,俺,俺,代名詞 * * * * *,77,12
書,書,書,名詞 普通名詞 一般 * * *,77,11
あの,あの,彼の,連体詞 * * * * *,76,12
姫,姫,姫,名詞 普通名詞 一般 * * *,76,7
ヴィラン,ヴィラン,ビラン,名詞 普通名詞 一般 * * *,75,8
赤,赤,赤,名詞 普通名詞 一般 * * *,75,6
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,74,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,73,12
ここ,ここ,此処,代名詞 * * * * *,73,11
アラジン,アラジン,アラジン,名詞 固有名詞 人名 一般 * *,73,3
テラー,テラー,テラー,名詞 普通名詞 一般 * * *,71,12
今,今,今,名詞 普通名詞 副詞可能 * * *,71,12
けど,けど,けれど,助詞 接続助詞 * * * *,70,12
ら,ら,等,接尾辞 名詞的 一般 * * *,69,11
へ,へ,へ,助詞 格助詞 * * * *,68,12
ずきん,ずきん,頭巾,名詞 普通名詞 一般 * * *,67,5
ば,ば,ば,助詞 接続助詞 * * * *,66,12
よう,よう,様,形状詞 助動詞語幹 * * * *,66,12
白雪,白雪,白雪,名詞 普通名詞 一般 * * *,65,5
ゲルダ,ゲルダ,ゲルダ,名詞 固有名詞 人名 一般 * *,64,4
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,62,12
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,61,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,60,12
本当,本当,本当,名詞 普通名詞 一般 * * *,60,12
だけ,だけ,だけ,助詞 副助詞 * * * *,59,12
シルバー,シルバー,シルバー,名詞 普通名詞 一般 * * *,59,6
