Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,5713,74
は,は,は,助詞 係助詞 * * * *,4674,74
て,て,て,助詞 接続助詞 * * * *,4512,74
に,に,に,助詞 格助詞 * * * *,3920,74
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,3645,74
も,も,も,助詞 係助詞 * * * *,2997,74
が,が,が,助詞 格助詞 * * * *,2801,74
を,を,を,助詞 格助詞 * * * *,2748,74
よ,よ,よ,助詞 終助詞 * * * *,2153,74
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1984,74
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1980,74
で,で,で,助詞 格助詞 * * * *,1847,74
ん,ん,の,助詞 準体助詞 * * * *,1829,74
喪黒,喪黒,喪黒,名詞 固有名詞 人名 姓 * *,1690,74
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1567,74
と,と,と,助詞 格助詞 * * * *,1567,74
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1515,74
か,か,か,助詞 終助詞 * * * *,1497,74
の,の,の,助詞 準体助詞 * * * *,1440,74
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,1429,74
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,1316,74
さん,さん,さん,接尾辞 名詞的 一般 * * *,1297,74
ね,ね,ね,助詞 終助詞 * * * *,1263,74
私,私,私,代名詞 * * * * *,1260,73
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,1235,74
お,お,御,接頭辞 * * * * *,1196,74
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,1136,74
あっ,あっ,あっ,感動詞 一般 * * * *,1127,74
あなた,あなた,貴方,代名詞 * * * * *,1064,74
な,な,な,助詞 終助詞 * * * *,1000,74
から,から,から,助詞 接続助詞 * * * *,829,74
それ,それ,其れ,代名詞 * * * * *,764,74
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,742,74
こと,こと,こと,名詞 普通名詞 一般 * * *,734,74
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,703,74
どう,どう,どう,副詞 * * * * *,686,74
ああ,ああ,ああ,感動詞 一般 * * * *,672,74
何,何,何,代名詞 * * * * *,647,74
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,605,74
この,この,此の,連体詞 * * * * *,546,74
僕,僕,僕,代名詞 * * * * *,531,68
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,525,74
人,人,人,名詞 普通名詞 一般 * * *,525,74
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,513,74
これ,これ,此れ,代名詞 * * * * *,510,73
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,510,72
って,って,って,助詞 副助詞 * * * *,508,72
ココロ,ココロ,心,名詞 普通名詞 サ変可能 * * *,505,73
えっ,えっ,えっ,感動詞 一般 * * * *,500,71
か,か,か,助詞 副助詞 * * * *,498,74
そう,そう,そう,副詞 * * * * *,497,74
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,484,72
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,462,73
が,が,が,助詞 接続助詞 * * * *,461,72
あの,あの,彼の,連体詞 * * * * *,447,73
もう,もう,もう,副詞 * * * * *,419,73
ああっ,ああっ,ああ,感動詞 一般 * * * *,415,71
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,408,73
から,から,から,助詞 格助詞 * * * *,403,72
よう,よう,様,形状詞 助動詞語幹 * * * *,393,74
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,391,74
ござい,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,365,73
っ,っ,っ,補助記号 一般 * * * *,365,63
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,357,72
そんな,そんな,そんな,連体詞 * * * * *,355,74
うん,うん,うん,感動詞 一般 * * * *,352,69
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,345,73
ば,ば,ば,助詞 接続助詞 * * * *,337,73
その,その,其の,連体詞 * * * * *,335,72
はあ,はあ,はあ,感動詞 一般 * * * *,333,70
わ,わ,わ,助詞 終助詞 * * * *,331,70
ホーッホッホッホッホッ,ホーッホッホッホッホッ,ホーッホッホッホッホッ,名詞 普通名詞 一般 * * *,327,74
で,で,で,助詞 接続助詞 * * * *,326,73
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,319,72
なん,なん,何,代名詞 * * * * *,318,69
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,317,73
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,311,72
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,309,73
でしょう,です,です,助動詞 * * * 助動詞-デス 意志推量形,307,73
男,男,男,名詞 普通名詞 一般 * * *,299,73
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,299,69
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,297,43
お客様,お客様,御客様,名詞 普通名詞 一般 * * *,296,72
音,音,音,名詞 普通名詞 一般 * * *,284,70
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,281,70
ええっ,ええっ,ええ,感動詞 一般 * * * *,274,68
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,273,70
と,と,と,助詞 接続助詞 * * * *,271,72
いやあ,いやあ,いや,感動詞 一般 * * * *,271,70
はい,はい,はい,感動詞 一般 * * * *,271,69
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,270,70
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,268,72
だけ,だけ,だけ,助詞 副助詞 * * * *,263,65
なんて,なんて,なんて,助詞 副助詞 * * * *,260,70
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,257,69
スキマ,スキマ,隙間,名詞 普通名詞 一般 * * *,255,73
うっ,うっ,うう,感動詞 一般 * * * *,255,60
たち,たち,達,接尾辞 名詞的 一般 * * *,250,69
ここ,ここ,此処,代名詞 * * * * *,248,62
より,より,より,助詞 格助詞 * * * *,242,73
しかし,しかし,然し,接続詞 * * * * *,241,71
ましょう,ます,ます,助動詞 * * * 助動詞-マス 意志推量形,240,72
あーっ,あーっ,ああ,感動詞 一般 * * * *,238,66
へ,へ,へ,助詞 格助詞 * * * *,235,66
ええ,ええ,ええ,感動詞 一般 * * * *,231,70
じゃ,じゃ,で,助詞 格助詞 * * * *,230,71
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,228,54
君,君,君,代名詞 * * * * *,225,58
一,一,1,名詞 数詞 * * * *,222,71
こんな,こんな,こんな,連体詞 * * * * *,222,67
ハア,ハア,はあ,感動詞 一般 * * * *,222,49
