Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1928,32
は,は,は,助詞 係助詞 * * * *,1644,32
に,に,に,助詞 格助詞 * * * *,1312,32
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1272,32
を,を,を,助詞 格助詞 * * * *,1226,32
て,て,て,助詞 接続助詞 * * * *,1112,32
が,が,が,助詞 格助詞 * * * *,914,32
と,と,と,助詞 格助詞 * * * *,778,32
も,も,も,助詞 係助詞 * * * *,740,32
で,で,で,助詞 格助詞 * * * *,664,32
よ,よ,よ,助詞 終助詞 * * * *,660,32
〜,〜,〜,補助記号 一般 * * * *,608,32
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,596,32
って,って,って,助詞 副助詞 * * * *,578,32
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,554,32
か,か,か,助詞 終助詞 * * * *,456,32
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,454,32
ん,ん,の,助詞 準体助詞 * * * *,396,32
ば,ば,ば,助詞 接続助詞 * * * *,394,32
こと,こと,こと,名詞 普通名詞 一般 * * *,374,32
の,の,の,助詞 準体助詞 * * * *,370,32
な,な,な,助詞 終助詞 * * * *,354,30
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,310,32
ね,ね,ね,助詞 終助詞 * * * *,308,32
サイ,サイ,サイ,名詞 普通名詞 一般 * * *,308,28
ナルト,ナルト,ナルト,名詞 固有名詞 人名 名 * *,290,32
オレ,オレ,俺,代名詞 * * * * *,282,32
それ,それ,其れ,代名詞 * * * * *,268,32
ヤマト,ヤマト,ヤマト,名詞 固有名詞 地名 一般 * *,258,32
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,242,32
から,から,から,助詞 接続助詞 * * * *,232,32
サスケ,サスケ,サスケ,名詞 固有名詞 人名 名 * *,228,24
丸,丸,丸,接尾辞 名詞的 一般 * * *,224,30
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,220,32
この,この,此の,連体詞 * * * * *,220,30
サクラ,サクラ,桜,名詞 普通名詞 一般 * * *,210,32
お前,お前,御前,代名詞 * * * * *,202,30
そう,そう,そう,副詞 * * * * *,200,32
これ,これ,此れ,代名詞 * * * * *,198,30
から,から,から,助詞 格助詞 * * * *,192,32
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,184,30
か,か,か,助詞 副助詞 * * * *,180,32
大蛇,大蛇,大蛇,名詞 普通名詞 一般 * * *,180,22
ノ,ノ,の,助詞 格助詞 * * * *,168,24
何,何,何,代名詞 * * * * *,164,32
その,その,其の,連体詞 * * * * *,162,32
なん,なん,何,代名詞 * * * * *,154,32
君,君,君,接尾辞 名詞的 一般 * * *,154,28
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,152,30
木,木,木,名詞 普通名詞 一般 * * *,142,28
どう,どう,どう,副詞 * * * * *,140,32
キミ,キミ,君,代名詞 * * * * *,138,26
が,が,が,助詞 接続助詞 * * * *,134,30
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,130,32
けど,けど,けれど,助詞 接続助詞 * * * *,130,30
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,128,30
あの,あの,彼の,連体詞 * * * * *,126,28
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,124,30
カカシ,カカシ,カカシ,名詞 固有名詞 人名 名 * *,122,20
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,118,30
チャクラ,チャクラ,チャクラ,名詞 普通名詞 一般 * * *,118,24
葉,葉,葉,名詞 普通名詞 一般 * * *,116,24
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,114,28
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,112,32
の,の,の,助詞 終助詞 * * * *,110,32
よう,よう,様,形状詞 助動詞語幹 * * * *,106,30
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,104,30
術,術,術,名詞 普通名詞 一般 * * *,104,24
任務,任務,任務,名詞 普通名詞 一般 * * *,102,22
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,100,32
ここ,ここ,此処,代名詞 * * * * *,100,24
力,力,力,名詞 普通名詞 一般 * * *,98,22
性質,性質,性質,名詞 普通名詞 一般 * * *,98,10
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,96,30
たち,たち,達,接尾辞 名詞的 一般 * * *,94,26
まで,まで,まで,助詞 副助詞 * * * *,92,32
だけ,だけ,だけ,助詞 副助詞 * * * *,92,26
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,92,24
変化,変化,変化,名詞 普通名詞 サ変可能 * * *,90,14
今,今,今,名詞 普通名詞 副詞可能 * * *,88,26
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,86,28
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,86,26
サクラ,サクラ,サクラ,名詞 固有名詞 人名 名 * *,86,26
ため,ため,為,名詞 普通名詞 副詞可能 * * *,86,24
