Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,358,1
て,て,て,助詞 接続助詞 * * * *,328,1
に,に,に,助詞 格助詞 * * * *,291,1
は,は,は,助詞 係助詞 * * * *,278,1
が,が,が,助詞 格助詞 * * * *,233,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,232,1
よ,よ,よ,助詞 終助詞 * * * *,229,1
〜,〜,〜,補助記号 一般 * * * *,211,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,204,1
も,も,も,助詞 係助詞 * * * *,184,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,173,1
の,の,の,助詞 準体助詞 * * * *,164,1
ん,ん,の,助詞 準体助詞 * * * *,163,1
って,って,って,助詞 副助詞 * * * *,157,1
で,で,で,助詞 格助詞 * * * *,146,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,143,1
と,と,と,助詞 格助詞 * * * *,126,1
を,を,を,助詞 格助詞 * * * *,121,1
そう,そう,そう,副詞 * * * * *,113,1
ね,ね,ね,助詞 終助詞 * * * *,99,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,95,1
私,私,私,代名詞 * * * * *,94,1
の,の,の,助詞 終助詞 * * * *,93,1
か,か,か,助詞 終助詞 * * * *,91,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,89,1
こと,こと,こと,名詞 普通名詞 一般 * * *,81,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,77,1
タエ子,タエ子,タエ子,名詞 固有名詞 人名 名 * *,77,1
から,から,から,助詞 接続助詞 * * * *,76,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,71,1
か,か,か,助詞 副助詞 * * * *,65,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,62,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,54,1
あっ,あっ,あっ,感動詞 一般 * * * *,52,1
お,お,御,接頭辞 * * * * *,52,1
わ,わ,わ,助詞 終助詞 * * * *,51,1
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,48,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,46,1
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,45,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,44,1
何,何,何,代名詞 * * * * *,42,1
な,な,な,助詞 終助詞 * * * *,41,1
けど,けど,けれど,助詞 接続助詞 * * * *,39,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,39,1
くん,くん,君,接尾辞 名詞的 一般 * * *,38,1
それ,それ,其れ,代名詞 * * * * *,35,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,35,1
どう,どう,どう,副詞 * * * * *,35,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,35,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,33,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,33,1
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,33,1
うん,うん,うん,感動詞 一般 * * * *,31,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,31,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,31,1
だけ,だけ,だけ,助詞 副助詞 * * * *,30,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,28,1
なぁ,なぁ,な,助詞 終助詞 * * * *,28,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,28,1
ねぇ,ねぇ,ね,助詞 終助詞 * * * *,28,1
人,人,人,名詞 普通名詞 一般 * * *,28,1
から,から,から,助詞 格助詞 * * * *,27,1
あの,あの,彼の,連体詞 * * * * *,26,1
子,子,子,名詞 普通名詞 一般 * * *,26,1
で,で,で,助詞 接続助詞 * * * *,25,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,25,1
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,25,1
時,時,時,名詞 普通名詞 副詞可能 * * *,25,1
田舎,田舎,田舎,名詞 普通名詞 一般 * * *,24,1
この,この,此の,連体詞 * * * * *,23,1
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,23,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,23,1
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,23,1
もう,もう,もう,副詞 * * * * *,23,1
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,23,1
その,その,其の,連体詞 * * * * *,22,1
俺,俺,俺,代名詞 * * * * *,22,1
子,子,子,接尾辞 名詞的 一般 * * *,22,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,21,1
ば,ば,ば,助詞 接続助詞 * * * *,21,1
風呂,風呂,風呂,名詞 普通名詞 一般 * * *,21,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,20,1
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,20,1
これ,これ,此れ,代名詞 * * * * *,19,1
なんか,なんか,なんか,助詞 副助詞 * * * *,19,1
もん,もん,もの,助詞 終助詞 * * * *,19,1
好き,好き,好き,形状詞 一般 * * * *,19,1
母,母,母,名詞 普通名詞 一般 * * *,19,1
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,19,1
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,18,1
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,18,1
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,18,1
なんて,なんて,なんて,助詞 副助詞 * * * *,18,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,18,1
今,今,今,名詞 普通名詞 副詞可能 * * *,18,1
そんな,そんな,そんな,連体詞 * * * * *,17,1
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,17,1
フ,フ,フ,名詞 普通名詞 一般 * * *,17,1
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,16,1
あべ,あべ,あべ,名詞 固有名詞 地名 一般 * *,16,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,16,1
ほら,ほら,ほら,感動詞 一般 * * * *,16,1
ヤエ子,ヤエ子,ヤエ子,名詞 固有名詞 人名 名 * *,16,1
年生,年生,年生,接尾辞 名詞的 助数詞 * * *,16,1
気,気,気,名詞 普通名詞 一般 * * *,16,1
農業,農業,農業,名詞 普通名詞 一般 * * *,16,1
達,達,達,接尾辞 名詞的 一般 * * *,16,1
あ〜,あ〜,ああ,感動詞 一般 * * * *,15,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,15,1
えっ,えっ,えっ,感動詞 一般 * * * *,15,1
たり,たり,たり,助詞 副助詞 * * * *,15,1
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,15,1
ほう,ほう,方,名詞 普通名詞 一般 * * *,15,1
もの,もの,物,名詞 普通名詞 サ変可能 * * *,15,1
ツネ,ツネ,ツネ,名詞 固有名詞 人名 名 * *,15,1
ナナ,ナナ,ナナ,名詞 固有名詞 人名 一般 * *,15,1
ハハハ,ハハハ,ははは,感動詞 一般 * * * *,15,1
さ,さ,さ,助詞 終助詞 * * * *,14,1
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,14,1
はい,はい,はい,感動詞 一般 * * * *,14,1
べ,べ,べい,助詞 終助詞 * * * *,14,1
ホント,ホント,本当,名詞 普通名詞 一般 * * *,14,1
握手,握手,握手,名詞 普通名詞 サ変可能 * * *,14,1
東京,東京,東京,名詞 固有名詞 地名 一般 * *,14,1
花,花,花,名詞 普通名詞 一般 * * *,14,1
行く,行く,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,14,1
あ,あ,あっ,感動詞 一般 * * * *,13,1
し,し,し,助詞 接続助詞 * * * *,13,1
と,と,と,助詞 接続助詞 * * * *,13,1
ねぇ,ねぇ,ねえ,感動詞 一般 * * * *,13,1
や,や,や,助詞 副助詞 * * * *,13,1
よう,よう,様,形状詞 助動詞語幹 * * * *,13,1
フフフ,フフフ,ふふふ,感動詞 一般 * * * *,13,1
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,13,1
生理,生理,生理,名詞 普通名詞 一般 * * *,13,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,12,1
あんた,あんた,貴方,代名詞 * * * * *,12,1
いけ,いける,行く,動詞 非自立可能 * * 下一段-カ行 未然形-一般,12,1
いや,いや,否,感動詞 一般 * * * *,12,1
お母さん,お母さん,お母さん,名詞 普通名詞 一般 * * *,12,1
ここ,ここ,此処,代名詞 * * * * *,12,1
なかっ,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-促音便,12,1
トシオ,トシオ,トシオ,名詞 普通名詞 一般 * * *,12,1
トシオ,トシオ,トシオ,名詞 固有名詞 人名 一般 * *,12,1
ハァ,ハァ,はあ,感動詞 一般 * * * *,12,1
・,・,・,補助記号 一般 * * * *,12,1
