Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,4329,45
の,の,の,助詞 格助詞 * * * *,4003,45
に,に,に,助詞 格助詞 * * * *,3120,45
を,を,を,助詞 格助詞 * * * *,3119,45
て,て,て,助詞 接続助詞 * * * *,2844,45
が,が,が,助詞 格助詞 * * * *,2114,45
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2053,45
と,と,と,助詞 格助詞 * * * *,1674,45
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1310,45
の,の,の,助詞 準体助詞 * * * *,1268,45
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1243,45
も,も,も,助詞 係助詞 * * * *,1216,45
で,で,で,助詞 格助詞 * * * *,1201,45
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1043,45
か,か,か,助詞 終助詞 * * * *,977,45
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,866,45
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,821,45
こと,こと,こと,名詞 普通名詞 一般 * * *,743,45
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,669,45
な,な,な,助詞 終助詞 * * * *,661,45
この,この,此の,連体詞 * * * * *,517,45
何,何,何,代名詞 * * * * *,509,45
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,506,45
ガンダム,ガンダム,ガンダム,名詞 固有名詞 一般 * * *,501,44
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,459,45
ん,ん,の,助詞 準体助詞 * * * *,438,44
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,419,45
コロニー,コロニー,コロニー,名詞 普通名詞 一般 * * *,405,45
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,393,44
私,私,私,代名詞 * * * * *,390,44
モビル,モビル,モビル,名詞 普通名詞 一般 * * *,385,45
･,・,・,補助記号 一般 * * * *,384,43
それ,それ,其れ,代名詞 * * * * *,379,45
が,が,が,助詞 接続助詞 * * * *,377,45
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,373,44
俺,俺,俺,代名詞 * * * * *,368,43
よ,よ,よ,助詞 終助詞 * * * *,366,45
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,364,45
その,その,其の,連体詞 * * * * *,347,45
か,か,か,助詞 副助詞 * * * *,345,45
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,342,45
ば,ば,ば,助詞 接続助詞 * * * *,340,45
これ,これ,此れ,代名詞 * * * * *,332,44
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,325,45
宇宙,宇宙,宇宙,名詞 普通名詞 一般 * * *,321,43
たち,たち,達,接尾辞 名詞的 一般 * * *,314,44
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,312,45
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,309,44
ヒイロ,ヒイロ,ヒイロ,名詞 普通名詞 一般 * * *,300,41
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,298,43
お,お,御,接頭辞 * * * * *,290,42
