Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
音楽,音楽,音楽,名詞 普通名詞 一般 * * *,27,1
て,て,て,助詞 接続助詞 * * * *,24,1
の,の,の,助詞 格助詞 * * * *,23,1
は,は,は,助詞 係助詞 * * * *,19,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,18,1
が,が,が,助詞 格助詞 * * * *,15,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,15,1
に,に,に,助詞 格助詞 * * * *,15,1
よ,よ,よ,助詞 終助詞 * * * *,15,1
で,で,で,助詞 格助詞 * * * *,13,1
も,も,も,助詞 係助詞 * * * *,13,1
ん,ん,の,助詞 準体助詞 * * * *,13,1
ああ,ああ,ああ,感動詞 一般 * * * *,10,1
を,を,を,助詞 格助詞 * * * *,9,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,8,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,8,1
と,と,と,助詞 格助詞 * * * *,8,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,8,1
ええ,ええ,ええ,感動詞 一般 * * * *,6,1
か,か,か,助詞 副助詞 * * * *,6,1
し,し,し,助詞 接続助詞 * * * *,6,1
の,の,の,助詞 準体助詞 * * * *,6,1
お,お,御,接頭辞 * * * * *,5,1
か,か,か,助詞 終助詞 * * * *,5,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,5,1
けど,けど,けれど,助詞 接続助詞 * * * *,4,1
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,4,1
ね,ね,ね,助詞 終助詞 * * * *,4,1
よう,よう,様,形状詞 助動詞語幹 * * * *,4,1
サウナ,サウナ,サウナ,名詞 普通名詞 一般 * * *,4,1
拍手,拍手,拍手,名詞 普通名詞 サ変可能 * * *,4,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,3,1
から,から,から,助詞 格助詞 * * * *,3,1
さ,さ,さ,接尾辞 名詞的 一般 * * *,3,1
その,その,其の,連体詞 * * * * *,3,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,3,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,3,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,3,1
どう,どう,どう,副詞 * * * * *,3,1
な,な,な,助詞 終助詞 * * * *,3,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,3,1
