Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,204,2
キノ,キノ,キノ,名詞 普通名詞 一般 * * *,193,2
の,の,の,助詞 格助詞 * * * *,176,2
て,て,て,助詞 接続助詞 * * * *,169,2
に,に,に,助詞 格助詞 * * * *,165,2
が,が,が,助詞 格助詞 * * * *,124,2
エルメス,エルメス,エルメス,名詞 固有名詞 人名 一般 * *,122,2
を,を,を,助詞 格助詞 * * * *,115,2
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,112,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,100,2
も,も,も,助詞 係助詞 * * * *,97,2
で,で,で,助詞 格助詞 * * * *,86,2
ん,ん,の,助詞 準体助詞 * * * *,81,2
ね,ね,ね,助詞 終助詞 * * * *,78,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,73,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,72,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,71,2
と,と,と,助詞 格助詞 * * * *,70,2
よ,よ,よ,助詞 終助詞 * * * *,62,2
か,か,か,助詞 終助詞 * * * *,57,2
それ,それ,其れ,代名詞 * * * * *,50,2
の,の,の,助詞 準体助詞 * * * *,49,2
師匠,師匠,師匠,名詞 普通名詞 一般 * * *,47,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,43,2
って,って,って,助詞 副助詞 * * * *,39,2
国,国,国,名詞 普通名詞 一般 * * *,37,2
か,か,か,助詞 副助詞 * * * *,34,2
こと,こと,こと,名詞 普通名詞 一般 * * *,33,2
さん,さん,さん,接尾辞 名詞的 一般 * * *,32,2
私,私,私,代名詞 * * * * *,32,2
この,この,此の,連体詞 * * * * *,31,2
お,お,御,接頭辞 * * * * *,30,2
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,29,2
どう,どう,どう,副詞 * * * * *,28,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,28,2
はい,はい,はい,感動詞 一般 * * * *,28,2
人,人,人,名詞 普通名詞 一般 * * *,28,2
あ,あ,あっ,感動詞 一般 * * * *,26,2
から,から,から,助詞 接続助詞 * * * *,26,2
そう,そう,そう,副詞 * * * * *,26,2
