Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,929,12
て,て,て,助詞 接続助詞 * * * *,902,12
に,に,に,助詞 格助詞 * * * *,849,12
の,の,の,助詞 格助詞 * * * *,811,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,759,12
が,が,が,助詞 格助詞 * * * *,595,12
も,も,も,助詞 係助詞 * * * *,493,12
で,で,で,助詞 格助詞 * * * *,471,12
よ,よ,よ,助詞 終助詞 * * * *,450,12
を,を,を,助詞 格助詞 * * * *,450,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,449,12
と,と,と,助詞 格助詞 * * * *,444,12
ん,ん,の,助詞 準体助詞 * * * *,437,12
の,の,の,助詞 準体助詞 * * * *,388,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,365,12
か,か,か,助詞 終助詞 * * * *,361,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,353,12
立花,立花,立花,名詞 固有名詞 人名 姓 * *,322,12
何,何,何,代名詞 * * * * *,304,12
ね,ね,ね,助詞 終助詞 * * * *,259,12
俺,俺,俺,代名詞 * * * * *,256,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,243,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,239,12
から,から,から,助詞 接続助詞 * * * *,222,12
か,か,か,助詞 副助詞 * * * *,209,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,208,12
って,って,って,助詞 副助詞 * * * *,202,12
な,な,な,助詞 終助詞 * * * *,197,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,191,12
この,この,此の,連体詞 * * * * *,176,12
こと,こと,こと,名詞 普通名詞 一般 * * *,174,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,169,12
えッ,えッ,えっ,感動詞 一般 * * * *,152,12
あの,あの,彼の,連体詞 * * * * *,146,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,143,12
けど,けど,けれど,助詞 接続助詞 * * * *,124,12
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,120,12
それ,それ,其れ,代名詞 * * * * *,118,12
お前,お前,御前,代名詞 * * * * *,117,12
松岡,松岡,松岡,名詞 固有名詞 人名 姓 * *,117,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,115,12
そう,そう,そう,副詞 * * * * *,112,12
もう,もう,もう,副詞 * * * * *,101,12
君,君,君,代名詞 * * * * *,100,12
緑,緑,緑,名詞 普通名詞 一般 * * *,100,10
お,お,御,接頭辞 * * * * *,99,12
人,人,人,名詞 普通名詞 一般 * * *,98,12
あッ,あッ,あっ,感動詞 一般 * * * *,97,12
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,95,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,92,12
〜,〜,〜,補助記号 一般 * * * *,87,12
