Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,71,1
の,の,の,助詞 格助詞 * * * *,64,1
〜,〜,〜,補助記号 一般 * * * *,59,1
て,て,て,助詞 接続助詞 * * * *,54,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,47,1
に,に,に,助詞 格助詞 * * * *,43,1
も,も,も,助詞 係助詞 * * * *,35,1
が,が,が,助詞 格助詞 * * * *,31,1
を,を,を,助詞 格助詞 * * * *,30,1
よ,よ,よ,助詞 終助詞 * * * *,29,1
か,か,か,助詞 終助詞 * * * *,28,1
な,な,な,助詞 終助詞 * * * *,25,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,24,1
と,と,と,助詞 格助詞 * * * *,23,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,21,1
で,で,で,助詞 格助詞 * * * *,20,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,20,1
の,の,の,助詞 準体助詞 * * * *,20,1
番,番,番,名詞 普通名詞 助数詞可能 * * *,20,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,19,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,19,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,18,1
兎角,兎角,兎角,名詞 固有名詞 人名 名 * *,18,1
ん,ん,の,助詞 準体助詞 * * * *,15,1
って,って,って,助詞 副助詞 * * * *,14,1
伊介,伊介,伊介,名詞 固有名詞 人名 名 * *,14,1
晴,晴,晴れ,名詞 普通名詞 一般 * * *,14,1
こと,こと,こと,名詞 普通名詞 一般 * * *,13,1
か,か,か,助詞 副助詞 * * * *,12,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,12,1
ね,ね,ね,助詞 終助詞 * * * *,12,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,12,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,11,1
私,私,私,代名詞 * * * * *,11,1
組,組,組,名詞 普通名詞 助数詞可能 * * *,11,1
黒,黒,黒,名詞 普通名詞 一般 * * *,11,1
あっ,あっ,あっ,感動詞 一般 * * * *,10,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,10,1
お,お,御,接頭辞 * * * * *,10,1
っす,っす,っす,助動詞 * * * 助動詞-デス 終止形-一般,10,1
どう,どう,どう,副詞 * * * * *,10,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,10,1
鳰,鳰,鳰,名詞 普通名詞 一般 * * *,10,1
お前,お前,御前,代名詞 * * * * *,9,1
から,から,から,助詞 接続助詞 * * * *,9,1
出席,出席,出席,名詞 普通名詞 サ変可能 * * *,9,1
東,東,東,名詞 固有名詞 人名 姓 * *,9,1
番号,番号,番号,名詞 普通名詞 一般 * * *,9,1
一ノ瀬,一ノ瀬,一ノ瀬,名詞 固有名詞 人名 姓 * *,8,1
春紀,春紀,春紀,名詞 固有名詞 人名 名 * *,8,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,7,1
から,から,から,助詞 格助詞 * * * *,7,1
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,7,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,7,1
それ,それ,其れ,代名詞 * * * * *,7,1
よろしく,よろしく,宜しく,副詞 * * * * *,7,1
晴,晴,晴,名詞 固有名詞 人名 名 * *,7,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,6,1
そう,そう,そう,副詞 * * * * *,6,1
だけ,だけ,だけ,助詞 副助詞 * * * *,6,1
