Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,107,2
は,は,は,助詞 係助詞 * * * *,85,2
て,て,て,助詞 接続助詞 * * * *,80,2
に,に,に,助詞 格助詞 * * * *,80,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,68,2
を,を,を,助詞 格助詞 * * * *,65,2
が,が,が,助詞 格助詞 * * * *,60,2
と,と,と,助詞 格助詞 * * * *,51,2
も,も,も,助詞 係助詞 * * * *,51,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,40,2
外,外,外,名詞 普通名詞 一般 * * *,37,1
か,か,か,助詞 終助詞 * * * *,33,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,33,2
な,な,な,助詞 終助詞 * * * *,33,2
よ,よ,よ,助詞 終助詞 * * * *,32,2
ん,ん,の,助詞 準体助詞 * * * *,32,2
って,って,って,助詞 副助詞 * * * *,31,2
で,で,で,助詞 格助詞 * * * *,30,2
〜,〜,〜,補助記号 一般 * * * *,29,2
たち,たち,達,接尾辞 名詞的 一般 * * *,26,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,23,2
あっ,あっ,あっ,感動詞 一般 * * * *,22,2
か,か,か,助詞 副助詞 * * * *,22,2
の,の,の,助詞 準体助詞 * * * *,22,2
俺,俺,俺,代名詞 * * * * *,22,2
そう,そう,そう,副詞 * * * * *,20,2
こと,こと,こと,名詞 普通名詞 一般 * * *,19,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,19,2
サトシ,サトシ,サトシ,名詞 固有名詞 人名 名 * *,18,2
なん,なん,何,代名詞 * * * * *,17,2
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,16,2
ね,ね,ね,助詞 終助詞 * * * *,15,2
から,から,から,助詞 接続助詞 * * * *,14,2
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,14,2
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,14,2
ミュウ,ミュウ,ミュウ,名詞 固有名詞 一般 * * *,13,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,12,2
お,お,御,接頭辞 * * * * *,12,2
その,その,其の,連体詞 * * * * *,12,2
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,12,2
ば,ば,ば,助詞 接続助詞 * * * *,12,2
進化,進化,進化,名詞 普通名詞 サ変可能 * * *,12,2
から,から,から,助詞 格助詞 * * * *,11,2
この,この,此の,連体詞 * * * * *,11,2
もう,もう,もう,副詞 * * * * *,11,2
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,11,1
これ,これ,此れ,代名詞 * * * * *,10,2
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,10,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,10,2
コハル,コハル,コハル,名詞 固有名詞 人名 名 * *,10,2
ソウ,ソウ,そう,副詞 * * * * *,10,1
えっ,えっ,えっ,感動詞 一般 * * * *,9,2
が,が,が,助詞 接続助詞 * * * *,9,2
けど,けど,けれど,助詞 接続助詞 * * * *,9,2
ここ,ここ,此処,代名詞 * * * * *,9,2
それ,それ,其れ,代名詞 * * * * *,9,2
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,9,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,9,2
冒険,冒険,冒険,名詞 普通名詞 サ変可能 * * *,9,2
ミュー,ミュー,μ,記号 文字 * * * *,9,1
ロケット,ロケット,ロケット,名詞 普通名詞 一般 * * *,9,1
博士,博士,博士,名詞 普通名詞 一般 * * *,9,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,8,2
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,8,2
