Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
〜,〜,〜,補助記号 一般 * * * *,631,10
の,の,の,助詞 格助詞 * * * *,508,10
は,は,は,助詞 係助詞 * * * *,435,10
て,て,て,助詞 接続助詞 * * * *,433,10
に,に,に,助詞 格助詞 * * * *,405,10
を,を,を,助詞 格助詞 * * * *,364,10
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,311,10
あっ,あっ,あっ,感動詞 一般 * * * *,304,10
が,が,が,助詞 格助詞 * * * *,304,10
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,285,10
通信,通信,通信,名詞 普通名詞 サ変可能 * * *,269,10
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,243,10
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,219,10
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,218,10
･,・,・,補助記号 一般 * * * *,212,10
よ,よ,よ,助詞 終助詞 * * * *,210,10
で,で,で,助詞 格助詞 * * * *,188,10
も,も,も,助詞 係助詞 * * * *,186,10
ん,ん,の,助詞 準体助詞 * * * *,183,10
と,と,と,助詞 格助詞 * * * *,175,10
はぁ,はぁ,はあ,感動詞 一般 * * * *,148,10
管制官,管制官,管制官,名詞 普通名詞 一般 * * *,147,9
か,か,か,助詞 終助詞 * * * *,145,10
つむぎ,つむぎ,紬,名詞 普通名詞 一般 * * *,144,10
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,129,10
奇,奇,奇,名詞 普通名詞 形状詞可能 * * *,119,9
子,子,子,名詞 普通名詞 一般 * * *,119,9
ね,ね,ね,助詞 終助詞 * * * *,113,10
居,居る,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,113,9
の,の,の,助詞 準体助詞 * * * *,109,10
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,107,10
纈,纈,纈,名詞 普通名詞 一般 * * *,104,10
こと,こと,こと,名詞 普通名詞 一般 * * *,89,10
さん,さん,さん,接尾辞 名詞的 一般 * * *,81,10
えっ,えっ,えっ,感動詞 一般 * * * *,80,10
これ,これ,此れ,代名詞 * * * * *,80,10
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,80,10
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,80,10
どう,どう,どう,副詞 * * * * *,78,9
個体,個体,個体,名詞 普通名詞 一般 * * *,78,8
岐,岐,岐,名詞 固有名詞 人名 名 * *,77,9
な,な,な,助詞 終助詞 * * * *,76,10
わ,わ,わ,助詞 終助詞 * * * *,72,10
神,神,神,名詞 普通名詞 一般 * * *,72,9
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,71,10
融合,融合,融合,名詞 普通名詞 サ変可能 * * *,71,8
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,70,10
の,の,の,助詞 終助詞 * * * *,70,10
操縦士,操縦士,操縦士,名詞 普通名詞 一般 * * *,69,10
信,信,信,名詞 普通名詞 一般 * * *,69,5
念,念,念,名詞 普通名詞 一般 * * *,69,5
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,68,10
私,私,私,代名詞 * * * * *,66,10
何,何,何,代名詞 * * * * *,65,10
はい,はい,はい,感動詞 一般 * * * *,65,9
長道,長道,長道,名詞 普通名詞 一般 * * *,64,10
から,から,から,助詞 格助詞 * * * *,60,10
って,って,って,助詞 副助詞 * * * *,58,10
あぁ,あぁ,ああ,感動詞 一般 * * * *,57,10
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,56,10
か,か,か,助詞 副助詞 * * * *,55,10
サマリ,サマリ,サマリー,名詞 普通名詞 一般 * * *,55,10
谷風,谷風,谷風,名詞 固有名詞 人名 姓 * *,54,10
この,この,此の,連体詞 * * * * *,54,9
お,お,御,接頭辞 * * * * *,52,9
