Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,7634,124
に,に,に,助詞 格助詞 * * * *,6980,124
は,は,は,助詞 係助詞 * * * *,6839,124
て,て,て,助詞 接続助詞 * * * *,5999,124
を,を,を,助詞 格助詞 * * * *,4708,124
が,が,が,助詞 格助詞 * * * *,4534,124
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,4448,124
も,も,も,助詞 係助詞 * * * *,3885,124
で,で,で,助詞 格助詞 * * * *,3607,124
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,3447,124
な,な,な,助詞 終助詞 * * * *,3446,124
か,か,か,助詞 終助詞 * * * *,3318,124
よ,よ,よ,助詞 終助詞 * * * *,2948,124
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,2534,124
と,と,と,助詞 格助詞 * * * *,2533,124
ん,ん,の,助詞 準体助詞 * * * *,2421,124
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,2352,124
の,の,の,助詞 準体助詞 * * * *,1772,124
〜,〜,〜,補助記号 一般 * * * *,1544,124
この,この,此の,連体詞 * * * * *,1452,124
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,1385,124
俺,俺,俺,代名詞 * * * * *,1384,124
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,1383,124
から,から,から,助詞 接続助詞 * * * *,1306,124
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,1296,124
か,か,か,助詞 副助詞 * * * *,1270,124
お前,お前,御前,代名詞 * * * * *,1134,123
マイク,マイク,マイク,名詞 普通名詞 一般 * * *,1112,45
ね,ね,ね,助詞 終助詞 * * * *,1086,124
こと,こと,こと,名詞 普通名詞 一般 * * *,1083,124
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,1014,119
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,1007,124
って,って,って,助詞 副助詞 * * * *,999,122
から,から,から,助詞 格助詞 * * * *,986,124
これ,これ,此れ,代名詞 * * * * *,925,124
降谷,降谷,降谷,名詞 固有名詞 人名 姓 * *,874,115
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,860,124
御幸,御幸,御幸,名詞 普通名詞 一般 * * *,858,123
君,君,君,接尾辞 名詞的 一般 * * *,813,120
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,803,124
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,790,123
あの,あの,彼の,連体詞 * * * * *,783,123
だけ,だけ,だけ,助詞 副助詞 * * * *,772,123
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,764,123
試合,試合,試合,名詞 普通名詞 サ変可能 * * *,760,120
アウト,アウト,アウト,名詞 普通名詞 一般 * * *,743,104
まで,まで,まで,助詞 副助詞 * * * *,721,122
ここ,ここ,此処,代名詞 * * * * *,713,123
けど,けど,けれど,助詞 接続助詞 * * * *,712,122
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,704,124
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,702,121
ボール,ボール,ボール,名詞 普通名詞 一般 * * *,688,88
それ,それ,其れ,代名詞 * * * * *,679,124
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,674,120
回,回,回,名詞 普通名詞 助数詞可能 * * *,666,112
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,665,120
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,663,123
チーム,チーム,チーム,名詞 普通名詞 一般 * * *,659,113
たち,たち,達,接尾辞 名詞的 一般 * * *,647,114
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,640,123
沢村,沢村,沢村,名詞 固有名詞 人名 姓 * *,624,110
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,617,119
