Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,4963,63
は,は,は,助詞 係助詞 * * * *,4203,63
て,て,て,助詞 接続助詞 * * * *,3915,63
に,に,に,助詞 格助詞 * * * *,3638,63
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,3361,63
を,を,を,助詞 格助詞 * * * *,3197,63
が,が,が,助詞 格助詞 * * * *,2661,63
〜,〜,〜,補助記号 一般 * * * *,2350,63
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,2036,63
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1833,63
も,も,も,助詞 係助詞 * * * *,1794,63
と,と,と,助詞 格助詞 * * * *,1771,63
で,で,で,助詞 格助詞 * * * *,1668,63
よ,よ,よ,助詞 終助詞 * * * *,1615,63
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1605,63
の,の,の,助詞 準体助詞 * * * *,1557,63
ん,ん,の,助詞 準体助詞 * * * *,1503,63
か,か,か,助詞 終助詞 * * * *,1333,63
ね,ね,ね,助詞 終助詞 * * * *,1229,63
ポケモン,ポケモン,ポケモン,名詞 普通名詞 一般 * * *,1223,63
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,1210,63
たち,たち,達,接尾辞 名詞的 一般 * * *,999,60
サトシ,サトシ,サトシ,名詞 固有名詞 人名 名 * *,954,63
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,940,63
ピカチュウ,ピカチュウ,ピカチュウ,名詞 固有名詞 一般 * * *,938,63
な,な,な,助詞 終助詞 * * * *,844,62
ピカ,ピカ,ぴか,副詞 * * * * *,801,63
こと,こと,こと,名詞 普通名詞 一般 * * *,694,62
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,692,63
この,この,此の,連体詞 * * * * *,616,63
ニャ,ニャ,ニャ,名詞 普通名詞 一般 * * *,613,38
って,って,って,助詞 副助詞 * * * *,536,62
それ,それ,其れ,代名詞 * * * * *,529,63
わ,わ,わ,助詞 終助詞 * * * *,527,61
どう,どう,どう,副詞 * * * * *,523,62
か,か,か,助詞 副助詞 * * * *,518,63
さん,さん,さん,接尾辞 名詞的 一般 * * *,516,56
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,502,61
