Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,570,2
は,は,は,助詞 係助詞 * * * *,480,2
に,に,に,助詞 格助詞 * * * *,441,2
を,を,を,助詞 格助詞 * * * *,373,2
て,て,て,助詞 接続助詞 * * * *,336,2
が,が,が,助詞 格助詞 * * * *,284,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,256,2
〜,〜,〜,補助記号 一般 * * * *,231,2
よ,よ,よ,助詞 終助詞 * * * *,224,2
無線,無線,無線,名詞 普通名詞 一般 * * *,209,2
も,も,も,助詞 係助詞 * * * *,208,2
で,で,で,助詞 格助詞 * * * *,192,2
と,と,と,助詞 格助詞 * * * *,176,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,142,2
ね,ね,ね,助詞 終助詞 * * * *,133,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,130,2
の,の,の,助詞 準体助詞 * * * *,130,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,129,2
わ,わ,わ,助詞 終助詞 * * * *,124,2
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,123,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,116,2
ん,ん,の,助詞 準体助詞 * * * *,114,2
女,女,女,名詞 普通名詞 一般 * * *,107,2
何,何,何,代名詞 * * * * *,103,2
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,97,2
か,か,か,助詞 終助詞 * * * *,96,2
第,第,第,接頭辞 * * * * *,96,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,95,2
エヴァ,エヴァ,エバ,名詞 固有名詞 人名 一般 * *,94,2
シンジ,シンジ,シンジ,名詞 固有名詞 人名 名 * *,92,2
リツコ,リツコ,リツコ,名詞 固有名詞 人名 名 * *,84,2
って,って,って,助詞 副助詞 * * * *,82,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,81,2
ミサト,ミサト,ミサト,名詞 固有名詞 一般 * * *,77,2
君,君,君,接尾辞 名詞的 一般 * * *,77,2
の,の,の,助詞 終助詞 * * * *,73,2
こと,こと,こと,名詞 普通名詞 一般 * * *,70,2
男,男,男,名詞 普通名詞 一般 * * *,66,2
から,から,から,助詞 接続助詞 * * * *,65,2
機,機,機,名詞 普通名詞 助数詞可能 * * *,64,2
マヤ,マヤ,マヤ,名詞 固有名詞 地名 一般 * *,61,2
初号,初号,初号,名詞 普通名詞 一般 * * *,59,2
な,な,な,助詞 終助詞 * * * *,58,2
僕,僕,僕,代名詞 * * * * *,58,2
号機,号機,号機,接尾辞 名詞的 助数詞 * * *,58,2
碇,碇,錨,名詞 普通名詞 一般 * * *,56,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,52,2
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,52,2
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,51,2
音,音,音,名詞 普通名詞 一般 * * *,51,2
か,か,か,助詞 副助詞 * * * *,50,2
・,・,・,補助記号 一般 * * * *,50,2
から,から,から,助詞 格助詞 * * * *,49,2
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,48,2
これ,これ,此れ,代名詞 * * * * *,48,2
そう,そう,そう,副詞 * * * * *,48,2
まで,まで,まで,助詞 副助詞 * * * *,48,2
私,私,私,代名詞 * * * * *,48,2
はい,はい,はい,感動詞 一般 * * * *,47,2
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,46,2
目標,目標,目標,名詞 普通名詞 一般 * * *,46,2
この,この,此の,連体詞 * * * * *,44,2
だけ,だけ,だけ,助詞 副助詞 * * * *,44,2
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,43,2
使徒,使徒,使徒,名詞 普通名詞 一般 * * *,43,2
綾波,綾波,綾波,名詞 固有名詞 人名 姓 * *,42,2
もう,もう,もう,副詞 * * * * *,41,2
あの,あの,彼の,連体詞 * * * * *,40,2
碇,碇,碇,名詞 固有名詞 人名 姓 * *,40,2
日向,日向,日向,名詞 普通名詞 一般 * * *,39,2
どう,どう,どう,副詞 * * * * *,38,2
システム,システム,システム,名詞 普通名詞 一般 * * *,38,2
あなた,あなた,貴方,代名詞 * * * * *,37,2
ここ,ここ,此処,代名詞 * * * * *,37,2
パイロット,パイロット,パイロット,名詞 普通名詞 一般 * * *,37,2
中,中,中,接尾辞 名詞的 副詞可能 * * *,36,2
で,で,で,助詞 接続助詞 * * * *,35,2
ば,ば,ば,助詞 接続助詞 * * * *,35,2
青葉,青葉,青葉,名詞 普通名詞 一般 * * *,35,2
へ,へ,へ,助詞 格助詞 * * * *,34,2
問題,問題,問題,名詞 普通名詞 一般 * * *,34,2
あ,あ,あっ,感動詞 一般 * * * *,33,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,33,2
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,32,2
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,32,2
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,32,2
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,32,2
なし,なし,なし,名詞 普通名詞 一般 * * *,32,2
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,32,2
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,31,2
それ,それ,其れ,代名詞 * * * * *,31,2
人,人,人,名詞 普通名詞 一般 * * *,31,2
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,30,2
父さん,父さん,父さん,名詞 普通名詞 一般 * * *,29,2
お,お,御,接頭辞 * * * * *,28,2
開始,開始,開始,名詞 普通名詞 サ変可能 * * *,28,2
うっ,うっ,うう,感動詞 一般 * * * *,27,2
さん,さん,さん,接尾辞 名詞的 一般 * * *,27,2
その,その,其の,連体詞 * * * * *,27,2
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,27,2
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,27,2
フィールド,フィールド,フィールド,名詞 普通名詞 一般 * * *,27,2
プラグ,プラグ,プラグ,名詞 普通名詞 一般 * * *,27,2
全て,全て,全て,名詞 普通名詞 副詞可能 * * *,27,2
けど,けど,けれど,助詞 接続助詞 * * * *,26,2
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,26,2
確認,確認,確認,名詞 普通名詞 サ変可能 * * *,26,2
零,零,零,名詞 数詞 * * * *,26,2
アスカ,アスカ,アスカ,名詞 固有名詞 人名 名 * *,26,1
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,25,2
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,25,2
トウジ,トウジ,トウジ,名詞 固有名詞 人名 名 * *,25,2
作戦,作戦,作戦,名詞 普通名詞 一般 * * *,25,2
マリ,マリ,マリ,名詞 固有名詞 地名 国 * *,25,1
あと,あと,後,名詞 普通名詞 副詞可能 * * *,23,2
っ,っ,っ,補助記号 一般 * * * *,23,2
また,また,又,接続詞 * * * * *,23,2
ケンスケ,ケンスケ,ケンスケ,名詞 普通名詞 一般 * * *,23,2
了解,了解,了解,名詞 普通名詞 サ変可能 * * *,23,2
声,声,声,名詞 普通名詞 一般 * * *,23,2
現在,現在,現在,名詞 普通名詞 副詞可能 * * *,23,2
あっ,あっ,あっ,感動詞 一般 * * * *,22,2
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,22,2
ため,ため,為,名詞 普通名詞 副詞可能 * * *,22,2
もの,もの,物,名詞 普通名詞 サ変可能 * * *,22,2
レイ,レイ,レイ,名詞 普通名詞 一般 * * *,22,2
完了,完了,完了,名詞 普通名詞 サ変可能 * * *,22,2
自分,自分,自分,名詞 普通名詞 一般 * * *,22,2
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,21,2
加持,加持,加持,名詞 普通名詞 サ変可能 * * *,21,1
し,し,し,助詞 接続助詞 * * * *,20,2
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,20,2
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,20,2
より,より,より,助詞 格助詞 * * * *,20,2
なんて,なんて,なんて,助詞 副助詞 * * * *,19,2
ネルフ,ネルフ,ネルフ,名詞 普通名詞 一般 * * *,19,2
今,今,今,名詞 普通名詞 副詞可能 * * *,19,2
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,19,2
通り,通り,通り,名詞 普通名詞 助数詞可能 * * *,19,2
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,18,2
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,18,2
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,18,2
接続,接続,接続,名詞 普通名詞 サ変可能 * * *,18,2
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,17,2
アナウンス,アナウンス,アナウンス,名詞 普通名詞 サ変可能 * * *,17,2
世界,世界,世界,名詞 普通名詞 一般 * * *,17,2
冬,冬,冬,名詞 普通名詞 副詞可能 * * *,17,2
時間,時間,時間,名詞 普通名詞 助数詞可能 * * *,17,2
月,月,月,名詞 普通名詞 助数詞可能 * * *,17,2
次,次,次,接尾辞 名詞的 助数詞 * * *,17,2
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,16,2
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,16,2
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,16,2
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,16,2
ダミー,ダミー,ダミー,名詞 普通名詞 一般 * * *,16,2
乗っ,乗る,乗る,動詞 一般 * * 五段-ラ行 連用形-促音便,16,2
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,16,2
司令,司令,司令,名詞 普通名詞 サ変可能 * * *,16,2
本部,本部,本部,名詞 普通名詞 一般 * * *,16,2
終了,終了,終了,名詞 普通名詞 サ変可能 * * *,16,2
達,達,達,接尾辞 名詞的 一般 * * *,16,2
しか,しか,しか,助詞 副助詞 * * * *,15,2
まさか,まさか,まさか,副詞 * * * * *,15,2
や,や,や,助詞 副助詞 * * * *,15,2
