Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
君,君,君,接尾辞 名詞的 一般 * * *,486,1
は,は,は,助詞 係助詞 * * * *,403,1
の,の,の,助詞 格助詞 * * * *,369,1
て,て,て,助詞 接続助詞 * * * *,335,1
アオヤマ,アオヤマ,アオヤマ,名詞 固有名詞 地名 一般 * *,265,1
に,に,に,助詞 格助詞 * * * *,255,1
が,が,が,助詞 格助詞 * * * *,240,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,236,1
を,を,を,助詞 格助詞 * * * *,187,1
お姉さん,お姉さん,お姉さん,名詞 普通名詞 一般 * * *,176,1
も,も,も,助詞 係助詞 * * * *,161,1
よ,よ,よ,助詞 終助詞 * * * *,132,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,130,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,124,1
ん,ん,の,助詞 準体助詞 * * * *,121,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,115,1
僕,僕,僕,代名詞 * * * * *,114,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,112,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,110,1
ペンギン,ペンギン,ペンギン,名詞 普通名詞 一般 * * *,110,1
と,と,と,助詞 格助詞 * * * *,109,1
で,で,で,助詞 格助詞 * * * *,108,1
ウチダ,ウチダ,ウチダ,名詞 固有名詞 人名 姓 * *,107,1
ね,ね,ね,助詞 終助詞 * * * *,101,1
こと,こと,こと,名詞 普通名詞 一般 * * *,100,1
の,の,の,助詞 準体助詞 * * * *,99,1
か,か,か,助詞 終助詞 * * * *,95,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,87,1
ハマモト,ハマモト,ハマモト,名詞 普通名詞 一般 * * *,87,1
スズキ,スズキ,スズキ,名詞 固有名詞 一般 * * *,74,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,70,1
〜,〜,〜,補助記号 一般 * * * *,69,1
たち,たち,達,接尾辞 名詞的 一般 * * *,69,1
か,か,か,助詞 副助詞 * * * *,65,1
から,から,から,助詞 接続助詞 * * * *,62,1
な,な,な,助詞 終助詞 * * * *,52,1
この,この,此の,連体詞 * * * * *,50,1
そう,そう,そう,副詞 * * * * *,50,1
の,の,の,助詞 終助詞 * * * *,50,1
鳴き声,鳴き声,鳴き声,名詞 普通名詞 一般 * * *,50,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,49,1
