Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,3800,14
は,は,は,助詞 係助詞 * * * *,3300,14
に,に,に,助詞 格助詞 * * * *,2862,14
を,を,を,助詞 格助詞 * * * *,2797,14
て,て,て,助詞 接続助詞 * * * *,2706,14
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2405,14
が,が,が,助詞 格助詞 * * * *,2113,14
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1351,14
と,と,と,助詞 格助詞 * * * *,1348,14
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1267,14
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1175,14
も,も,も,助詞 係助詞 * * * *,1160,14
で,で,で,助詞 格助詞 * * * *,1052,14
ん,ん,の,助詞 準体助詞 * * * *,861,14
か,か,か,助詞 終助詞 * * * *,848,14
の,の,の,助詞 準体助詞 * * * *,831,14
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,760,14
な,な,な,助詞 終助詞 * * * *,717,14
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,617,14
こと,こと,こと,名詞 普通名詞 一般 * * *,545,14
よ,よ,よ,助詞 終助詞 * * * *,531,14
この,この,此の,連体詞 * * * * *,483,14
ゴルゴ,ゴルゴ,ゴルゴ,名詞 固有名詞 人名 一般 * *,482,14
から,から,から,助詞 格助詞 * * * *,456,14
私,私,私,代名詞 * * * * *,443,13
それ,それ,其れ,代名詞 * * * * *,412,14
何,何,何,代名詞 * * * * *,407,14
俺,俺,俺,代名詞 * * * * *,388,14
が,が,が,助詞 接続助詞 * * * *,379,14
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,371,14
･,・,・,補助記号 一般 * * * *,371,14
奴,奴,奴,名詞 普通名詞 一般 * * *,370,13
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,369,14
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,357,14
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,350,14
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,347,14
ね,ね,ね,助詞 終助詞 * * * *,335,14
か,か,か,助詞 副助詞 * * * *,333,14
どう,どう,どう,副詞 * * * * *,318,14
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,315,14
その,その,其の,連体詞 * * * * *,313,14
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,298,14
