Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1986,26
は,は,は,助詞 係助詞 * * * *,1837,26
に,に,に,助詞 格助詞 * * * *,1782,26
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1518,26
て,て,て,助詞 接続助詞 * * * *,1482,26
が,が,が,助詞 格助詞 * * * *,1462,26
を,を,を,助詞 格助詞 * * * *,1258,26
〜,〜,〜,補助記号 一般 * * * *,1219,26
と,と,と,助詞 格助詞 * * * *,901,26
も,も,も,助詞 係助詞 * * * *,899,26
で,で,で,助詞 格助詞 * * * *,898,26
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,802,26
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,746,26
か,か,か,助詞 終助詞 * * * *,647,26
よ,よ,よ,助詞 終助詞 * * * *,630,26
ん,ん,の,助詞 準体助詞 * * * *,619,26
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,580,26
ヒーロー,ヒーロー,ヒーロー,名詞 普通名詞 一般 * * *,511,26
の,の,の,助詞 準体助詞 * * * *,469,26
な,な,な,助詞 終助詞 * * * *,426,26
･,・,・,補助記号 一般 * * * *,400,26
個性,個性,個性,名詞 普通名詞 一般 * * *,378,26
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,366,26
ね,ね,ね,助詞 終助詞 * * * *,363,26
オール,オール,オール,名詞 普通名詞 一般 * * *,359,24
って,って,って,助詞 副助詞 * * * *,326,26
か,か,か,助詞 副助詞 * * * *,321,26
マイト,マイト,マイト,名詞 普通名詞 一般 * * *,319,24
あっ,あっ,あっ,感動詞 一般 * * * *,300,25
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,283,26
何,何,何,代名詞 * * * * *,279,26
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,278,26
こと,こと,こと,名詞 普通名詞 一般 * * *,266,26
僕,僕,僕,代名詞 * * * * *,260,26
俺,俺,俺,代名詞 * * * * *,244,26
デク,デク,デク,名詞 普通名詞 一般 * * *,242,20
から,から,から,助詞 格助詞 * * * *,240,26
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,235,26
それ,それ,其れ,代名詞 * * * * *,223,26
私,私,私,代名詞 * * * * *,218,25
この,この,此の,連体詞 * * * * *,215,26
から,から,から,助詞 接続助詞 * * * *,211,26
ヴィラン,ヴィラン,ビラン,名詞 普通名詞 一般 * * *,207,25
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,204,24
そう,そう,そう,副詞 * * * * *,197,26
さ,さ,さ,助詞 終助詞 * * * *,196,25
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,194,26
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,191,25
が,が,が,助詞 接続助詞 * * * *,184,26
勝己,勝己,勝己,名詞 固有名詞 人名 名 * *,179,22
緑谷,緑谷,緑谷,名詞 固有名詞 人名 姓 * *,178,26
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,166,26
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,162,26
これ,これ,此れ,代名詞 * * * * *,158,26
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,155,26
あの,あの,彼の,連体詞 * * * * *,154,26
その,その,其の,連体詞 * * * * *,149,26
雄英,雄英,雄英,名詞 固有名詞 人名 名 * *,146,25
君,君,君,代名詞 * * * * *,146,24
ば,ば,ば,助詞 接続助詞 * * * *,144,26
だけ,だけ,だけ,助詞 副助詞 * * * *,143,26
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,143,26
たち,たち,達,接尾辞 名詞的 一般 * * *,142,19
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,140,25
さん,さん,さん,接尾辞 名詞的 一般 * * *,136,15
生徒,生徒,生徒,名詞 普通名詞 一般 * * *,135,17
君,君,君,接尾辞 名詞的 一般 * * *,134,18
なん,なん,何,代名詞 * * * * *,133,26
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,132,26
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,130,26
出久,出久,出久,名詞 固有名詞 人名 姓 * *,130,26
もう,もう,もう,副詞 * * * * *,128,26
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,126,26
けど,けど,けれど,助詞 接続助詞 * * * *,124,26
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,123,26
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,122,24
ら,ら,等,接尾辞 名詞的 一般 * * *,120,22
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,119,26
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,119,26
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,119,25
メリッサ,メリッサ,メリッサ,名詞 固有名詞 人名 一般 * *,118,1
人,人,人,名詞 普通名詞 一般 * * *,117,25
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,116,26
どう,どう,どう,副詞 * * * * *,111,18
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,107,26
ああ,ああ,ああ,感動詞 一般 * * * *,106,26
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,106,26
お,お,御,接頭辞 * * * * *,106,22
天哉,天哉,天哉,名詞 固有名詞 人名 名 * *,106,14
わ,わ,わ,助詞 終助詞 * * * *,105,20
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,104,24
まで,まで,まで,助詞 副助詞 * * * *,104,24
先生,先生,先生,名詞 普通名詞 一般 * * *,104,20
お前,お前,御前,代名詞 * * * * *,103,23
お茶子,お茶子,御茶子,名詞 普通名詞 一般 * * *,103,15
轟,轟,轟,名詞 固有名詞 人名 姓 * *,103,9
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,102,25
くん,くん,君,接尾辞 名詞的 一般 * * *,102,10
へ,へ,へ,助詞 格助詞 * * * *,101,26
まだ,まだ,未だ,副詞 * * * * *,101,22
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,99,25
