Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,161,1
の,の,の,助詞 格助詞 * * * *,122,1
に,に,に,助詞 格助詞 * * * *,120,1
も,も,も,助詞 係助詞 * * * *,109,1
ん,ん,の,助詞 準体助詞 * * * *,102,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,99,1
は,は,は,助詞 係助詞 * * * *,84,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,82,1
で,で,で,助詞 格助詞 * * * *,80,1
よ,よ,よ,助詞 終助詞 * * * *,77,1
か,か,か,助詞 終助詞 * * * *,67,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,66,1
と,と,と,助詞 格助詞 * * * *,66,1
が,が,が,助詞 格助詞 * * * *,65,1
か,か,か,助詞 副助詞 * * * *,59,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,58,1
夏海,夏海,夏海,名詞 固有名詞 人名 名 * *,54,1
ね,ね,ね,助詞 終助詞 * * * *,52,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,51,1
れんげ,れんげ,蓮華,名詞 普通名詞 一般 * * *,48,1
って,って,って,助詞 副助詞 * * * *,47,1
あっ,あっ,あっ,感動詞 一般 * * * *,45,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,45,1
蛍,蛍,蛍,名詞 普通名詞 一般 * * *,44,1
の,の,の,助詞 準体助詞 * * * *,43,1
お,お,御,接頭辞 * * * * *,41,1
な,な,な,助詞 終助詞 * * * *,39,1
から,から,から,助詞 接続助詞 * * * *,37,1
あおい,あおい,青い,形容詞 一般 * * 形容詞 終止形-一般,35,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,35,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,34,1
小鞠,小鞠,小鞠,名詞 固有名詞 人名 名 * *,34,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,33,1
ああ,ああ,ああ,感動詞 一般 * * * *,32,1
うん,うん,うん,感動詞 一般 * * * *,31,1
そう,そう,そう,副詞 * * * * *,30,1
ひかげ,ひかげ,日陰,名詞 普通名詞 一般 * * *,28,1
私,私,私,代名詞 * * * * *,28,1
けど,けど,けれど,助詞 接続助詞 * * * *,27,1
この,この,此の,連体詞 * * * * *,27,1
何,何,何,代名詞 * * * * *,27,1
沖縄,沖縄,沖縄,名詞 固有名詞 地名 一般 * *,25,1
し,し,し,助詞 接続助詞 * * * *,24,1
じゃあ,じゃあ,で,接続詞 * * * * *,24,1
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,24,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,23,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,22,1
の,の,の,助詞 終助詞 * * * *,22,1
を,を,を,助詞 格助詞 * * * *,22,1
〜,〜,〜,補助記号 一般 * * * *,21,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,21,1
姉,姉,姉,名詞 普通名詞 一般 * * *,21,1
あ,あ,あっ,感動詞 一般 * * * *,20,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,20,1
それ,それ,其れ,代名詞 * * * * *,19,1
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,19,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,19,1
なん,なん,何,代名詞 * * * * *,18,1
はい,はい,はい,感動詞 一般 * * * *,18,1
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,17,1
もう,もう,もう,副詞 * * * * *,17,1
れん,れる,れる,助動詞 * * * 助動詞-レル 終止形-撥音便,17,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,16,1
み,み,み,名詞 普通名詞 一般 * * *,16,1
ん,ん,の,助詞 終助詞 * * * *,16,1
一穂,一穂,一穂,名詞 固有名詞 人名 名 * *,16,1
あと,あと,後,名詞 普通名詞 副詞可能 * * *,15,1
から,から,から,助詞 格助詞 * * * *,15,1
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,15,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,15,1
ん,ん,ん,助詞 格助詞 * * * *,15,1
持っ,持つ,持つ,動詞 一般 * * 五段-タ行 連用形-促音便,15,1
行く,行く,行く,動詞 非自立可能 * * 五段-カ行 連体形-一般,15,1
こと,こと,こと,名詞 普通名詞 一般 * * *,14,1
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,14,1
カヤック,カヤック,カヤック,名詞 普通名詞 一般 * * *,14,1
夏海,夏海,夏海,名詞 固有名詞 人名 姓 * *,14,1
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,14,1
行き,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-一般,14,1
部屋,部屋,部屋,名詞 普通名詞 一般 * * *,14,1
え,え,えっ,感動詞 一般 * * * *,13,1
こっち,こっち,此方,代名詞 * * * * *,13,1
これ,これ,此れ,代名詞 * * * * *,13,1
ちょっと,ちょっと,一寸,副詞 * * * * *,13,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,13,1
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,13,1
ウチ,ウチ,家,名詞 普通名詞 一般 * * *,13,1
海,海,海,名詞 普通名詞 一般 * * *,13,1
絵,絵,絵,名詞 普通名詞 一般 * * *,13,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,12,1
えっ,えっ,えっ,感動詞 一般 * * * *,12,1
どう,どう,どう,副詞 * * * * *,12,1
ひ,ひ,ひ,名詞 普通名詞 副詞可能 * * *,12,1
まあ,まあ,まあ,副詞 * * * * *,12,1
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,12,1
ん,ん,んっ,感動詞 一般 * * * *,12,1
ウチ,ウチ,内,名詞 普通名詞 副詞可能 * * *,12,1
センパイ,センパイ,先輩,名詞 普通名詞 一般 * * *,12,1
楓,楓,楓,名詞 普通名詞 一般 * * *,12,1
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,12,1
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,11,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,11,1
うち,うち,内,名詞 普通名詞 副詞可能 * * *,11,1
ここ,ここ,此処,代名詞 * * * * *,11,1
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,11,1
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,11,1
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,11,1
はーい,はーい,はい,感動詞 一般 * * * *,11,1
まだ,まだ,未だ,副詞 * * * * *,11,1
まで,まで,まで,助詞 副助詞 * * * *,11,1
マンタ,マンタ,マンタ,名詞 普通名詞 一般 * * *,11,1
前,前,前,名詞 普通名詞 副詞可能 * * *,11,1
音,音,音,名詞 普通名詞 一般 * * *,11,1
あー,あー,あー,感動詞 フィラー * * * *,10,1
いや,いや,否,感動詞 一般 * * * *,10,1
なあ,なあ,な,助詞 終助詞 * * * *,10,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,10,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,10,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,10,1
ー,ー,ー,補助記号 一般 * * * *,10,1
掃除,掃除,掃除,名詞 普通名詞 サ変可能 * * *,10,1
行く,行く,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,10,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,9,1
おお,おお,おお,感動詞 一般 * * * *,9,1
そんな,そんな,そんな,連体詞 * * * * *,9,1
だけ,だけ,だけ,助詞 副助詞 * * * *,9,1
で,で,で,助詞 接続助詞 * * * *,9,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,9,1
ラーメン,ラーメン,ラーメン,名詞 普通名詞 一般 * * *,9,1
今,今,今,名詞 普通名詞 副詞可能 * * *,9,1
屋,屋,屋,接尾辞 名詞的 一般 * * *,9,1
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,9,1
駄菓子,駄菓子,駄菓子,名詞 普通名詞 一般 * * *,9,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 終止形-一般,8,1
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,8,1
じゃん,じゃん,じゃん,助詞 終助詞 * * * *,8,1
で,で,で,接続詞 * * * * *,8,1
と,と,と,助詞 接続助詞 * * * *,8,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,8,1
へ,へ,へ,助詞 格助詞 * * * *,8,1
み,みる,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,8,1
イルカ,イルカ,海豚,名詞 普通名詞 一般 * * *,8,1
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,8,1
写真,写真,写真,名詞 普通名詞 一般 * * *,8,1
姉ちゃん,姉ちゃん,姉ちゃん,名詞 普通名詞 一般 * * *,8,1
子供,子供,子供,名詞 普通名詞 一般 * * *,8,1
明日,明日,明日,名詞 普通名詞 副詞可能 * * *,8,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,8,1
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,8,1
あおい,あおい,あおい,名詞 固有名詞 人名 名 * *,7,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,7,1
え,え,え,助詞 終助詞 * * * *,7,1
えっと,えっと,えーと,感動詞 フィラー * * * *,7,1
おー,おー,おー,感動詞 フィラー * * * *,7,1
が,が,が,助詞 接続助詞 * * * *,7,1
くらい,くらい,くらい,助詞 副助詞 * * * *,7,1
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,7,1
こう,こう,こう,副詞 * * * * *,7,1
ござい,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,7,1
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,7,1
す,す,っす,助動詞 * * * 助動詞-デス 終止形-一般,7,1
その,その,其の,連体詞 * * * * *,7,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,7,1
ちょん,ちょん,ちゃん,接尾辞 名詞的 一般 * * *,7,1
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,7,1
どこ,どこ,どこ,代名詞 * * * * *,7,1
なん,なん,など,助詞 副助詞 * * * *,7,1
ねえ,ねえ,ね,助詞 終助詞 * * * *,7,1
のん,のん,のん,助詞 終助詞 * * * *,7,1
ば,ば,ば,助詞 接続助詞 * * * *,7,1
ひか,ひく,ひく,動詞 一般 * * 五段-カ行 未然形-一般,7,1
へえ,へえ,へえ,感動詞 一般 * * * *,7,1
わあ,わあ,わあ,感動詞 一般 * * * *,7,1
ん,む,む,助動詞 * * * 文語助動詞-ム 終止形-撥音便,7,1
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,7,1
中,中,中,名詞 普通名詞 副詞可能 * * *,7,1
出,出る,出る,動詞 一般 * * 下一段-ダ行 連用形-一般,7,1
帰っ,帰る,帰る,動詞 一般 * * 五段-ラ行 連用形-促音便,7,1
描い,描く,描く,動詞 一般 * * 五段-カ行 連用形-イ音便,7,1
母,母,母,名詞 普通名詞 一般 * * *,7,1
見せ,見せる,見せる,動詞 非自立可能 * * 下一段-サ行 連用形-一般,7,1
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,6,1
お客様,お客様,御客様,名詞 普通名詞 一般 * * *,6,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,6,1
しよう,する,為る,動詞 非自立可能 * * サ行変格 意志推量形,6,1
じゃあ,じゃあ,で,助詞 格助詞 * * * *,6,1
そっち,そっち,其方,代名詞 * * * * *,6,1
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,6,1
たい,たい,たい,助動詞 * * * 助動詞-タイ 連体形-一般,6,1
たち,たち,達,接尾辞 名詞的 一般 * * *,6,1
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,6,1
とき,とき,時,名詞 普通名詞 副詞可能 * * *,6,1
とこ,とこ,とこ,名詞 普通名詞 一般 * * *,6,1
ます,ます,ます,助動詞 * * * 助動詞-マス 連体形-一般,6,1
まー,まー,まー,感動詞 フィラー * * * *,6,1
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,6,1
もの,もの,物,名詞 普通名詞 サ変可能 * * *,6,1
もらっ,もらう,貰う,動詞 非自立可能 * * 五段-ワア行 連用形-促音便,6,1
よかっ,よい,良い,形容詞 非自立可能 * * 形容詞 連用形-促音便,6,1
インストラクター,インストラクター,インストラクター,名詞 普通名詞 一般 * * *,6,1
デパート,デパート,デパート,名詞 普通名詞 一般 * * *,6,1
バドミントン,バドミントン,バドミントン,名詞 普通名詞 一般 * * *,6,1
ベッド,ベッド,ベッド,名詞 普通名詞 一般 * * *,6,1
ラケット,ラケット,ラケット,名詞 普通名詞 一般 * * *,6,1
早く,早い,早い,形容詞 一般 * * 形容詞 連用形-一般,6,1
案内,案内,案内,名詞 普通名詞 サ変可能 * * *,6,1
灯台,灯台,灯台,名詞 普通名詞 一般 * * *,6,1
練習,練習,練習,名詞 普通名詞 サ変可能 * * *,6,1
行こう,行く,行く,動詞 非自立可能 * * 五段-カ行 意志推量形,6,1
食べ,食べる,食べる,動詞 一般 * * 下一段-バ行 連用形-一般,6,1
あげ,あげる,上げる,動詞 非自立可能 * * 下一段-ガ行 連用形-一般,5,1
あげる,あげる,上げる,動詞 非自立可能 * * 下一段-ガ行 終止形-一般,5,1
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,5,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,5,1
う,う,うう,感動詞 一般 * * * *,5,1
え,え,えー,感動詞 フィラー * * * *,5,1
お部屋,お部屋,御部屋,名詞 普通名詞 一般 * * *,5,1
かず,かず,数,名詞 普通名詞 一般 * * *,5,1
ご,ご,御,接頭辞 * * * * *,5,1
ごはん,ごはん,御飯,名詞 普通名詞 一般 * * *,5,1
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,5,1
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,5,1
そう,そう,そう,形状詞 助動詞語幹 * * * *,5,1
っけ,っけ,け,助詞 終助詞 * * * *,5,1
つい,つく,付く,動詞 非自立可能 * * 五段-カ行 連用形-イ音便,5,1
なっつ,なっつ,ナッツ,名詞 普通名詞 一般 * * *,5,1
もん,もん,もの,助詞 終助詞 * * * *,5,1
よう,よう,様,形状詞 助動詞語幹 * * * *,5,1
よく,よく,良く,副詞 * * * * *,5,1
ら,ら,等,接尾辞 名詞的 一般 * * *,5,1
らしい,らしい,らしい,助動詞 * * * 助動詞-ラシイ 終止形-一般,5,1
わかっ,わかる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,5,1
ビール,ビール,ビール,名詞 普通名詞 一般 * * *,5,1
ホント,ホント,本当,名詞 普通名詞 一般 * * *,5,1
交代,交代,交代,名詞 普通名詞 サ変可能 * * *,5,1
人,人,人,接尾辞 名詞的 一般 * * *,5,1
兄ちゃん,兄ちゃん,兄ちゃん,名詞 普通名詞 一般 * * *,5,1
同い年,同い年,同い年,名詞 普通名詞 一般 * * *,5,1
向こう,向こう,向こう,名詞 普通名詞 一般 * * *,5,1
大人,大人,大人,名詞 普通名詞 一般 * * *,5,1
女将,女将,女将,名詞 普通名詞 一般 * * *,5,1
学校,学校,学校,名詞 普通名詞 一般 * * *,5,1
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,5,1
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,5,1
所,所,所,名詞 普通名詞 副詞可能 * * *,5,1
撮っ,撮る,取る,動詞 一般 * * 五段-ラ行 連用形-促音便,5,1
旅行,旅行,旅行,名詞 普通名詞 サ変可能 * * *,5,1
本気,本気,本気,名詞 普通名詞 形状詞可能 * * *,5,1
用意,用意,用意,名詞 普通名詞 サ変可能 * * *,5,1
福引き,福引き,福引き,名詞 普通名詞 一般 * * *,5,1
私たち,私たち,私達,名詞 普通名詞 一般 * * *,5,1
茶,茶,茶,名詞 普通名詞 一般 * * *,5,1
言わ,言う,言う,動詞 一般 * * 五段-ワア行 未然形-一般,5,1
あ〜,あ〜,ああ,感動詞 一般 * * * *,4,1
あの,あの,彼の,連体詞 * * * * *,4,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,4,1
い,い,い,助詞 終助詞 * * * *,4,1
いえ,いう,言う,動詞 一般 * * 五段-ワア行 仮定形-一般,4,1
いく,いく,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,4,1
いっ,いう,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,4,1
いつも,いつも,いつも,名詞 普通名詞 副詞可能 * * *,4,1
うう,うう,うう,感動詞 一般 * * * *,4,1
うわあ,うわあ,うわ,感動詞 一般 * * * *,4,1
