Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,939,3
は,は,は,助詞 係助詞 * * * *,763,3
に,に,に,助詞 格助詞 * * * *,626,3
て,て,て,助詞 接続助詞 * * * *,617,3
を,を,を,助詞 格助詞 * * * *,576,3
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,540,3
が,が,が,助詞 格助詞 * * * *,499,3
も,も,も,助詞 係助詞 * * * *,367,3
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,318,3
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,294,3
と,と,と,助詞 格助詞 * * * *,285,3
様,様,様,接尾辞 名詞的 一般 * * *,272,3
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,252,3
何,何,何,代名詞 * * * * *,249,3
で,で,で,助詞 格助詞 * * * *,243,3
ん,ん,の,助詞 準体助詞 * * * *,219,3
よ,よ,よ,助詞 終助詞 * * * *,202,3
の,の,の,助詞 準体助詞 * * * *,199,3
ソラーダ,ソラーダ,ソラーダ,名詞 普通名詞 一般 * * *,198,3
か,か,か,助詞 終助詞 * * * *,196,3
な,な,な,助詞 終助詞 * * * *,194,3
族,族,族,接尾辞 名詞的 一般 * * *,183,3
俺,俺,俺,代名詞 * * * * *,174,3
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,171,3
魔神,魔神,魔神,名詞 普通名詞 一般 * * *,164,3
天,天,天,名詞 固有名詞 人名 姓 * *,157,3
この,この,此の,連体詞 * * * * *,136,3
メリオダス,メリオダス,メリオダス,名詞 普通名詞 一般 * * *,133,3
翼人,翼人,翼人,名詞 固有名詞 人名 名 * *,109,3
オシロ,オシロ,オシロ,名詞 普通名詞 一般 * * *,108,3
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,105,3
か,か,か,助詞 副助詞 * * * *,96,3
ら,ら,等,接尾辞 名詞的 一般 * * *,96,3
さん,さん,さん,接尾辞 名詞的 一般 * * *,95,3
団長,団長,団長,名詞 普通名詞 一般 * * *,94,3
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,93,3
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,92,3
あっ,あっ,あっ,感動詞 一般 * * * *,92,1
どう,どう,どう,副詞 * * * * *,90,3
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,87,3
ホーク,ホーク,ホーク,名詞 普通名詞 一般 * * *,87,3
お,お,御,接頭辞 * * * * *,86,3
エルラッテ,エルラッテ,エルラッテ,名詞 普通名詞 一般 * * *,84,3
剣,剣,剣,名詞 普通名詞 一般 * * *,84,3
その,その,其の,連体詞 * * * * *,82,3
ね,ね,ね,助詞 終助詞 * * * *,81,3
これ,これ,此れ,代名詞 * * * * *,78,3
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,78,3
ゾリア,ゾリア,ゾリア,名詞 普通名詞 一般 * * *,77,3
お前,お前,御前,代名詞 * * * * *,76,3
私,私,私,代名詞 * * * * *,70,3
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,68,3
から,から,から,助詞 格助詞 * * * *,67,3
それ,それ,其れ,代名詞 * * * * *,67,3
戦士,戦士,戦士,名詞 普通名詞 一般 * * *,67,3
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,64,3
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,64,3
って,って,って,助詞 副助詞 * * * *,64,3
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,62,3
まで,まで,まで,助詞 副助詞 * * * *,61,3
天空,天空,天空,名詞 普通名詞 一般 * * *,60,3
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,58,3
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,58,3
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,58,3
の,の,の,助詞 終助詞 * * * *,58,3
エリザベス,エリザベス,エリザベス,名詞 固有名詞 人名 一般 * *,58,3
こと,こと,こと,名詞 普通名詞 一般 * * *,56,3
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,56,3
ここ,ここ,此処,代名詞 * * * * *,55,3
たち,たち,達,接尾辞 名詞的 一般 * * *,55,3
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,53,3
から,から,から,助詞 接続助詞 * * * *,52,3
我,我,我,代名詞 * * * * *,52,3
翼,翼,翼,名詞 固有名詞 人名 名 * *,52,3
が,が,が,助詞 接続助詞 * * * *,51,3
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,49,3
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,49,3
掟,掟,掟,名詞 普通名詞 一般 * * *,49,3
て,てる,てる,助動詞 * * * 下一段-タ行 連体形-省略,48,3
･,・,・,補助記号 一般 * * * *,48,3
ああ,ああ,ああ,感動詞 一般 * * * *,47,3
ため,ため,為,名詞 普通名詞 副詞可能 * * *,46,3
大罪,大罪,大罪,名詞 普通名詞 一般 * * *,46,3
あれ,あれ,彼れ,代名詞 * * * * *,45,3
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,45,3
力,力,力,名詞 普通名詞 一般 * * *,45,3
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,44,3
七,七,7,名詞 数詞 * * * *,43,3
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,42,3
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,42,3
事,事,事,名詞 普通名詞 一般 * * *,42,2
んっ,んっ,んっ,感動詞 一般 * * * *,42,1
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,41,3
だけ,だけ,だけ,助詞 副助詞 * * * *,41,3
ディアンヌ,ディアンヌ,ディアンヌ,名詞 固有名詞 人名 一般 * *,41,3
〜,〜,〜,補助記号 一般 * * * *,39,3
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,39,3
こんな,こんな,こんな,連体詞 * * * * *,39,3
貴様,貴様,貴様,代名詞 * * * * *,39,3
し,し,し,助詞 接続助詞 * * * *,38,3
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,38,3
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,38,3
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,38,3
ば,ば,ば,助詞 接続助詞 * * * *,38,3
年,年,年,名詞 普通名詞 助数詞可能 * * *,38,3
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,37,3
行く,行く,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,37,3
うっ,うっ,うう,感動詞 一般 * * * *,36,3
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,36,3
じゃ,じゃ,で,助詞 格助詞 * * * *,36,3
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,36,3
封印,封印,封印,名詞 普通名詞 サ変可能 * * *,36,3
皆,皆,皆,名詞 普通名詞 副詞可能 * * *,36,3
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,35,3
キング,キング,キング,名詞 普通名詞 一般 * * *,35,3
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,34,3
なんて,なんて,なんて,助詞 副助詞 * * * *,34,3
ばあ,ばあ,婆,名詞 普通名詞 一般 * * *,34,3
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,33,3
もの,もの,物,名詞 普通名詞 サ変可能 * * *,33,3
バネス,バネス,バネス,名詞 固有名詞 人名 一般 * *,33,3
奴,奴,奴,名詞 普通名詞 一般 * * *,33,3
宮,宮,宮,接尾辞 名詞的 一般 * * *,33,3
息子,息子,息子,名詞 普通名詞 一般 * * *,33,3
おい,おい,おい,感動詞 一般 * * * *,32,3
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,32,3
そう,そう,そう,副詞 * * * * *,32,3
達,達,達,接尾辞 名詞的 一般 * * *,32,2
あ,あ,あっ,感動詞 一般 * * * *,31,3
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,31,3
どこ,どこ,どこ,代名詞 * * * * *,31,3
マーリン,マーリン,マーリン,名詞 固有名詞 人名 一般 * *,31,3
誰,誰,誰,代名詞 * * * * *,31,3
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,30,3
うん,うん,うん,感動詞 一般 * * * *,30,3
っ,っ,っ,補助記号 一般 * * * *,30,3
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,30,3
修行,修行,修行,名詞 普通名詞 サ変可能 * * *,30,3
前,前,前,名詞 普通名詞 副詞可能 * * *,30,3
化け物,化け物,化け物,名詞 普通名詞 一般 * * *,30,3
地上,地上,地上,名詞 普通名詞 一般 * * *,30,3
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,30,3
復活,復活,復活,名詞 普通名詞 サ変可能 * * *,30,3
者,者,者,名詞 普通名詞 一般 * * *,30,3
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,30,3
魂,魂,魂,名詞 普通名詞 一般 * * *,30,3
ああっ,ああっ,ああ,感動詞 一般 * * * *,30,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,29,3
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,29,3
わ,わ,わ,助詞 終助詞 * * * *,29,3
ん,ん,んっ,感動詞 一般 * * * *,29,3
いや,いや,否,感動詞 一般 * * * *,28,3
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,28,3
まさか,まさか,まさか,副詞 * * * * *,28,3
よう,よう,様,形状詞 助動詞語幹 * * * *,28,3
バン,バン,バン,名詞 普通名詞 一般 * * *,28,3
六,六,6,名詞 数詞 * * * *,28,3
長,長,長,接尾辞 名詞的 一般 * * *,28,3
騎士,騎士,騎士,名詞 普通名詞 一般 * * *,28,3
黒,黒,黒,名詞 普通名詞 一般 * * *,28,3
あの,あの,彼の,連体詞 * * * * *,27,3
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,27,3
パンプ,パンプ,パンプ,名詞 固有名詞 一般 * * *,27,3
儀,儀,儀,名詞 普通名詞 一般 * * *,27,3
魚,魚,魚,接尾辞 名詞的 一般 * * *,27,3
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,26,3
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,26,3
もう,もう,もう,副詞 * * * * *,26,3
継承,継承,継承,名詞 普通名詞 サ変可能 * * *,26,3
あなた,あなた,貴方,代名詞 * * * * *,25,3
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,25,3
なあ,なあ,な,助詞 終助詞 * * * *,25,3
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,25,3
へ,へ,へ,助詞 格助詞 * * * *,25,3
より,より,より,助詞 格助詞 * * * *,25,3
インデュラ,インデュラ,インデュラ,名詞 普通名詞 一般 * * *,25,3
里,里,里,名詞 普通名詞 一般 * * *,25,3
バカ,バカ,ばか,名詞 普通名詞 形状詞可能 * * *,24,3
本当,本当,本当,名詞 普通名詞 一般 * * *,24,3
残飯,残飯,残飯,名詞 普通名詞 一般 * * *,24,3
相手,相手,相手,名詞 普通名詞 一般 * * *,24,3
あ,あ,あー,感動詞 フィラー * * * *,23,3
い,い,い,助詞 終助詞 * * * *,23,3
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,23,3
こいつ,こいつ,此奴,代名詞 * * * * *,23,3
じゃあ,じゃあ,で,接続詞 * * * * *,23,3
そんな,そんな,そんな,連体詞 * * * * *,23,3
ピンク,ピンク,ピンク,名詞 普通名詞 一般 * * *,23,3
間,間,間,名詞 普通名詞 副詞可能 * * *,23,3
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,22,3
で,で,で,助詞 接続助詞 * * * *,22,3
ぬ,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-一般,22,3
はい,はい,はい,感動詞 一般 * * * *,22,3
ガラ,ガラ,がら,名詞 普通名詞 一般 * * *,22,3
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,22,3
ベルリオン,ベルリオン,ベルリオン,名詞 普通名詞 一般 * * *,22,3
泉,泉,泉,名詞 普通名詞 一般 * * *,22,3
けど,けど,けれど,助詞 接続助詞 * * * *,21,3
わし,わし,わし,代名詞 * * * * *,21,3
ゴウセル,ゴウセル,ゴウセル,名詞 普通名詞 一般 * * *,21,3
刻,刻,刻,名詞 普通名詞 副詞可能 * * *,21,3
守る,守る,守る,動詞 一般 * * 五段-ラ行 連体形-一般,21,3
戦い,戦い,戦い,名詞 普通名詞 一般 * * *,21,3
戻っ,戻る,戻る,動詞 一般 * * 五段-ラ行 連用形-促音便,21,3
滅び,滅び,滅び,名詞 普通名詞 一般 * * *,21,3
父さん,父さん,父さん,名詞 普通名詞 一般 * * *,21,3
翼,翼,翼,名詞 普通名詞 一般 * * *,21,3
ふ,ふ,ふ,接頭辞 * * * * *,21,1
わけ,わけ,訳,名詞 普通名詞 一般 * * *,20,3
アーク,アーク,アーク,名詞 普通名詞 一般 * * *,20,3
デロッキオ,デロッキオ,デロッキオ,名詞 普通名詞 一般 * * *,20,3
さあ,さあ,さあ,感動詞 一般 * * * *,19,3
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,19,3
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,19,3
や,や,や,助詞 副助詞 * * * *,19,3
よく,よく,良く,副詞 * * * * *,19,3
ダハーカ,ダハーカ,ダハーカ,名詞 普通名詞 一般 * * *,19,3
今,今,今,名詞 普通名詞 副詞可能 * * *,19,3
助け,助ける,助ける,動詞 一般 * * 下一段-カ行 連用形-一般,19,3
気,気,気,名詞 普通名詞 一般 * * *,19,3
魔力,魔力,魔力,名詞 普通名詞 一般 * * *,19,3
なら,なる,成る,動詞 非自立可能 * * 五段-ラ行 未然形-一般,18,3
まま,まま,侭,名詞 普通名詞 副詞可能 * * *,18,3
人間,人間,人間,名詞 普通名詞 一般 * * *,18,3
伝承,伝承,伝承,名詞 普通名詞 サ変可能 * * *,18,3
似,似る,似る,動詞 一般 * * 上一段-ナ行 連用形-一般,18,3
十,十,10,名詞 数詞 * * * *,18,3
姿,姿,姿,名詞 普通名詞 一般 * * *,18,3
広場,広場,広場,名詞 普通名詞 一般 * * *,18,3
戒,戒,戒,名詞 普通名詞 一般 * * *,18,3
知ら,知る,知る,動詞 一般 * * 五段-ラ行 未然形-一般,18,3
聞い,聞く,聞く,動詞 一般 * * 五段-カ行 連用形-イ音便,18,3
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,18,3
話,話,話,名詞 普通名詞 サ変可能 * * *,18,3
野郎,野郎,野郎,名詞 普通名詞 一般 * * *,18,3
あそこ,あそこ,彼処,代名詞 * * * * *,17,3
そんな,そんな,そんな,形状詞 一般 * * * *,17,3
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,17,3
僕,僕,僕,代名詞 * * * * *,17,3
え,え,えっ,感動詞 一般 * * * *,16,3
えっ,えっ,えっ,感動詞 一般 * * * *,16,3
おっ,おっ,おっ,感動詞 一般 * * * *,16,3
しか,しか,しか,助詞 副助詞 * * * *,16,3
れる,れる,れる,助動詞 * * * 助動詞-レル 終止形-一般,16,3
エスカノール,エスカノール,エスカノール,名詞 普通名詞 一般 * * *,16,3
ドラゴン,ドラゴン,ドラゴン,名詞 普通名詞 一般 * * *,16,3
一,一,1,名詞 数詞 * * * *,16,3
君,君,君,代名詞 * * * * *,16,3
我が,我が,我が,連体詞 * * * * *,16,3
来る,来る,来る,動詞 非自立可能 * * カ行変格 終止形-一般,16,3
生き物,生き物,生き物,名詞 普通名詞 一般 * * *,16,3
禍,禍,禍,名詞 普通名詞 一般 * * *,16,3
音,音,音,名詞 普通名詞 一般 * * *,16,1
こそ,こそ,こそ,助詞 係助詞 * * * *,15,3
そう,そう,そう,形状詞 助動詞語幹 * * * *,15,3
たかっ,たい,たい,助動詞 * * * 助動詞-タイ 連用形-促音便,15,3
とき,とき,時,名詞 普通名詞 副詞可能 * * *,15,3
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,15,3
など,など,など,助詞 副助詞 * * * *,15,3
ねえ,ねえ,ね,助詞 終助詞 * * * *,15,3
らしい,らしい,らしい,助動詞 * * * 助動詞-ラシイ 終止形-一般,15,3
人,人,人,名詞 普通名詞 一般 * * *,15,3
人形,人形,人形,名詞 普通名詞 一般 * * *,15,3
任せ,任せる,任せる,動詞 一般 * * 下一段-サ行 連用形-一般,15,3
手,手,手,名詞 普通名詞 助数詞可能 * * *,15,3
方法,方法,方法,名詞 普通名詞 一般 * * *,15,3
準備,準備,準備,名詞 普通名詞 サ変可能 * * *,15,3
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,15,3
言わ,言う,言う,動詞 一般 * * 五段-ワア行 未然形-一般,15,3
雑魚,雑魚,雑魚,名詞 普通名詞 一般 * * *,15,3
トントコ,トントコ,とんとこ,副詞 * * * * *,15,1
あいつ,あいつ,彼奴,代名詞 * * * * *,14,3
う,う,うー,感動詞 フィラー * * * *,14,3
おう,おう,おお,感動詞 一般 * * * *,14,3
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,14,3
は,は,はあ,感動詞 一般 * * * *,14,3
はず,はず,筈,名詞 普通名詞 一般 * * *,14,3
所,所,所,名詞 普通名詞 副詞可能 * * *,14,3
早く,早い,早い,形容詞 一般 * * 形容詞 連用形-一般,14,3
ハッ,ハッ,はっ,感動詞 一般 * * * *,14,1
おーい,おーい,おおい,感動詞 一般 * * * *,13,3
しまっ,しまう,仕舞う,動詞 非自立可能 * * 五段-ワア行 連用形-促音便,13,3
しろ,する,為る,動詞 非自立可能 * * サ行変格 命令形,13,3
じゃ,じゃ,で,接続詞 * * * * *,13,3
すら,すら,すら,助詞 副助詞 * * * *,13,3
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,13,3
ち,ち,ち,名詞 普通名詞 一般 * * *,13,3
てめえ,てめえ,てまえ,代名詞 * * * * *,13,3
で,で,で,接続詞 * * * * *,13,3
なぜ,なぜ,何故,副詞 * * * * *,13,3
やら,やら,やら,助詞 副助詞 * * * *,13,3
エル,エル,エル,名詞 固有名詞 人名 一般 * *,13,3
ソラーダ,ソラーダ,ソラーダ,名詞 固有名詞 人名 一般 * *,13,3
ハグ,ハグ,ハグ,名詞 普通名詞 サ変可能 * * *,13,3
バン,バン,バン,名詞 固有名詞 人名 一般 * *,13,3
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,13,3
出,出る,出る,動詞 一般 * * 下一段-ダ行 連用形-一般,13,3
女,女,女,接頭辞 * * * * *,13,3
死に,死ぬ,死ぬ,動詞 一般 * * 五段-ナ行 連用形-一般,13,3
神族,神族,神族,名詞 普通名詞 一般 * * *,13,3
者,者,者,接尾辞 名詞的 一般 * * *,13,3
逃げ出し,逃げ出す,逃げ出す,動詞 一般 * * 五段-サ行 連用形-一般,13,3
ぐっ,ぐっ,ぐっ,副詞 * * * * *,13,1
ハア,ハア,はあ,感動詞 一般 * * * *,13,1
あと,あと,後,名詞 普通名詞 副詞可能 * * *,12,3
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,12,3
いつ,いつ,いつ,代名詞 * * * * *,12,3
ちょっと,ちょっと,一寸,副詞 * * * * *,12,3
でき,できる,出来る,動詞 非自立可能 * * 上一段-カ行 未然形-一般,12,3
ども,ども,共,接尾辞 名詞的 一般 * * *,12,3
なかなか,なかなか,中々,副詞 * * * * *,12,3
なん,なん,何,代名詞 * * * * *,12,3
また,また,又,接続詞 * * * * *,12,3
やれ,やれ,やれ,感動詞 一般 * * * *,12,3
中,中,中,接尾辞 名詞的 副詞可能 * * *,12,3
代々,代々,代々,名詞 普通名詞 副詞可能 * * *,12,3
伝説,伝説,伝説,名詞 普通名詞 一般 * * *,12,3
全員,全員,全員,名詞 普通名詞 副詞可能 * * *,12,3
全滅,全滅,全滅,名詞 普通名詞 サ変可能 * * *,12,3
守り,守る,守る,動詞 一般 * * 五段-ラ行 連用形-一般,12,3
帰っ,帰る,帰る,動詞 一般 * * 五段-ラ行 連用形-促音便,12,3
心配,心配,心配,名詞 普通名詞 サ変形状詞可能 * * *,12,3
救っ,救う,救う,動詞 一般 * * 五段-ワア行 連用形-促音便,12,3
料理,料理,料理,名詞 普通名詞 サ変可能 * * *,12,3
旅,旅,旅,名詞 普通名詞 サ変可能 * * *,12,3
末裔,末裔,末裔,名詞 普通名詞 一般 * * *,12,3
槍,槍,槍,名詞 固有名詞 地名 一般 * *,12,3
死ん,死ぬ,死ぬ,動詞 一般 * * 五段-ナ行 連用形-撥音便,12,3
母,母,母,名詞 普通名詞 一般 * * *,12,3
生贄,生贄,生け贄,名詞 普通名詞 一般 * * *,12,3
白く,白い,白い,形容詞 一般 * * 形容詞 連用形-一般,12,3
知っ,知る,知る,動詞 一般 * * 五段-ラ行 連用形-促音便,12,3
空,空,空,名詞 普通名詞 一般 * * *,12,3
腹,腹,腹,名詞 普通名詞 一般 * * *,12,3
