Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
本田,本田,本田,名詞 固有名詞 一般 * * *,428,12
の,の,の,助詞 格助詞 * * * *,427,12
て,て,て,助詞 接続助詞 * * * *,385,12
に,に,に,助詞 格助詞 * * * *,357,12
は,は,は,助詞 係助詞 * * * *,353,12
が,が,が,助詞 格助詞 * * * *,267,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,233,12
と,と,と,助詞 格助詞 * * * *,233,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,228,12
も,も,も,助詞 係助詞 * * * *,218,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,208,12
を,を,を,助詞 格助詞 * * * *,205,12
〜,〜,〜,補助記号 一般 * * * *,199,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,193,12
で,で,で,助詞 格助詞 * * * *,190,12
か,か,か,助詞 終助詞 * * * *,171,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,153,12
の,の,の,助詞 準体助詞 * * * *,146,12
ん,ん,の,助詞 準体助詞 * * * *,146,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,140,12
よ,よ,よ,助詞 終助詞 * * * *,135,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,127,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,125,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,124,12
お,お,御,接頭辞 * * * * *,123,12
ね,ね,ね,助詞 終助詞 * * * *,122,12
カミブクロ,カミブクロ,カミブクロ,名詞 普通名詞 一般 * * *,117,11
か,か,か,助詞 副助詞 * * * *,109,12
アーマー,アーマー,アーマー,名詞 普通名詞 一般 * * *,108,10
って,って,って,助詞 副助詞 * * * *,94,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,90,12
本,本,本,名詞 普通名詞 一般 * * *,83,11
こと,こと,こと,名詞 普通名詞 一般 * * *,81,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,80,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,79,12
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,70,12
ホウタイ,ホウタイ,ホウタイ,名詞 普通名詞 一般 * * *,65,10
営業,営業,営業,名詞 普通名詞 サ変可能 * * *,65,5
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,64,12
はい,はい,はい,感動詞 一般 * * * *,64,11
あっ,あっ,あっ,感動詞 一般 * * * *,62,12
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,60,12
なん,なん,何,代名詞 * * * * *,59,12
な,な,な,助詞 終助詞 * * * *,58,12
人,人,人,名詞 普通名詞 一般 * * *,57,12
けど,けど,けれど,助詞 接続助詞 * * * *,55,12
私,私,私,代名詞 * * * * *,54,12
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,53,11
が,が,が,助詞 接続助詞 * * * *,52,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,51,10
ランタン,ランタン,ランタン,名詞 普通名詞 一般 * * *,51,7
から,から,から,助詞 接続助詞 * * * *,50,12
それ,それ,其れ,代名詞 * * * * *,48,12
オキツネ,オキツネ,オキツネ,名詞 普通名詞 一般 * * *,47,10
本田,本田,本田,名詞 固有名詞 人名 姓 * *,45,12
そう,そう,そう,副詞 * * * * *,44,12
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,43,12
し,し,し,助詞 接続助詞 * * * *,43,12
これ,これ,此れ,代名詞 * * * * *,43,11
フルフェイス,フルフェイス,フルフェイス,名詞 普通名詞 一般 * * *,43,7
この,この,此の,連体詞 * * * * *,42,11
本屋,本屋,本屋,名詞 普通名詞 一般 * * *,39,10
漫画,漫画,漫画,名詞 普通名詞 一般 * * *,39,10
棚,棚,棚,名詞 普通名詞 一般 * * *,39,8
マスク,マスク,マスク,名詞 普通名詞 一般 * * *,38,7
取次,取次,取り次ぎ,名詞 普通名詞 一般 * * *,38,2
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,37,11
から,から,から,助詞 格助詞 * * * *,37,9
