Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2053,27
の,の,の,助詞 格助詞 * * * *,1987,27
は,は,は,助詞 係助詞 * * * *,1959,27
に,に,に,助詞 格助詞 * * * *,1786,27
て,て,て,助詞 接続助詞 * * * *,1638,27
を,を,を,助詞 格助詞 * * * *,1504,27
が,が,が,助詞 格助詞 * * * *,1432,27
よ,よ,よ,助詞 終助詞 * * * *,1024,27
か,か,か,助詞 終助詞 * * * *,899,27
ん,ん,の,助詞 準体助詞 * * * *,865,27
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,785,27
の,の,の,助詞 準体助詞 * * * *,759,27
も,も,も,助詞 係助詞 * * * *,729,27
と,と,と,助詞 格助詞 * * * *,728,27
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,698,27
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,668,27
で,で,で,助詞 格助詞 * * * *,664,27
な,な,な,助詞 終助詞 * * * *,628,27
何,何,何,代名詞 * * * * *,583,27
ジュドー,ジュドー,ジュドー,名詞 固有名詞 人名 一般 * *,544,27
･,・,・,補助記号 一般 * * * *,481,27
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,429,27
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,425,27
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,424,27
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,385,27
って,って,って,助詞 副助詞 * * * *,382,27
こと,こと,こと,名詞 普通名詞 一般 * * *,375,27
エル,エル,エル,名詞 固有名詞 人名 一般 * *,359,26
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,347,27
私,私,私,代名詞 * * * * *,344,27
ハマーン,ハマーン,ハマーン,名詞 固有名詞 人名 一般 * *,327,24
たち,たち,達,接尾辞 名詞的 一般 * * *,323,27
キャラ,キャラ,キャラ,名詞 普通名詞 一般 * * *,316,17
アーガマ,アーガマ,アーガマ,名詞 固有名詞 一般 * * *,307,27
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,298,27
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,295,27
リィナ,リィナ,リーナ,名詞 固有名詞 人名 一般 * *,294,21
この,この,此の,連体詞 * * * * *,292,27
から,から,から,助詞 接続助詞 * * * *,284,27
の,の,の,助詞 終助詞 * * * *,275,27
〜,〜,〜,補助記号 一般 * * * *,261,27
どう,どう,どう,副詞 * * * * *,252,27
さん,さん,さん,接尾辞 名詞的 一般 * * *,251,27
俺,俺,俺,代名詞 * * * * *,249,27
ね,ね,ね,助詞 終助詞 * * * *,247,27
イーノ,イーノ,イーノ,名詞 固有名詞 人名 一般 * *,247,27
様,様,様,接尾辞 名詞的 一般 * * *,232,27
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,228,27
お前,お前,御前,代名詞 * * * * *,223,27
トーレス,トーレス,トーレス,名詞 普通名詞 一般 * * *,223,21
スーツ,スーツ,スーツ,名詞 普通名詞 一般 * * *,221,27
無線,無線,無線,名詞 普通名詞 一般 * * *,220,26
そう,そう,そう,副詞 * * * * *,219,27
さ,さ,さ,助詞 終助詞 * * * *,208,26
兵士,兵士,兵士,名詞 普通名詞 一般 * * *,208,18
ば,ば,ば,助詞 接続助詞 * * * *,207,27
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,203,27
あっ,あっ,あっ,感動詞 一般 * * * *,198,27
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,198,27
ルー,ルー,ルー,名詞 普通名詞 一般 * * *,198,25
モビル,モビル,モビル,名詞 普通名詞 一般 * * *,194,26
から,から,から,助詞 格助詞 * * * *,193,27
か,か,か,助詞 副助詞 * * * *,187,27
これ,これ,此れ,代名詞 * * * * *,179,27
艦長,艦長,艦長,名詞 普通名詞 一般 * * *,178,22
ああ,ああ,ああ,感動詞 一般 * * * *,177,27
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,171,27
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,171,26
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,160,27
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,159,27
それ,それ,其れ,代名詞 * * * * *,155,27
うっ,うっ,うう,感動詞 一般 * * * *,151,26
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,146,27
敵,敵,敵,名詞 普通名詞 一般 * * *,146,25
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,145,27
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,144,27
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,143,27
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,143,27
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,140,27
あの,あの,彼の,連体詞 * * * * *,140,26
お,お,御,接頭辞 * * * * *,138,25
へ,へ,へ,助詞 格助詞 * * * *,137,27
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,136,27
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,135,27
うわあ,うわあ,うわ,感動詞 一般 * * * *,135,19
はっ,はっ,はっ,感動詞 一般 * * * *,132,25
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,127,26
あ,あ,あっ,感動詞 一般 * * * *,127,23
だけ,だけ,だけ,助詞 副助詞 * * * *,123,27
まで,まで,まで,助詞 副助詞 * * * *,123,27
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,121,27
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,120,27
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,120,26
その,その,其の,連体詞 * * * * *,119,25
で,で,で,助詞 接続助詞 * * * *,116,26
