Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2356,37
は,は,は,助詞 係助詞 * * * *,2318,37
に,に,に,助詞 格助詞 * * * *,1929,37
て,て,て,助詞 接続助詞 * * * *,1784,37
を,を,を,助詞 格助詞 * * * *,1765,37
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1687,37
が,が,が,助詞 格助詞 * * * *,1548,37
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,953,37
と,と,と,助詞 格助詞 * * * *,923,37
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,900,37
も,も,も,助詞 係助詞 * * * *,847,37
で,で,で,助詞 格助詞 * * * *,821,37
か,か,か,助詞 終助詞 * * * *,715,37
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,703,37
よ,よ,よ,助詞 終助詞 * * * *,676,37
ん,ん,の,助詞 準体助詞 * * * *,655,37
こと,こと,こと,名詞 普通名詞 一般 * * *,565,37
の,の,の,助詞 準体助詞 * * * *,545,37
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,463,37
な,な,な,助詞 終助詞 * * * *,462,37
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,438,37
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,406,37
ね,ね,ね,助詞 終助詞 * * * *,358,37
アラタ,アラタ,アラタ,名詞 普通名詞 一般 * * *,345,37
これ,これ,此れ,代名詞 * * * * *,338,37
って,って,って,助詞 副助詞 * * * *,332,37
それ,それ,其れ,代名詞 * * * * *,314,37
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,293,37
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,292,37
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,291,37
何,何,何,代名詞 * * * * *,284,37
たち,たち,達,接尾辞 名詞的 一般 * * *,279,37
俺,俺,俺,代名詞 * * * * *,278,37
〜,〜,〜,補助記号 一般 * * * *,273,37
無線,無線,無線,名詞 普通名詞 一般 * * *,263,33
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,255,37
この,この,此の,連体詞 * * * * *,248,37
小隊,小隊,小隊,名詞 普通名詞 一般 * * *,243,33
から,から,から,助詞 格助詞 * * * *,242,36
そう,そう,そう,副詞 * * * * *,239,37
サクヤ,サクヤ,サクヤ,名詞 固有名詞 人名 名 * *,231,37
から,から,から,助詞 接続助詞 * * * *,227,37
か,か,か,助詞 副助詞 * * * *,226,37
第,第,第,接頭辞 * * * * *,225,31
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,209,37
どう,どう,どう,副詞 * * * * *,204,36
ヒカル,ヒカル,ヒカル,名詞 固有名詞 人名 名 * *,193,37
ば,ば,ば,助詞 接続助詞 * * * *,192,37
その,その,其の,連体詞 * * * * *,192,36
わ,わ,わ,助詞 終助詞 * * * *,190,36
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,177,37
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,174,35
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,167,37
お前,お前,御前,代名詞 * * * * *,167,36
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,166,35
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,162,36
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,161,36
ムラク,ムラク,ムラク,名詞 普通名詞 一般 * * *,158,29
僕,僕,僕,代名詞 * * * * *,154,34
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,153,35
世界,世界,世界,名詞 普通名詞 一般 * * *,153,25
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,152,34
なん,なん,何,代名詞 * * * * *,150,37
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,149,36
まで,まで,まで,助詞 副助詞 * * * *,147,37
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,146,37
だけ,だけ,だけ,助詞 副助詞 * * * *,143,36
タイム,タイム,タイム,名詞 普通名詞 一般 * * *,142,32
ため,ため,為,名詞 普通名詞 副詞可能 * * *,139,34
ウォー,ウォー,ウォー,名詞 普通名詞 一般 * * *,139,32
わかっ,わかる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,138,36
ら,ら,等,接尾辞 名詞的 一般 * * *,137,33
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,136,35
ここ,ここ,此処,代名詞 * * * * *,135,36
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,131,32
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,130,34
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,129,33
私,私,私,代名詞 * * * * *,128,28
よう,よう,様,形状詞 助動詞語幹 * * * *,125,37
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,125,35
もう,もう,もう,副詞 * * * * *,125,34
あの,あの,彼の,連体詞 * * * * *,125,33
が,が,が,助詞 接続助詞 * * * *,122,35
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,122,35
ハルキ,ハルキ,ハルキ,名詞 固有名詞 人名 名 * *,119,37
玲奈,玲奈,玲奈,名詞 固有名詞 人名 名 * *,117,35
ユノ,ユノ,ユノ,名詞 普通名詞 一般 * * *,116,35
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,116,32
さん,さん,さん,接尾辞 名詞的 一般 * * *,116,31
そんな,そんな,そんな,連体詞 * * * * *,114,34
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,114,33
キミ,キミ,君,代名詞 * * * * *,114,28
先生,先生,先生,名詞 普通名詞 一般 * * *,112,31
の,の,の,助詞 終助詞 * * * *,111,34
リクヤ,リクヤ,リクヤ,名詞 普通名詞 一般 * * *,107,21
けど,けど,けれど,助詞 接続助詞 * * * *,106,35
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,106,34
より,より,より,助詞 格助詞 * * * *,106,34
えっ,えっ,えっ,感動詞 一般 * * * *,106,31
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,105,30
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,103,34
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,103,31
お,お,御,接頭辞 * * * * *,102,32
さ,さ,さ,助詞 終助詞 * * * *,102,32
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,101,36
今,今,今,名詞 普通名詞 副詞可能 * * *,101,32
もの,もの,物,名詞 普通名詞 サ変可能 * * *,101,31
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,99,32
ロスト,ロスト,ロスト,名詞 普通名詞 一般 * * *,99,29
了解,了解,了解,名詞 普通名詞 サ変可能 * * *,98,29
開始,開始,開始,名詞 普通名詞 サ変可能 * * *,97,31
ロシウス,ロシウス,ロシウス,名詞 普通名詞 一般 * * *,96,29
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,94,35
戦争,戦争,戦争,名詞 普通名詞 サ変可能 * * *,94,22
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,93,30
ああ,ああ,ああ,感動詞 一般 * * * *,92,32
え,え,えっ,感動詞 一般 * * * *,88,32
瀬名,瀬名,瀬名,名詞 固有名詞 人名 姓 * *,87,27
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,85,35
･,・,・,補助記号 一般 * * * *,85,19
機体,機体,機体,名詞 普通名詞 一般 * * *,83,24
なり,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,82,34
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,81,31
キャサリン,キャサリン,キャサリン,名詞 固有名詞 人名 一般 * *,81,29
君,君,君,接尾辞 名詞的 一般 * * *,81,22
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,80,33
美都,美都,美都,名詞 固有名詞 地名 一般 * *,80,27
敵,敵,敵,名詞 普通名詞 一般 * * *,80,26
へ,へ,へ,助詞 格助詞 * * * *,78,31
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,77,30
あっ,あっ,あっ,感動詞 一般 * * * *,77,25
ジェノック,ジェノック,ジェノック,名詞 普通名詞 一般 * * *,77,16
はい,はい,はい,感動詞 一般 * * * *,76,27
と,と,と,助詞 接続助詞 * * * *,73,28
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,73,27
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,72,33
で,で,で,助詞 接続助詞 * * * *,72,30
マイク,マイク,マイク,名詞 普通名詞 一般 * * *,72,3
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,71,27
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,70,32
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,70,31
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,69,31
なんて,なんて,なんて,助詞 副助詞 * * * *,69,27
わけ,わけ,訳,名詞 普通名詞 一般 * * *,68,31
うん,うん,うん,感動詞 一般 * * * *,68,28
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,67,28
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,66,27
作戦,作戦,作戦,名詞 普通名詞 一般 * * *,66,21
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,65,29
私たち,私たち,私達,名詞 普通名詞 一般 * * *,65,24
し,し,し,助詞 接続助詞 * * * *,63,28
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,63,25
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,61,29
猿田,猿田,猿田,名詞 固有名詞 人名 姓 * *,61,21
気,気,気,名詞 普通名詞 一般 * * *,60,33
でき,できる,出来る,動詞 非自立可能 * * 上一段-カ行 未然形-一般,60,31
こんな,こんな,こんな,連体詞 * * * * *,60,29
生徒,生徒,生徒,名詞 普通名詞 一般 * * *,59,24
カイト,カイト,カイト,名詞 普通名詞 一般 * * *,59,21
あなた,あなた,貴方,代名詞 * * * * *,58,26
ファンクション,ファンクション,ファンクション,名詞 普通名詞 一般 * * *,58,17
あと,あと,後,名詞 普通名詞 副詞可能 * * *,57,28
音,音,音,名詞 普通名詞 一般 * * *,57,25
いく,いく,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,57,21
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,56,29
仲間,仲間,仲間,名詞 普通名詞 一般 * * *,56,21
あれ,あれ,彼れ,代名詞 * * * * *,55,29
できる,できる,出来る,動詞 非自立可能 * * 上一段-カ行 連体形-一般,55,29
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,55,26
時間,時間,時間,名詞 普通名詞 助数詞可能 * * *,55,26
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,55,25
