Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1829,51
は,は,は,助詞 係助詞 * * * *,1518,51
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1416,51
に,に,に,助詞 格助詞 * * * *,1407,51
を,を,を,助詞 格助詞 * * * *,1324,51
て,て,て,助詞 接続助詞 * * * *,1104,51
が,が,が,助詞 格助詞 * * * *,1072,51
と,と,と,助詞 格助詞 * * * *,739,51
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,721,51
も,も,も,助詞 係助詞 * * * *,656,51
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,602,51
で,で,で,助詞 格助詞 * * * *,555,51
か,か,か,助詞 終助詞 * * * *,517,51
・,・,・,補助記号 一般 * * * *,514,51
カモン,カモン,カモン,名詞 普通名詞 一般 * * *,482,51
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,456,51
〜,〜,〜,補助記号 一般 * * * *,443,51
な,な,な,助詞 終助詞 * * * *,438,51
の,の,の,助詞 準体助詞 * * * *,438,51
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,433,50
俺,俺,俺,代名詞 * * * * *,377,51
よ,よ,よ,助詞 終助詞 * * * *,358,50
ガルバーン,ガルバーン,ガルバーン,名詞 普通名詞 一般 * * *,323,50
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,299,51
ん,ん,の,助詞 準体助詞 * * * *,280,51
この,この,此の,連体詞 * * * * *,249,51
たち,たち,達,接尾辞 名詞的 一般 * * *,247,50
って,って,って,助詞 副助詞 * * * *,247,50
ファイト,ファイト,ファイト,名詞 普通名詞 一般 * * *,232,49
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,218,51
エンブレム,エンブレム,エンブレム,名詞 普通名詞 一般 * * *,214,51
マスター,マスター,マスター,名詞 普通名詞 サ変可能 * * *,211,45
チャージ,チャージ,チャージ,名詞 普通名詞 サ変可能 * * *,210,51
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,197,48
こと,こと,こと,名詞 普通名詞 一般 * * *,194,51
カケル,カケル,カケル,名詞 普通名詞 一般 * * *,192,35
お前,お前,御前,代名詞 * * * * *,185,48
これ,これ,此れ,代名詞 * * * * *,180,50
か,か,か,助詞 副助詞 * * * *,177,48
それ,それ,其れ,代名詞 * * * * *,168,49
ドライブ,ドライブ,ドライブ,名詞 普通名詞 サ変可能 * * *,165,48
マイク,マイク,マイク,名詞 普通名詞 一般 * * *,162,22
何,何,何,代名詞 * * * * *,157,45
その,その,其の,連体詞 * * * * *,154,48
ね,ね,ね,助詞 終助詞 * * * *,153,45
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,152,46
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,151,45
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,147,46
どう,どう,どう,副詞 * * * * *,145,50
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,145,44
あの,あの,彼の,連体詞 * * * * *,142,49
なん,なん,何,代名詞 * * * * *,140,48
リョーマ,リョーマ,リョーマ,名詞 普通名詞 一般 * * *,140,34
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,137,48
そう,そう,そう,副詞 * * * * *,137,46
ビーダマン,ビーダマン,ビーダマン,名詞 普通名詞 一般 * * *,133,45
ビャクガ,ビャクガ,ビャクガ,名詞 普通名詞 一般 * * *,133,37
ドラシアン,ドラシアン,ドラシアン,名詞 普通名詞 一般 * * *,133,31
レイドラ,レイドラ,レイドラ,名詞 普通名詞 一般 * * *,132,35
選手,選手,選手,名詞 普通名詞 一般 * * *,131,25
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,123,33
フェニックス,フェニックス,フェニックス,名詞 普通名詞 一般 * * *,117,22
から,から,から,助詞 接続助詞 * * * *,116,41
が,が,が,助詞 接続助詞 * * * *,115,42
ら,ら,等,接尾辞 名詞的 一般 * * *,115,38
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,112,41
から,から,から,助詞 格助詞 * * * *,110,46
ば,ば,ば,助詞 接続助詞 * * * *,108,45
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,106,44
グランド,グランド,グランド,名詞 普通名詞 一般 * * *,105,36
ビーダー,ビーダー,ビーダー,名詞 普通名詞 一般 * * *,103,38
ミツル,ミツル,ミツル,名詞 固有名詞 人名 名 * *,102,43
お,お,御,接頭辞 * * * * *,101,42
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,101,38
ゲンタ,ゲンタ,ゲンタ,名詞 普通名詞 一般 * * *,100,21
私,私,私,代名詞 * * * * *,99,36
