Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1931,33
は,は,は,助詞 係助詞 * * * *,1831,33
に,に,に,助詞 格助詞 * * * *,1781,33
の,の,の,助詞 格助詞 * * * *,1755,33
て,て,て,助詞 接続助詞 * * * *,1709,33
が,が,が,助詞 格助詞 * * * *,1442,33
よ,よ,よ,助詞 終助詞 * * * *,1225,33
も,も,も,助詞 係助詞 * * * *,1142,33
ん,ん,の,助詞 準体助詞 * * * *,1126,33
で,で,で,助詞 格助詞 * * * *,1106,33
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1086,33
空,空,空,名詞 普通名詞 一般 * * *,1009,33
か,か,か,助詞 終助詞 * * * *,995,33
を,を,を,助詞 格助詞 * * * *,915,33
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,889,33
と,と,と,助詞 格助詞 * * * *,809,33
な,な,な,助詞 終助詞 * * * *,796,33
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,785,33
の,の,の,助詞 準体助詞 * * * *,731,33
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,574,33
って,って,って,助詞 副助詞 * * * *,549,33
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,540,33
〜,〜,〜,補助記号 一般 * * * *,532,33
千秋,千秋,千秋,名詞 固有名詞 人名 名 * *,516,33
百春,百春,百春,名詞 固有名詞 人名 姓 * *,512,33
あ,あ,あっ,感動詞 一般 * * * *,500,33
俺,俺,俺,代名詞 * * * * *,415,32
こと,こと,こと,名詞 普通名詞 一般 * * *,409,33
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,396,33
たち,たち,達,接尾辞 名詞的 一般 * * *,395,33
なん,なん,何,代名詞 * * * * *,393,33
か,か,か,助詞 副助詞 * * * *,386,33
あっ,あっ,あっ,感動詞 一般 * * * *,381,33
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,373,33
ね,ね,ね,助詞 終助詞 * * * *,373,33
から,から,から,助詞 接続助詞 * * * *,365,33
円,円,円,名詞 普通名詞 一般 * * *,357,28
バスケ,バスケ,バスケ,名詞 普通名詞 サ変可能 * * *,354,31
君,君,君,接尾辞 名詞的 一般 * * *,350,33
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,347,33
奈緒,奈緒,奈緒,名詞 固有名詞 人名 名 * *,347,23
夏目,夏目,夏目,名詞 固有名詞 人名 姓 * *,330,26
それ,それ,其れ,代名詞 * * * * *,312,33
から,から,から,助詞 格助詞 * * * *,306,33
安原,安原,安原,名詞 固有名詞 人名 姓 * *,290,33
お前,お前,御前,代名詞 * * * * *,283,33
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,281,33
この,この,此の,連体詞 * * * * *,278,33
ハア,ハア,はあ,感動詞 一般 * * * *,277,31
けど,けど,けれど,助詞 接続助詞 * * * *,271,33
