Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1669,7
は,は,は,助詞 係助詞 * * * *,1317,7
に,に,に,助詞 格助詞 * * * *,1159,7
を,を,を,助詞 格助詞 * * * *,1127,7
て,て,て,助詞 接続助詞 * * * *,1040,7
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,817,7
が,が,が,助詞 格助詞 * * * *,697,7
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,627,7
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,595,7
と,と,と,助詞 格助詞 * * * *,533,7
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,442,7
ヤマト,ヤマト,ヤマト,名詞 固有名詞 地名 一般 * *,434,7
も,も,も,助詞 係助詞 * * * *,415,7
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,339,7
の,の,の,助詞 準体助詞 * * * *,319,7
で,で,で,助詞 格助詞 * * * *,315,7
か,か,か,助詞 終助詞 * * * *,297,7
地球,地球,地球,名詞 普通名詞 一般 * * *,289,7
ん,ん,の,助詞 準体助詞 * * * *,263,7
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,239,7
こと,こと,こと,名詞 普通名詞 一般 * * *,205,7
へ,へ,へ,助詞 格助詞 * * * *,204,7
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,197,7
艦長,艦長,艦長,名詞 普通名詞 一般 * * *,192,7
宇宙,宇宙,宇宙,名詞 普通名詞 一般 * * *,187,7
な,な,な,助詞 終助詞 * * * *,186,7
から,から,から,助詞 格助詞 * * * *,173,7
この,この,此の,連体詞 * * * * *,165,7
第,第,第,接頭辞 * * * * *,161,7
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,160,7
何,何,何,代名詞 * * * * *,155,7
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,150,7
星,星,星,名詞 普通名詞 一般 * * *,149,7
か,か,か,助詞 副助詞 * * * *,141,7
はい,はい,はい,感動詞 一般 * * * *,140,7
古代,古代,古代,名詞 普通名詞 副詞可能 * * *,140,7
よ,よ,よ,助詞 終助詞 * * * *,138,7
デスラー,デスラー,デスラー,名詞 普通名詞 一般 * * *,135,7
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,133,7
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,132,7
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,131,7
が,が,が,助詞 接続助詞 * * * *,128,7
発射,発射,発射,名詞 普通名詞 サ変可能 * * *,122,7
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,119,7
ガルマン,ガルマン,ガルマン,名詞 固有名詞 一般 * * *,119,7
その,その,其の,連体詞 * * * * *,118,7
惑星,惑星,惑星,名詞 普通名詞 一般 * * *,118,7
私,私,私,代名詞 * * * * *,116,7
どう,どう,どう,副詞 * * * * *,115,7
艦隊,艦隊,艦隊,名詞 普通名詞 一般 * * *,115,7
太陽,太陽,太陽,名詞 普通名詞 一般 * * *,109,6
まで,まで,まで,助詞 副助詞 * * * *,107,7
敵,敵,敵,名詞 普通名詞 一般 * * *,103,6
それ,それ,其れ,代名詞 * * * * *,102,7
星,星,星,接尾辞 名詞的 一般 * * *,102,7
･,・,・,補助記号 一般 * * * *,102,5
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,101,7
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,100,7
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,97,7
そう,そう,そう,副詞 * * * * *,95,7
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,94,7
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,94,7
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,93,7
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,92,7
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,92,7
我々,我々,我々,代名詞 * * * * *,87,7
発進,発進,発進,名詞 普通名詞 サ変可能 * * *,87,7
シャルバート,シャルバート,シャルバート,名詞 普通名詞 一般 * * *,86,5
たち,たち,達,接尾辞 名詞的 一般 * * *,81,7
俺,俺,俺,代名詞 * * * * *,81,7
攻撃,攻撃,攻撃,名詞 普通名詞 サ変可能 * * *,80,7
ボラー,ボラー,ボラー,名詞 普通名詞 一般 * * *,80,5
了解,了解,了解,名詞 普通名詞 サ変可能 * * *,79,6
総統,総統,総統,名詞 普通名詞 一般 * * *,78,7
お,お,御,接頭辞 * * * * *,77,7
これ,これ,此れ,代名詞 * * * * *,77,7
さん,さん,さん,接尾辞 名詞的 一般 * * *,77,7
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,76,7
今,今,今,名詞 普通名詞 副詞可能 * * *,76,7
準備,準備,準備,名詞 普通名詞 サ変可能 * * *,73,7
連邦,連邦,連邦,名詞 普通名詞 一般 * * *,73,7
ガミラス,ガミラス,ガミラス,名詞 固有名詞 一般 * * *,73,4
ば,ば,ば,助詞 接続助詞 * * * *,72,7
