Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,7232,136
は,は,は,助詞 係助詞 * * * *,5785,136
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,5737,136
て,て,て,助詞 接続助詞 * * * *,5701,136
に,に,に,助詞 格助詞 * * * *,5394,136
が,が,が,助詞 格助詞 * * * *,3972,136
を,を,を,助詞 格助詞 * * * *,3953,136
も,も,も,助詞 係助詞 * * * *,3282,136
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,3109,136
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,3061,136
〜,〜,〜,補助記号 一般 * * * *,2833,136
で,で,で,助詞 格助詞 * * * *,2829,136
と,と,と,助詞 格助詞 * * * *,2810,136
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,2737,136
よ,よ,よ,助詞 終助詞 * * * *,2602,136
ん,ん,の,助詞 準体助詞 * * * *,2319,136
か,か,か,助詞 終助詞 * * * *,2248,136
の,の,の,助詞 準体助詞 * * * *,2069,136
な,な,な,助詞 終助詞 * * * *,2015,136
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,1699,135
ね,ね,ね,助詞 終助詞 * * * *,1643,136
サトシ,サトシ,サトシ,名詞 固有名詞 人名 名 * *,1525,136
たち,たち,達,接尾辞 名詞的 一般 * * *,1467,135
って,って,って,助詞 副助詞 * * * *,1425,135
ロト,ロト,ロト,名詞 固有名詞 人名 一般 * *,1410,111
俺,俺,俺,代名詞 * * * * *,1389,136
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,1281,133
か,か,か,助詞 副助詞 * * * *,1194,135
ニャ,ニャ,ニャ,名詞 普通名詞 一般 * * *,1147,82
こと,こと,こと,名詞 普通名詞 一般 * * *,1106,134
お,お,御,接頭辞 * * * * *,1029,133
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,992,136
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,977,133
これ,これ,此れ,代名詞 * * * * *,955,135
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,948,131
この,この,此の,連体詞 * * * * *,907,136
それ,それ,其れ,代名詞 * * * * *,846,136
なん,なん,何,代名詞 * * * * *,821,135
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,815,135
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,803,128
どう,どう,どう,副詞 * * * * *,797,135
あっ,あっ,あっ,感動詞 一般 * * * *,790,131
そう,そう,そう,副詞 * * * * *,786,133
から,から,から,助詞 接続助詞 * * * *,784,136
から,から,から,助詞 格助詞 * * * *,685,133
えっ,えっ,えっ,感動詞 一般 * * * *,674,127
何,何,何,代名詞 * * * * *,669,133
の,の,の,助詞 終助詞 * * * *,652,126
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,644,136
アローラ,アローラ,アローラ,名詞 固有名詞 一般 * * *,620,100
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,596,132
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,591,134
うん,うん,うん,感動詞 一般 * * * *,581,124
私,私,私,代名詞 * * * * *,579,110
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,573,133
さん,さん,さん,接尾辞 名詞的 一般 * * *,573,113
もう,もう,もう,副詞 * * * * *,557,132
ここ,ここ,此処,代名詞 * * * * *,535,128
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,528,130
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,527,134
その,その,其の,連体詞 * * * * *,522,134
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,516,130
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,507,129
ロトム,ロトム,ロトム,名詞 普通名詞 一般 * * *,504,113
リーリエ,リーリエ,リーリエ,名詞 普通名詞 一般 * * *,497,100
はい,はい,はい,感動詞 一般 * * * *,490,116
･,・,・,補助記号 一般 * * * *,490,97
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,481,127
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,477,124
カキ,カキ,かき,名詞 普通名詞 一般 * * *,477,101
マーマネ,マーマネ,マーマネ,名詞 普通名詞 一般 * * *,442,99
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,434,129
ば,ば,ば,助詞 接続助詞 * * * *,429,128
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,428,124
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,425,121
お前,お前,御前,代名詞 * * * * *,423,110
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,414,124
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,413,115
団,団,団,接尾辞 名詞的 一般 * * *,413,74
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,407,127
スイレン,スイレン,睡蓮,名詞 普通名詞 一般 * * *,401,99
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,393,123
ロケット,ロケット,ロケット,名詞 普通名詞 一般 * * *,388,69
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,387,121
ニャース,ニャース,ニャース,名詞 普通名詞 一般 * * *,385,72
今,今,今,名詞 普通名詞 副詞可能 * * *,384,125
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,382,116
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,381,127
わ,わ,わ,助詞 終助詞 * * * *,380,103
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,379,117
クロー,クロー,クロー,名詞 普通名詞 一般 * * *,371,48
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,366,118
モクロー,モクロー,モクロー,名詞 普通名詞 一般 * * *,364,64
ソ,ソ,ソ,名詞 固有名詞 地名 国 * *,355,68
あの,あの,彼の,連体詞 * * * * *,352,121
図鑑,図鑑,図鑑,名詞 普通名詞 一般 * * *,347,121
ムサシ,ムサシ,ムサシ,名詞 固有名詞 地名 一般 * *,346,72
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,342,111
けど,けど,けれど,助詞 接続助詞 * * * *,341,119
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,339,117
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,330,112
よう,よう,様,形状詞 助動詞語幹 * * * *,325,116
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,323,113
ナンス,ナンス,ナンス,名詞 普通名詞 一般 * * *,322,68
マオ,マオ,マオ,名詞 固有名詞 地名 一般 * *,317,101
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,316,112
僕,僕,僕,代名詞 * * * * *,314,86
ウルトラ,ウルトラ,ウルトラ,名詞 普通名詞 一般 * * *,313,36
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,311,121
どこ,どこ,どこ,代名詞 * * * * *,306,106
じゃあ,じゃあ,で,接続詞 * * * * *,305,111
島,島,島,名詞 普通名詞 一般 * * *,305,58
で,で,で,助詞 接続助詞 * * * *,300,116
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,300,57
さ,さ,さ,助詞 終助詞 * * * *,299,114
と,と,と,助詞 接続助詞 * * * *,297,120
ニー,ニー,ニー,名詞 普通名詞 一般 * * *,296,8
し,し,し,助詞 接続助詞 * * * *,294,119
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,294,112
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,290,113
ちょっと,ちょっと,一寸,副詞 * * * * *,290,101
