Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,766,12
の,の,の,助詞 格助詞 * * * *,644,12
て,て,て,助詞 接続助詞 * * * *,632,12
に,に,に,助詞 格助詞 * * * *,601,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,466,12
を,を,を,助詞 格助詞 * * * *,448,12
が,が,が,助詞 格助詞 * * * *,381,12
も,も,も,助詞 係助詞 * * * *,279,12
で,で,で,助詞 格助詞 * * * *,272,12
葉太郎,葉太郎,葉太郎,名詞 固有名詞 人名 名 * *,265,12
と,と,と,助詞 格助詞 * * * *,248,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,238,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,238,12
の,の,の,助詞 準体助詞 * * * *,234,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,225,12
よ,よ,よ,助詞 終助詞 * * * *,216,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,211,12
か,か,か,助詞 終助詞 * * * *,207,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,206,12
真緒,真緒,真緒,名詞 固有名詞 人名 名 * *,200,12
〜,〜,〜,補助記号 一般 * * * *,191,12
ん,ん,の,助詞 準体助詞 * * * *,191,12
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,180,12
こと,こと,こと,名詞 普通名詞 一般 * * *,178,12
何,何,何,代名詞 * * * * *,177,12
あッ,あッ,あっ,感動詞 一般 * * * *,174,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,162,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,151,12
って,って,って,助詞 副助詞 * * * *,144,12
騎士,騎士,騎士,名詞 普通名詞 一般 * * *,135,12
な,な,な,助詞 終助詞 * * * *,133,12
えッ,えッ,えっ,感動詞 一般 * * * *,132,12
僕,僕,僕,代名詞 * * * * *,125,12
私,私,私,代名詞 * * * * *,125,12
ランサー,ランサー,ランサー,名詞 普通名詞 一般 * * *,119,12
ゅ,ゅ,ユ,記号 一般 * * * *,118,12
姫,姫,姫,名詞 普通名詞 一般 * * *,117,12
依子,依子,依子,名詞 固有名詞 人名 名 * *,114,12
ナイト,ナイト,ナイト,名詞 普通名詞 一般 * * *,106,11
ね,ね,ね,助詞 終助詞 * * * *,104,12
お,お,御,接頭辞 * * * * *,103,12
白,白,白,名詞 普通名詞 一般 * * *,103,12
から,から,から,助詞 接続助詞 * * * *,102,12
アリス,アリス,アリス,名詞 固有名詞 人名 一般 * *,101,12
し,し,し,助詞 接続助詞 * * * *,100,12
ユイフォン,ユイフォン,ユイフォン,名詞 普通名詞 一般 * * *,97,9
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,96,12
様,様,様,接尾辞 名詞的 一般 * * *,88,12
それ,それ,其れ,代名詞 * * * * *,80,12
その,その,其の,連体詞 * * * * *,76,12
あの,あの,彼の,連体詞 * * * * *,73,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,72,12
･,・,・,補助記号 一般 * * * *,70,11
か,か,か,助詞 副助詞 * * * *,69,12
あなた,あなた,貴方,代名詞 * * * * *,69,11
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,68,12
これ,これ,此れ,代名詞 * * * * *,65,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,64,12
ユイエン,ユイエン,ユイエン,名詞 普通名詞 一般 * * *,64,11
ヒーロー,ヒーロー,ヒーロー,名詞 普通名詞 一般 * * *,64,8
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,63,12
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,63,11
ぷり,ぷり,ぷり,副詞 * * * * *,63,11
お前,お前,御前,代名詞 * * * * *,60,11
そう,そう,そう,副詞 * * * * *,60,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,58,12
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,58,12
この,この,此の,連体詞 * * * * *,57,11
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,53,12
もう,もう,もう,副詞 * * * * *,53,12
ユイファ,ユイファ,ユイファ,名詞 普通名詞 一般 * * *,53,12
館長,館長,館長,名詞 普通名詞 一般 * * *,53,5
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,51,12
うん,うん,うん,感動詞 一般 * * * *,51,11
の,の,の,助詞 終助詞 * * * *,49,12
人,人,人,名詞 普通名詞 一般 * * *,49,11
子,子,子,名詞 普通名詞 一般 * * *,49,9
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,48,11
自分,自分,自分,名詞 普通名詞 一般 * * *,48,10
俺,俺,俺,代名詞 * * * * *,48,9
うッ,うッ,うう,感動詞 一般 * * * *,46,9
冴,冴,冴,名詞 固有名詞 人名 名 * *,46,7
ああ,ああ,ああ,感動詞 一般 * * * *,45,12
どう,どう,どう,副詞 * * * * *,45,11
から,から,から,助詞 格助詞 * * * *,45,10
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,44,12
