Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,601,3
は,は,は,助詞 係助詞 * * * *,476,3
に,に,に,助詞 格助詞 * * * *,406,3
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,396,3
を,を,を,助詞 格助詞 * * * *,334,3
が,が,が,助詞 格助詞 * * * *,327,3
て,て,て,助詞 接続助詞 * * * *,327,3
グリフィス,グリフィス,グリフィス,名詞 固有名詞 人名 一般 * *,221,3
も,も,も,助詞 係助詞 * * * *,190,3
と,と,と,助詞 格助詞 * * * *,184,3
ガッツ,ガッツ,ガッツ,名詞 普通名詞 一般 * * *,183,3
か,か,か,助詞 終助詞 * * * *,175,3
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,170,3
な,な,な,助詞 終助詞 * * * *,164,3
ん,ん,の,助詞 準体助詞 * * * *,163,3
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,162,3
で,で,で,助詞 格助詞 * * * *,159,3
の,の,の,助詞 準体助詞 * * * *,147,3
よ,よ,よ,助詞 終助詞 * * * *,127,3
キャスカ,キャスカ,キャスカ,名詞 普通名詞 一般 * * *,120,3
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,119,3
俺,俺,俺,代名詞 * * * * *,114,3
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,109,3
お前,お前,御前,代名詞 * * * * *,108,3
たち,たち,達,接尾辞 名詞的 一般 * * *,91,3
こと,こと,こと,名詞 普通名詞 一般 * * *,87,3
何,何,何,代名詞 * * * * *,85,3
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,80,3
団員,団員,団員,名詞 普通名詞 一般 * * *,75,3
この,この,此の,連体詞 * * * * *,72,3
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,68,3
って,って,って,助詞 副助詞 * * * *,66,3
どう,どう,どう,副詞 * * * * *,64,3
お,お,御,接頭辞 * * * * *,62,3
鷹,鷹,鷹,名詞 普通名詞 一般 * * *,61,3
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,55,3
それ,それ,其れ,代名詞 * * * * *,53,3
あっ,あっ,あっ,感動詞 一般 * * * *,52,3
これ,これ,此れ,代名詞 * * * * *,51,3
から,から,から,助詞 接続助詞 * * * *,50,3
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,50,3
から,から,から,助詞 格助詞 * * * *,49,3
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,49,3
兵士,兵士,兵士,名詞 普通名詞 一般 * * *,49,3
〜,〜,〜,補助記号 一般 * * * *,48,3
その,その,其の,連体詞 * * * * *,48,3
団,団,団,名詞 普通名詞 一般 * * *,47,3
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,46,3
ジュドー,ジュドー,ジュドー,名詞 固有名詞 人名 一般 * *,46,3
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,44,3
ら,ら,等,接尾辞 名詞的 一般 * * *,44,3
様,様,様,接尾辞 名詞的 一般 * * *,44,3
コルカス,コルカス,コルカス,名詞 普通名詞 一般 * * *,43,3
隊長,隊長,隊長,名詞 普通名詞 一般 * * *,42,3
将軍,将軍,将軍,名詞 普通名詞 一般 * * *,42,2
か,か,か,助詞 副助詞 * * * *,41,3
私,私,私,代名詞 * * * * *,40,3
そう,そう,そう,副詞 * * * * *,38,3
だけ,だけ,だけ,助詞 副助詞 * * * *,38,3
敵,敵,敵,名詞 普通名詞 一般 * * *,38,3
おい,おい,おい,感動詞 一般 * * * *,37,3
あの,あの,彼の,連体詞 * * * * *,36,3
者,者,者,名詞 普通名詞 一般 * * *,36,3
ば,ば,ば,助詞 接続助詞 * * * *,35,3
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,35,3
夢,夢,夢,名詞 普通名詞 一般 * * *,35,3
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,34,3
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,34,3
今,今,今,名詞 普通名詞 副詞可能 * * *,33,3
貴様,貴様,貴様,代名詞 * * * * *,33,3
ああ,ああ,ああ,感動詞 一般 * * * *,32,3
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,32,3
バカ,バカ,ばか,名詞 普通名詞 形状詞可能 * * *,32,3
もう,もう,もう,副詞 * * * * *,31,3
チューダー,チューダー,チューダー,名詞 固有名詞 人名 一般 * *,31,3
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,30,3
剣,剣,剣,名詞 普通名詞 一般 * * *,30,3
貴族,貴族,貴族,名詞 普通名詞 一般 * * *,30,3
音,音,音,名詞 普通名詞 一般 * * *,30,3
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,29,3
ね,ね,ね,助詞 終助詞 * * * *,29,3
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,28,3
が,が,が,助詞 接続助詞 * * * *,28,3
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,28,3
ヤツ,ヤツ,奴,名詞 普通名詞 一般 * * *,28,3
女,女,女,名詞 普通名詞 一般 * * *,28,3
よう,よう,様,形状詞 助動詞語幹 * * * *,27,3
そんな,そんな,そんな,連体詞 * * * * *,26,3
ボスコーン,ボスコーン,ボスコーン,名詞 普通名詞 一般 * * *,26,1
ここ,ここ,此処,代名詞 * * * * *,25,3
まで,まで,まで,助詞 副助詞 * * * *,25,3
誰,誰,誰,代名詞 * * * * *,25,3
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,24,3
