Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2977,51
は,は,は,助詞 係助詞 * * * *,2799,51
て,て,て,助詞 接続助詞 * * * *,2720,51
に,に,に,助詞 格助詞 * * * *,2449,51
が,が,が,助詞 格助詞 * * * *,1930,51
を,を,を,助詞 格助詞 * * * *,1894,51
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1543,51
も,も,も,助詞 係助詞 * * * *,1529,51
〜,〜,〜,補助記号 一般 * * * *,1338,51
よ,よ,よ,助詞 終助詞 * * * *,1330,51
で,で,で,助詞 格助詞 * * * *,1201,51
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1180,51
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1079,51
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1039,51
と,と,と,助詞 格助詞 * * * *,964,51
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,941,51
の,の,の,助詞 準体助詞 * * * *,927,51
ね,ね,ね,助詞 終助詞 * * * *,848,51
わ,わ,わ,助詞 終助詞 * * * *,741,51
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,719,51
マナ,マナ,マナ,名詞 固有名詞 人名 名 * *,719,51
ん,ん,の,助詞 準体助詞 * * * *,694,51
か,か,か,助詞 終助詞 * * * *,646,51
プリキュア,プリキュア,プリキュア,名詞 固有名詞 一般 * * *,606,51
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,591,51
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,583,51
こと,こと,こと,名詞 普通名詞 一般 * * *,579,51
お,お,御,接頭辞 * * * * *,541,51
って,って,って,助詞 副助詞 * * * *,524,51
たち,たち,達,接尾辞 名詞的 一般 * * *,517,51
キュア,キュア,キュア,名詞 普通名詞 一般 * * *,517,51
あっ,あっ,あっ,感動詞 一般 * * * *,503,51
何,何,何,代名詞 * * * * *,466,51
の,の,の,助詞 終助詞 * * * *,461,51
あなた,あなた,貴方,代名詞 * * * * *,458,51
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,446,51
それ,それ,其れ,代名詞 * * * * *,431,51
どう,どう,どう,副詞 * * * * *,416,51
から,から,から,助詞 接続助詞 * * * *,399,51
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,398,51
えっ,えっ,えっ,感動詞 一般 * * * *,388,48
か,か,か,助詞 副助詞 * * * *,384,51
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,384,51
うん,うん,うん,感動詞 一般 * * * *,384,49
この,この,此の,連体詞 * * * * *,378,51
さん,さん,さん,接尾辞 名詞的 一般 * * *,365,49
レジーナ,レジーナ,レジーナ,名詞 固有名詞 人名 一般 * *,356,25
これ,これ,此れ,代名詞 * * * * *,349,51
そう,そう,そう,副詞 * * * * *,347,49
わたし,わたし,私,代名詞 * * * * *,342,45
さま,さま,様,接尾辞 名詞的 一般 * * *,336,46
あたし,あたし,私,代名詞 * * * * *,335,41
ば,ば,ば,助詞 接続助詞 * * * *,318,51
な,な,な,助詞 終助詞 * * * *,315,50
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,314,49
六花,六花,六花,名詞 普通名詞 一般 * * *,313,45
ジコチュー,ジコチュー,ジコチュー,名詞 普通名詞 一般 * * *,300,46
・,・,・,補助記号 一般 * * * *,287,42
ハート,ハート,ハート,名詞 普通名詞 一般 * * *,283,49
愛,愛,愛,名詞 普通名詞 一般 * * *,277,51
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,277,50
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,271,50
シャル,シャル,シャル,名詞 普通名詞 一般 * * *,264,47
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,259,49
アイ,アイ,アイ,名詞 普通名詞 一般 * * *,257,33
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,248,49
から,から,から,助詞 格助詞 * * * *,246,51
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,246,48
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,244,43
真琴,真琴,真琴,名詞 固有名詞 人名 名 * *,239,46
人,人,人,接尾辞 名詞的 一般 * * *,232,46
もう,もう,もう,副詞 * * * * *,228,50
亜久里,亜久里,亜久里,名詞 固有名詞 人名 名 * *,222,28
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,220,50
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,219,49
シャルル,シャルル,シャルル,名詞 固有名詞 人名 一般 * *,216,45
ランス,ランス,ランス,名詞 固有名詞 地名 一般 * *,214,43
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,213,48
王女,王女,王女,名詞 普通名詞 一般 * * *,209,31
ぴー,ぴー,ぴい,副詞 * * * * *,203,30
その,その,其の,連体詞 * * * * *,199,50
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,198,48
はい,はい,はい,感動詞 一般 * * * *,198,48
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,194,47
まこ,まこ,まこ,名詞 固有名詞 人名 名 * *,192,30
ゅ,ゅ,ユ,記号 一般 * * * *,190,42
なん,なん,何,代名詞 * * * * *,188,46
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,187,48
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,187,44
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,185,49
あの,あの,彼の,連体詞 * * * * *,184,47
なんて,なんて,なんて,助詞 副助詞 * * * *,183,48
す,す,っす,助動詞 * * * 助動詞-デス 終止形-一般,183,41
で,で,で,助詞 接続助詞 * * * *,182,49
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,182,46
ケル,ケル,ケル,名詞 固有名詞 地名 一般 * *,178,39
ソード,ソード,ソード,名詞 普通名詞 一般 * * *,175,48
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,171,49
き,き,き,助動詞 * * * 文語助動詞-キ 終止形-一般,169,42
だけ,だけ,だけ,助詞 副助詞 * * * *,168,47
まで,まで,まで,助詞 副助詞 * * * *,167,47
けど,けど,けれど,助詞 接続助詞 * * * *,161,48
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,160,47
ここ,ここ,此処,代名詞 * * * * *,159,45
音,音,音,名詞 普通名詞 一般 * * *,159,40
ウッ,ウッ,ウッ,名詞 固有名詞 人名 一般 * *,157,44
力,力,力,名詞 普通名詞 一般 * * *,157,43
一同,一同,一同,名詞 普通名詞 一般 * * *,156,41
ダイヤモンド,ダイヤモンド,ダイヤモンド,名詞 普通名詞 一般 * * *,154,45
わたくし,わたくし,私,代名詞 * * * * *,154,27
ロゼッタ,ロゼッタ,ロゼッタ,名詞 固有名詞 地名 一般 * *,153,45
人,人,人,名詞 普通名詞 一般 * * *,152,43
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,151,50
今,今,今,名詞 普通名詞 副詞可能 * * *,151,47
ラケル,ラケル,ラケル,名詞 固有名詞 人名 一般 * *,151,23
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,149,47
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,149,45
ドキドキ,ドキドキ,どきどき,副詞 * * * * *,147,51
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,147,46
エース,エース,エース,名詞 普通名詞 一般 * * *,147,31
友達,友達,友達,名詞 普通名詞 一般 * * *,147,31
そんな,そんな,そんな,連体詞 * * * * *,146,47
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,146,45
もの,もの,物,名詞 普通名詞 サ変可能 * * *,143,43
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,140,46
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,139,45
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,137,44
ボク,ボク,僕,代名詞 * * * * *,137,31
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,136,43
し,し,し,助詞 接続助詞 * * * *,136,41
よう,よう,様,形状詞 助動詞語幹 * * * *,133,47
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,132,45
ビィ,ビィ,ビィ,名詞 普通名詞 一般 * * *,130,36
ため,ため,為,名詞 普通名詞 副詞可能 * * *,129,43
あ,あ,あー,感動詞 フィラー * * * *,127,47
ちょっと,ちょっと,一寸,副詞 * * * * *,127,44
パパ,パパ,パパ,名詞 普通名詞 一般 * * *,127,24
りす,りす,栗鼠,名詞 普通名詞 一般 * * *,123,47
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,123,45
