Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1420,13
は,は,は,助詞 係助詞 * * * *,1170,13
に,に,に,助詞 格助詞 * * * *,1007,13
を,を,を,助詞 格助詞 * * * *,956,13
て,て,て,助詞 接続助詞 * * * *,880,13
が,が,が,助詞 格助詞 * * * *,719,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,670,13
と,と,と,助詞 格助詞 * * * *,652,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,406,13
で,で,で,助詞 格助詞 * * * *,398,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,389,13
か,か,か,助詞 終助詞 * * * *,364,13
も,も,も,助詞 係助詞 * * * *,356,13
よ,よ,よ,助詞 終助詞 * * * *,341,13
の,の,の,助詞 準体助詞 * * * *,337,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,321,13
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,269,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,220,13
ん,ん,の,助詞 準体助詞 * * * *,218,13
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,217,13
ね,ね,ね,助詞 終助詞 * * * *,217,13
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,207,13
な,な,な,助詞 終助詞 * * * *,199,13
から,から,から,助詞 接続助詞 * * * *,179,13
か,か,か,助詞 副助詞 * * * *,171,13
ホライゾン,ホライゾン,ホライズン,名詞 普通名詞 一般 * * *,164,13
何,何,何,代名詞 * * * * *,163,13
俺,俺,俺,代名詞 * * * * *,151,13
ば,ば,ば,助詞 接続助詞 * * * *,147,13
こと,こと,こと,名詞 普通名詞 一般 * * *,141,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,141,13
って,って,って,助詞 副助詞 * * * *,139,13
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,139,13
それ,それ,其れ,代名詞 * * * * *,132,13
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,127,13
あっ,あっ,あっ,感動詞 一般 * * * *,122,13
から,から,から,助詞 格助詞 * * * *,121,13
事,事,事,名詞 普通名詞 一般 * * *,121,8
これ,これ,此れ,代名詞 * * * * *,120,13
どう,どう,どう,副詞 * * * * *,119,13
私,私,私,代名詞 * * * * *,113,12
その,その,其の,連体詞 * * * * *,111,13
この,この,此の,連体詞 * * * * *,105,13
武蔵,武蔵,武蔵,名詞 固有名詞 人名 名 * *,105,13
・,・,・,補助記号 一般 * * * *,104,13
わ,わ,わ,助詞 終助詞 * * * *,100,12
〜,〜,〜,補助記号 一般 * * * *,96,8
聖,聖,聖,接頭辞 * * * * *,95,12
お前,お前,御前,代名詞 * * * * *,94,12
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,89,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,88,13
の,の,の,助詞 終助詞 * * * *,87,12
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,84,13
今,今,今,名詞 普通名詞 副詞可能 * * *,84,13
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,82,13
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,82,12
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,81,12
お,お,御,接頭辞 * * * * *,80,13
が,が,が,助詞 接続助詞 * * * *,80,13
ん,ん,んっ,感動詞 一般 * * * *,80,13
けど,けど,けれど,助詞 接続助詞 * * * *,80,11
そう,そう,そう,副詞 * * * * *,79,13
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,75,13
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,75,13
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,75,13
よう,よう,様,形状詞 助動詞語幹 * * * *,74,13
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,72,13
ああ,ああ,ああ,感動詞 一般 * * * *,72,11
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,71,13
極東,極東,極東,名詞 普通名詞 一般 * * *,70,11
君,君,君,接尾辞 名詞的 一般 * * *,69,12
三河,三河,三河,名詞 固有名詞 地名 一般 * *,68,12
武装,武装,武装,名詞 普通名詞 サ変可能 * * *,68,12
連,連,連,名詞 普通名詞 助数詞可能 * * *,68,11
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,67,13
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,67,13
トーリ,トーリ,トーリ,名詞 固有名詞 人名 一般 * *,65,10
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,63,13
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,63,12
君,君,君,代名詞 * * * * *,60,13
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,60,12
ここ,ここ,此処,代名詞 * * * * *,59,13
はっ,はっ,はっ,感動詞 一般 * * * *,59,13
大罪,大罪,大罪,名詞 普通名詞 一般 * * *,58,11
様,様,様,接尾辞 名詞的 一般 * * *,58,11
まで,まで,まで,助詞 副助詞 * * * *,57,13
ら,ら,等,接尾辞 名詞的 一般 * * *,57,13
あ,あ,あっ,感動詞 一般 * * * *,57,12
ござる,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,55,10
ん,む,む,助動詞 * * * 文語助動詞-ム 終止形-撥音便,54,7
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,53,13
はい,はい,はい,感動詞 一般 * * * *,52,13
総長,総長,総長,名詞 普通名詞 一般 * * *,51,12
で,で,で,助詞 接続助詞 * * * *,50,13
もの,もの,物,名詞 普通名詞 サ変可能 * * *,50,13
人,人,人,名詞 普通名詞 一般 * * *,50,12
武蔵,武蔵,武蔵,名詞 固有名詞 地名 一般 * *,50,11
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,49,13
あの,あの,彼の,連体詞 * * * * *,49,12
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,49,11
世界,世界,世界,名詞 普通名詞 一般 * * *,48,12
と,と,と,助詞 接続助詞 * * * *,47,12
ジャッジ,ジャッジ,ジャッジ,名詞 普通名詞 サ変可能 * * *,47,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,46,13
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,46,11
だけ,だけ,だけ,助詞 副助詞 * * * *,45,12
正純,正純,正純,名詞 固有名詞 人名 名 * *,45,11
うっ,うっ,うう,感動詞 一般 * * * *,45,9
うん,うん,うん,感動詞 一般 * * * *,44,12
たち,たち,達,接尾辞 名詞的 一般 * * *,44,12
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,43,13
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,42,13
そして,そして,そして,接続詞 * * * * *,42,12
なん,なん,何,代名詞 * * * * *,42,12
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,42,12
