Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,204,1
は,は,は,助詞 係助詞 * * * *,199,1
の,の,の,助詞 格助詞 * * * *,174,1
に,に,に,助詞 格助詞 * * * *,168,1
が,が,が,助詞 格助詞 * * * *,143,1
を,を,を,助詞 格助詞 * * * *,136,1
と,と,と,助詞 格助詞 * * * *,130,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,105,1
未来,未来,未来,名詞 普通名詞 一般 * * *,104,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,102,1
か,か,か,助詞 終助詞 * * * *,99,1
も,も,も,助詞 係助詞 * * * *,99,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,95,1
ん,ん,の,助詞 準体助詞 * * * *,89,1
秋人,秋人,秋人,名詞 固有名詞 人名 名 * *,88,1
で,で,で,助詞 格助詞 * * * *,83,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,82,1
よ,よ,よ,助詞 終助詞 * * * *,76,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,72,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,66,1
私,私,私,代名詞 * * * * *,59,1
の,の,の,助詞 準体助詞 * * * *,55,1
ね,ね,ね,助詞 終助詞 * * * *,54,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,52,1
あッ,あッ,あっ,感動詞 一般 * * * *,51,1
何,何,何,代名詞 * * * * *,51,1
か,か,か,助詞 副助詞 * * * *,45,1
栗山,栗山,栗山,名詞 固有名詞 人名 姓 * *,45,1
から,から,から,助詞 接続助詞 * * * *,44,1
それ,それ,其れ,代名詞 * * * * *,44,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,44,1
こと,こと,こと,名詞 普通名詞 一般 * * *,42,1
ハア,ハア,はあ,感動詞 一般 * * * *,39,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,37,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,37,1
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,36,1
僕,僕,僕,代名詞 * * * * *,35,1
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,35,1
博臣,博臣,博臣,名詞 固有名詞 人名 名 * *,35,1
ああ,ああ,ああ,感動詞 一般 * * * *,32,1
これ,これ,此れ,代名詞 * * * * *,32,1
って,って,って,助詞 副助詞 * * * *,31,1
どう,どう,どう,副詞 * * * * *,31,1
な,な,な,助詞 終助詞 * * * *,31,1
そう,そう,そう,副詞 * * * * *,29,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,29,1
わ,わ,わ,助詞 終助詞 * * * *,28,1
の,の,の,助詞 終助詞 * * * *,27,1
その,その,其の,連体詞 * * * * *,26,1
うッ,うッ,うう,感動詞 一般 * * * *,25,1
