Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,6652,97
は,は,は,助詞 係助詞 * * * *,5419,97
て,て,て,助詞 接続助詞 * * * *,4872,97
に,に,に,助詞 格助詞 * * * *,4778,97
を,を,を,助詞 格助詞 * * * *,3827,97
が,が,が,助詞 格助詞 * * * *,3819,97
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,3732,97
鬼太郎,鬼太郎,鬼太郎,名詞 固有名詞 人名 名 * *,3040,97
も,も,も,助詞 係助詞 * * * *,2508,97
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,2403,97
〜,〜,〜,補助記号 一般 * * * *,2314,97
と,と,と,助詞 格助詞 * * * *,2233,97
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,2190,97
ん,ん,の,助詞 準体助詞 * * * *,2137,97
で,で,で,助詞 格助詞 * * * *,2044,97
よ,よ,よ,助詞 終助詞 * * * *,1872,97
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1871,97
か,か,か,助詞 終助詞 * * * *,1828,97
の,の,の,助詞 準体助詞 * * * *,1625,97
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,1353,97
まな,まな,まな,名詞 固有名詞 人名 名 * *,1312,69
あ,あ,あっ,感動詞 一般 * * * *,1218,96
おやじ,おやじ,親父,名詞 普通名詞 一般 * * *,1211,97
目玉,目玉,目玉,名詞 普通名詞 一般 * * *,1208,97
な,な,な,助詞 終助詞 * * * *,1122,97
ねこ娘,ねこ娘,ねこ娘,名詞 固有名詞 人名 一般 * *,1115,87
たち,たち,達,接尾辞 名詞的 一般 * * *,1069,95
こと,こと,こと,名詞 普通名詞 一般 * * *,1034,97
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,1031,95
ねずみ男,ねずみ男,鼠男,名詞 普通名詞 一般 * * *,1028,70
ああ,ああ,ああ,感動詞 一般 * * * *,974,96
って,って,って,助詞 副助詞 * * * *,965,96
か,か,か,助詞 副助詞 * * * *,951,97
妖怪,妖怪,妖怪,名詞 普通名詞 一般 * * *,942,95
音,音,音,名詞 普通名詞 一般 * * *,941,97
