Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
将也,将也,将也,名詞 固有名詞 人名 名 * *,328,1
の,の,の,助詞 格助詞 * * * *,286,1
〜,〜,〜,補助記号 一般 * * * *,230,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,207,1
て,て,て,助詞 接続助詞 * * * *,199,1
に,に,に,助詞 格助詞 * * * *,191,1
よ,よ,よ,助詞 終助詞 * * * *,181,1
は,は,は,助詞 係助詞 * * * *,169,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,164,1
が,が,が,助詞 格助詞 * * * *,149,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,118,1
絃,絃,絃,名詞 普通名詞 一般 * * *,117,1
結,結,結,名詞 普通名詞 一般 * * *,117,1
ん,ん,の,助詞 準体助詞 * * * *,116,1
も,も,も,助詞 係助詞 * * * *,115,1
で,で,で,助詞 格助詞 * * * *,113,1
何,何,何,代名詞 * * * * *,104,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,97,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,91,1
植野,植野,植野,名詞 固有名詞 人名 姓 * *,91,1
音,音,音,名詞 普通名詞 一般 * * *,91,1
か,か,か,助詞 終助詞 * * * *,89,1
永束,永束,永束,名詞 固有名詞 人名 姓 * *,89,1
と,と,と,助詞 格助詞 * * * *,86,1
西宮,西宮,西宮,名詞 固有名詞 地名 一般 * *,84,1
を,を,を,助詞 格助詞 * * * *,83,1
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,81,1
あ,あ,あっ,感動詞 一般 * * * *,79,1
って,って,って,助詞 副助詞 * * * *,77,1
俺,俺,俺,代名詞 * * * * *,77,1
あッ,あッ,あっ,感動詞 一般 * * * *,75,1
な,な,な,助詞 終助詞 * * * *,74,1
の,の,の,助詞 終助詞 * * * *,73,1
くん,くん,君,接尾辞 名詞的 一般 * * *,70,1
の,の,の,助詞 準体助詞 * * * *,70,1
生徒,生徒,生徒,名詞 普通名詞 一般 * * *,68,1
こと,こと,こと,名詞 普通名詞 一般 * * *,67,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,67,1
硝子,硝子,ガラス,名詞 普通名詞 一般 * * *,67,1
か,か,か,助詞 副助詞 * * * *,65,1
ね,ね,ね,助詞 終助詞 * * * *,64,1
しょー,しょー,仕様,名詞 普通名詞 一般 * * *,57,1
ん,ん,ん,助詞 格助詞 * * * *,56,1
から,から,から,助詞 接続助詞 * * * *,54,1
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,49,1
石田,石田,石田,名詞 固有名詞 地名 一般 * *,49,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,46,1
声,声,声,名詞 普通名詞 一般 * * *,46,1
えッ,えッ,えっ,感動詞 一般 * * * *,45,1
これ,これ,此れ,代名詞 * * * * *,45,1
私,私,私,代名詞 * * * * *,45,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,44,1
川井,川井,川井,名詞 固有名詞 地名 一般 * *,43,1
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,42,1
どう,どう,どう,副詞 * * * * *,42,1
石田,石田,石田,名詞 固有名詞 人名 姓 * *,42,1
美也子,美也子,美也子,名詞 固有名詞 人名 名 * *,38,1
ハァ,ハァ,はあ,感動詞 一般 * * * *,37,1
たち,たち,達,接尾辞 名詞的 一般 * * *,36,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,36,1
ああ,ああ,ああ,感動詞 一般 * * * *,35,1
けど,けど,けれど,助詞 接続助詞 * * * *,35,1
なん,なん,何,代名詞 * * * * *,35,1
西宮,西宮,西宮,名詞 固有名詞 人名 姓 * *,34,1
あの,あの,彼の,連体詞 * * * * *,33,1
う,う,うう,感動詞 一般 * * * *,33,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,33,1
お,お,御,接頭辞 * * * * *,32,1
さ,さ,さ,助詞 終助詞 * * * *,32,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,32,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,32,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,31,1
うッ,うッ,うう,感動詞 一般 * * * *,31,1
から,から,から,助詞 格助詞 * * * *,31,1
わ,わ,わ,助詞 終助詞 * * * *,31,1
佐原,佐原,佐原,名詞 固有名詞 地名 一般 * *,30,1
そう,そう,そう,副詞 * * * * *,29,1
やー,やー,や,助詞 終助詞 * * * *,29,1
女子,女子,女子,名詞 普通名詞 一般 * * *,29,1
ちょっと,ちょっと,一寸,副詞 * * * * *,28,1
もう,もう,もう,副詞 * * * * *,28,1
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,27,1
それ,それ,其れ,代名詞 * * * * *,26,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,26,1
お前,お前,御前,代名詞 * * * * *,25,1
男子,男子,男子,名詞 普通名詞 一般 * * *,25,1
友達,友達,友達,名詞 普通名詞 一般 * * *,24,1
うん,うん,うん,感動詞 一般 * * * *,23,1
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,23,1
マリア,マリア,マリア,名詞 固有名詞 人名 一般 * *,23,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,22,1
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,22,1
真柴,真柴,真柴,名詞 固有名詞 人名 姓 * *,22,1
い,い,い,助詞 終助詞 * * * *,21,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,21,1
じゃん,じゃん,じゃん,助詞 終助詞 * * * *,21,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,21,1
てん,てる,てる,助動詞 * * * 下一段-タ行 連体形-撥音便,21,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,21,1
また,また,又,接続詞 * * * * *,21,1
ん,ん,んっ,感動詞 一般 * * * *,21,1
マジ,マジ,まじ,形状詞 一般 * * * *,21,1
君,君,君,代名詞 * * * * *,21,1
し,し,し,助詞 接続助詞 * * * *,20,1
ハッ,ハッ,はっ,感動詞 一般 * * * *,20,1
竹内,竹内,竹内,名詞 固有名詞 人名 姓 * *,20,1
おい,おい,おい,感動詞 一般 * * * *,19,1
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,19,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,19,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,19,1
あ〜,あ〜,ああ,感動詞 一般 * * * *,18,1
あッ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,18,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,18,1
いや,いや,否,感動詞 一般 * * * *,18,1
この,この,此の,連体詞 * * * * *,18,1
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,18,1
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,18,1
ば,ば,ば,助詞 接続助詞 * * * *,18,1
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,17,1
川井,川井,川井,名詞 固有名詞 人名 姓 * *,17,1
鼓動,鼓動,鼓動,名詞 普通名詞 サ変可能 * * *,17,1
あんた,あんた,貴方,代名詞 * * * * *,16,1
