Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,301,4
は,は,は,助詞 係助詞 * * * *,290,4
に,に,に,助詞 格助詞 * * * *,240,4
を,を,を,助詞 格助詞 * * * *,197,4
て,て,て,助詞 接続助詞 * * * *,188,4
が,が,が,助詞 格助詞 * * * *,185,4
で,で,で,助詞 格助詞 * * * *,185,4
ね,ね,ね,助詞 終助詞 * * * *,152,4
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,147,4
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,139,4
と,と,と,助詞 格助詞 * * * *,138,4
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,112,4
か,か,か,助詞 終助詞 * * * *,95,4
も,も,も,助詞 係助詞 * * * *,95,4
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,92,4
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,86,4
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,80,4
よ,よ,よ,助詞 終助詞 * * * *,73,4
ガード,ガード,ガード,名詞 普通名詞 サ変可能 * * *,72,4
ん,ん,の,助詞 準体助詞 * * * *,68,4
・,・,・,補助記号 一般 * * * *,63,4
〜,〜,〜,補助記号 一般 * * * *,61,4
の,の,の,助詞 準体助詞 * * * *,60,4
ヴァン,ヴァン,バン,名詞 普通名詞 一般 * * *,58,4
君,君,君,接尾辞 名詞的 一般 * * *,55,4
これ,これ,此れ,代名詞 * * * * *,54,4
アイチ,アイチ,アイチ,名詞 固有名詞 地名 一般 * *,54,4
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,53,4
さん,さん,さん,接尾辞 名詞的 一般 * * *,52,3
世界,世界,世界,名詞 普通名詞 一般 * * *,42,2
ここ,ここ,此処,代名詞 * * * * *,38,4
そう,そう,そう,副詞 * * * * *,38,4
この,この,此の,連体詞 * * * * *,37,4
俺,俺,俺,代名詞 * * * * *,37,4
力,力,力,名詞 普通名詞 一般 * * *,37,4
はい,はい,はい,感動詞 一般 * * * *,37,3
大会,大会,大会,名詞 普通名詞 一般 * * *,37,2
けんいち,けんいち,けんいち,名詞 固有名詞 人名 名 * *,37,1
たち,たち,達,接尾辞 名詞的 一般 * * *,36,4
こと,こと,こと,名詞 普通名詞 一般 * * *,35,4
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,35,3
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,34,4
って,って,って,助詞 副助詞 * * * *,34,4
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,33,4
僕,僕,僕,代名詞 * * * * *,33,4
から,から,から,助詞 格助詞 * * * *,33,3
そして,そして,そして,接続詞 * * * * *,32,4
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,32,4
もう,もう,もう,副詞 * * * * *,32,4
ほんと,ほんと,本当,名詞 普通名詞 一般 * * *,30,3
その,その,其の,連体詞 * * * * *,29,4
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,26,4
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,25,4
ら,ら,等,接尾辞 名詞的 一般 * * *,25,4
風,風,風,名詞 普通名詞 一般 * * *,25,4
レオン,レオン,レオン,名詞 固有名詞 一般 * * *,25,3
から,から,から,助詞 接続助詞 * * * *,24,4
それ,それ,其れ,代名詞 * * * * *,24,4
どう,どう,どう,副詞 * * * * *,24,4
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,24,4
何,何,何,代名詞 * * * * *,24,4
仲間,仲間,仲間,名詞 普通名詞 一般 * * *,23,4
予選,予選,予選,名詞 普通名詞 一般 * * *,23,2
日本,日本,日本,名詞 固有名詞 地名 国 * *,23,1
アタック,アタック,アタック,名詞 普通名詞 サ変可能 * * *,22,4
ブラスター,ブラスター,ブラスター,名詞 普通名詞 一般 * * *,22,3
ブレード,ブレード,ブレード,名詞 普通名詞 一般 * * *,22,3
な,な,な,助詞 終助詞 * * * *,21,4
なん,なん,何,代名詞 * * * * *,21,4
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,21,4
タクト,タクト,タクト,名詞 普通名詞 一般 * * *,21,3
皆,皆,皆,名詞 普通名詞 副詞可能 * * *,21,3
パワー,パワー,パワー,名詞 普通名詞 一般 * * *,20,4
先導,先導,先導,名詞 普通名詞 サ変可能 * * *,20,4
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,20,3
ござい,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,20,3
けど,けど,けれど,助詞 接続助詞 * * * *,20,1
私,私,私,代名詞 * * * * *,19,4
か,か,か,助詞 副助詞 * * * *,19,3
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,19,3
ちょっと,ちょっと,一寸,副詞 * * * * *,19,3
わけ,わけ,訳,名詞 普通名詞 一般 * * *,19,3
ストローム,ストローム,ストローム,名詞 固有名詞 一般 * * *,19,3
メイル,メイル,メール,名詞 普通名詞 サ変可能 * * *,19,3
お,お,御,接頭辞 * * * * *,19,2
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,18,4
で,で,で,助詞 接続助詞 * * * *,18,4
本当,本当,本当,名詞 普通名詞 一般 * * *,18,3
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,17,4
パラディン,パラディン,パラディン,名詞 普通名詞 一般 * * *,17,4
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,17,3
エイゼル,エイゼル,エイゼル,名詞 固有名詞 人名 一般 * *,17,3
英語,英語,英語,名詞 普通名詞 一般 * * *,17,2
代表,代表,代表,名詞 普通名詞 サ変可能 * * *,17,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,16,4
へ,へ,へ,助詞 格助詞 * * * *,16,4
トリガー,トリガー,トリガー,名詞 普通名詞 一般 * * *,16,4
我,我,我,代名詞 * * * * *,16,4
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,15,4
まだ,まだ,未だ,副詞 * * * * *,15,4
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,15,4
ライド,ライド,ライド,名詞 普通名詞 一般 * * *,15,4
キミ,キミ,君,代名詞 * * * * *,15,3
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,15,3
頑張っ,頑張る,頑張る,動詞 一般 * * 五段-ラ行 連用形-促音便,15,3
ファイター,ファイター,ファイター,名詞 普通名詞 一般 * * *,15,2
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,14,4
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,14,4
ファイト,ファイト,ファイト,名詞 普通名詞 一般 * * *,14,4
優勝,優勝,優勝,名詞 普通名詞 サ変可能 * * *,14,3
櫂,櫂,櫂,名詞 普通名詞 一般 * * *,14,3
シンガポール,シンガポール,シンガポール,名詞 固有名詞 地名 国 * *,14,1
ドクター,ドクター,ドクター,名詞 普通名詞 一般 * * *,14,1
