Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,3147,27
の,の,の,助詞 格助詞 * * * *,2710,27
に,に,に,助詞 格助詞 * * * *,2331,27
て,て,て,助詞 接続助詞 * * * *,2040,27
を,を,を,助詞 格助詞 * * * *,2014,27
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1762,27
が,が,が,助詞 格助詞 * * * *,1587,27
も,も,も,助詞 係助詞 * * * *,1211,27
と,と,と,助詞 格助詞 * * * *,1133,27
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,976,27
か,か,か,助詞 終助詞 * * * *,892,27
で,で,で,助詞 格助詞 * * * *,886,27
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,874,27
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,818,27
の,の,の,助詞 準体助詞 * * * *,688,27
よ,よ,よ,助詞 終助詞 * * * *,662,27
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,583,27
ん,ん,の,助詞 準体助詞 * * * *,566,27
な,な,な,助詞 終助詞 * * * *,502,27
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,482,27
って,って,って,助詞 副助詞 * * * *,433,27
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,431,27
事,事,事,名詞 普通名詞 一般 * * *,417,27
から,から,から,助詞 接続助詞 * * * *,393,27
私,私,私,代名詞 * * * * *,366,27
ば,ば,ば,助詞 接続助詞 * * * *,361,27
ゼロ,ゼロ,ゼロ,名詞 数詞 * * * *,350,23
か,か,か,助詞 副助詞 * * * *,326,27
あ,あ,あっ,感動詞 一般 * * * *,315,27
ブリタニア,ブリタニア,ブリタニア,名詞 固有名詞 地名 一般 * *,308,27
それ,それ,其れ,代名詞 * * * * *,306,27
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,298,27
この,この,此の,連体詞 * * * * *,296,27
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,289,27
あっ,あっ,あっ,感動詞 一般 * * * *,288,27
ね,ね,ね,助詞 終助詞 * * * *,288,27
お前,お前,御前,代名詞 * * * * *,280,27
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,271,27
俺,俺,俺,代名詞 * * * * *,269,27
そう,そう,そう,副詞 * * * * *,265,27
何,何,何,代名詞 * * * * *,246,27
どう,どう,どう,副詞 * * * * *,245,27
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,233,27
これ,これ,此れ,代名詞 * * * * *,228,27
その,その,其の,連体詞 * * * * *,225,27
だけ,だけ,だけ,助詞 副助詞 * * * *,223,27
お,お,御,接頭辞 * * * * *,222,27
から,から,から,助詞 格助詞 * * * *,221,27
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,219,27
なん,なん,何,代名詞 * * * * *,219,27
ん,ん,んっ,感動詞 一般 * * * *,212,27
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,210,27
ああ,ああ,ああ,感動詞 一般 * * * *,209,27
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,208,27
君,君,君,代名詞 * * * * *,199,27
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,195,27
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,188,27
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,188,27
が,が,が,助詞 接続助詞 * * * *,177,27
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,175,27
様,様,様,接尾辞 名詞的 一般 * * *,165,23
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,164,27
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,162,27
ルルーシュ,ルルーシュ,ルルーシュ,名詞 固有名詞 人名 一般 * *,162,26
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,161,27
今,今,今,名詞 普通名詞 副詞可能 * * *,161,27
ここ,ここ,此処,代名詞 * * * * *,157,27
あの,あの,彼の,連体詞 * * * * *,156,27
僕,僕,僕,代名詞 * * * * *,156,26
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,155,27
まで,まで,まで,助詞 副助詞 * * * *,149,27
・,・,・,補助記号 一般 * * * *,148,27
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,145,27
うっ,うっ,うう,感動詞 一般 * * * *,145,23
もう,もう,もう,副詞 * * * * *,143,27
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,143,25
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,140,27
さん,さん,さん,接尾辞 名詞的 一般 * * *,129,27
しかし,しかし,然し,接続詞 * * * * *,129,27
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,129,26
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,128,27
為,為,為,名詞 普通名詞 副詞可能 * * *,128,27
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,127,27
けど,けど,けれど,助詞 接続助詞 * * * *,124,27
はい,はい,はい,感動詞 一般 * * * *,124,27
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,122,27
達,達,達,接尾辞 名詞的 一般 * * *,122,25
の,の,の,助詞 終助詞 * * * *,120,24
人,人,人,名詞 普通名詞 一般 * * *,119,27
殿下,殿下,殿下,名詞 普通名詞 一般 * * *,119,25
日本,日本,日本,名詞 固有名詞 地名 国 * *,118,26
イレヴン,イレヴン,イレブン,名詞 普通名詞 一般 * * *,118,21
え,え,えっ,感動詞 一般 * * * *,117,26
世界,世界,世界,名詞 普通名詞 一般 * * *,113,27
木,木,木,名詞 普通名詞 一般 * * *,108,23
枢,枢,枢,名詞 普通名詞 一般 * * *,108,23
コーネリア,コーネリア,コルネリア,名詞 固有名詞 人名 一般 * *,107,20
で,で,で,助詞 接続助詞 * * * *,106,26
ユーフェミア,ユーフェミア,ユーフェミア,名詞 普通名詞 一般 * * *,106,16
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,105,26
よう,よう,様,形状詞 助動詞語幹 * * * *,102,27
し,し,し,助詞 接続助詞 * * * *,101,27
ら,ら,等,接尾辞 名詞的 一般 * * *,101,26
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,101,24
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,100,26
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,99,24
あなた,あなた,貴方,代名詞 * * * * *,99,21
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,98,26
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,98,26
スザク,スザク,スザク,名詞 固有名詞 一般 * * *,98,25
自分,自分,自分,名詞 普通名詞 一般 * * *,97,24
手,手,手,名詞 普通名詞 助数詞可能 * * *,94,26
ナナリー,ナナリー,ナナリー,名詞 固有名詞 人名 一般 * *,93,25
時,時,時,名詞 普通名詞 副詞可能 * * *,93,23
人,人,人,接尾辞 名詞的 一般 * * *,92,23
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,91,25
こんな,こんな,こんな,連体詞 * * * * *,91,23
スザク,スザク,スザク,名詞 固有名詞 人名 一般 * *,91,19
騎士団,騎士団,騎士団,名詞 普通名詞 一般 * * *,91,18
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,90,27
そんな,そんな,そんな,連体詞 * * * * *,90,24
あ,あ,あー,感動詞 フィラー * * * *,90,22
誰,誰,誰,代名詞 * * * * *,88,25
黒,黒,黒,名詞 普通名詞 一般 * * *,88,18
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,85,25
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,84,27
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,84,27
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,84,26
なんて,なんて,なんて,助詞 副助詞 * * * *,83,27
敵,敵,敵,名詞 普通名詞 一般 * * *,83,26
まさか,まさか,まさか,副詞 * * * * *,80,25
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,80,24
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,79,27
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,78,24
はず,はず,筈,名詞 普通名詞 一般 * * *,78,21
兄,兄,兄,名詞 普通名詞 一般 * * *,76,26
力,力,力,名詞 普通名詞 一般 * * *,76,25
奴,奴,奴,名詞 普通名詞 一般 * * *,76,25
時間,時間,時間,名詞 普通名詞 助数詞可能 * * *,76,25
第,第,第,接頭辞 * * * * *,76,18
より,より,より,助詞 格助詞 * * * *,74,23
はっ,はっ,はっ,感動詞 一般 * * * *,74,22
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,73,27
総督,総督,総督,名詞 普通名詞 一般 * * *,73,23
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,72,26
ひと,ひと,一,名詞 数詞 * * * *,71,27
と,と,と,助詞 接続助詞 * * * *,71,25
ふっ,ふっ,ふっ,副詞 * * * * *,70,25
えっ,えっ,えっ,感動詞 一般 * * * *,70,23
嘘,嘘,嘘,名詞 普通名詞 一般 * * *,70,23
もの,もの,物,名詞 普通名詞 サ変可能 * * *,70,20
へ,へ,へ,助詞 格助詞 * * * *,69,23
クロヴィス,クロヴィス,クロビス,名詞 固有名詞 人名 一般 * *,68,23
軍,軍,軍,名詞 普通名詞 一般 * * *,68,23
前,前,前,名詞 普通名詞 副詞可能 * * *,68,22
ユフィ,ユフィ,ユフィ,名詞 普通名詞 一般 * * *,67,12
中,中,中,名詞 普通名詞 副詞可能 * * *,65,21
う,う,うう,感動詞 一般 * * * *,65,17
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,64,25
いや,いや,否,感動詞 一般 * * * *,64,22
夢,夢,夢,名詞 普通名詞 一般 * * *,63,27
さ,さ,さ,助詞 終助詞 * * * *,63,25
方,方,方,名詞 普通名詞 一般 * * *,63,25
まだ,まだ,未だ,副詞 * * * * *,63,23
おい,おい,おい,感動詞 一般 * * * *,63,21
テロリスト,テロリスト,テロリスト,名詞 普通名詞 一般 * * *,63,19
本当,本当,本当,名詞 普通名詞 一般 * * *,62,25
そこ,そこ,其処,代名詞 * * * * *,62,23
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,61,26
こそ,こそ,こそ,助詞 係助詞 * * * *,61,25
ギアス,ギアス,ギアス,名詞 普通名詞 一般 * * *,61,18
行く,行く,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,60,25
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,60,24
全て,全て,全て,名詞 普通名詞 副詞可能 * * *,60,24
相手,相手,相手,名詞 普通名詞 一般 * * *,60,21
せよ,する,為る,動詞 非自立可能 * * サ行変格 命令形,60,18
ナイトメア,ナイトメア,ナイトメア,名詞 普通名詞 一般 * * *,59,20
シャーリー,シャーリー,シャーリー,名詞 固有名詞 人名 一般 * *,59,14
まま,まま,侭,名詞 普通名詞 副詞可能 * * *,57,22
彼,彼,彼,代名詞 * * * * *,57,22
我が,我が,我が,連体詞 * * * * *,57,22
つもり,つもり,積もり,名詞 普通名詞 一般 * * *,57,20
違う,違う,違う,動詞 一般 * * 五段-ワア行 終止形-一般,57,19
ルル,ルル,ルル,名詞 固有名詞 人名 一般 * *,57,16
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,56,25
命令,命令,命令,名詞 普通名詞 サ変可能 * * *,56,21
あれ,あれ,彼れ,代名詞 * * * * *,55,24
そう,そう,そう,形状詞 助動詞語幹 * * * *,55,24
以上,以上,以上,名詞 普通名詞 副詞可能 * * *,55,24
どこ,どこ,どこ,代名詞 * * * * *,55,20
でしょう,です,です,助動詞 * * * 助動詞-デス 意志推量形,54,23
我,我,我,代名詞 * * * * *,54,20
うん,うん,うん,感動詞 一般 * * * *,53,21
なく,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-一般,53,20
い,い,い,助詞 終助詞 * * * *,52,25
気,気,気,名詞 普通名詞 一般 * * *,52,21
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,51,24
しろ,する,為る,動詞 非自立可能 * * サ行変格 命令形,51,22
者,者,者,名詞 普通名詞 一般 * * *,51,20
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,50,24
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,50,23
でき,できる,出来る,動詞 非自立可能 * * 上一段-カ行 未然形-一般,50,21
下さい,下さる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,50,18
作戦,作戦,作戦,名詞 普通名詞 一般 * * *,50,17
ながら,ながら,ながら,助詞 接続助詞 * * * *,50,15
なぜ,なぜ,何故,副詞 * * * * *,49,21
心,心,心,名詞 普通名詞 サ変可能 * * *,48,23
私達,私達,私達,名詞 普通名詞 一般 * * *,48,23
君,君,君,接尾辞 名詞的 一般 * * *,48,22
さえ,さえ,さえ,助詞 副助詞 * * * *,48,21
我々,我々,我々,代名詞 * * * * *,48,21
男,男,男,名詞 普通名詞 一般 * * *,48,20
ど,ど,ど,助詞 接続助詞 * * * *,48,16
通り,通り,通り,名詞 普通名詞 助数詞可能 * * *,47,25
こちら,こちら,此方,代名詞 * * * * *,47,23
べき,べし,べし,助動詞 * * * 文語助動詞-ベシ 連体形-一般,47,23
日本人,日本人,日本人,名詞 普通名詞 一般 * * *,47,18
顔,顔,顔,名詞 普通名詞 一般 * * *,47,17
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,46,24
