Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,3004,26
は,は,は,助詞 係助詞 * * * *,2564,26
て,て,て,助詞 接続助詞 * * * *,2505,26
に,に,に,助詞 格助詞 * * * *,2367,26
スバル,スバル,スバル,名詞 普通名詞 一般 * * *,2143,26
が,が,が,助詞 格助詞 * * * *,1929,26
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1863,26
を,を,を,助詞 格助詞 * * * *,1627,26
も,も,も,助詞 係助詞 * * * *,1369,26
と,と,と,助詞 格助詞 * * * *,1225,26
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1074,26
よ,よ,よ,助詞 終助詞 * * * *,1064,26
の,の,の,助詞 準体助詞 * * * *,1062,26
で,で,で,助詞 格助詞 * * * *,1061,26
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1000,26
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,918,26
か,か,か,助詞 終助詞 * * * *,873,26
ん,ん,の,助詞 準体助詞 * * * *,797,26
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,736,26
レム,レム,レム,名詞 普通名詞 一般 * * *,704,20
俺,俺,俺,代名詞 * * * * *,665,26
って,って,って,助詞 副助詞 * * * *,663,26
こと,こと,こと,名詞 普通名詞 一般 * * *,616,26
何,何,何,代名詞 * * * * *,601,26
エミリア,エミリア,エミリア,名詞 固有名詞 地名 一般 * *,583,25
な,な,な,助詞 終助詞 * * * *,566,26
か,か,か,助詞 副助詞 * * * *,517,26
から,から,から,助詞 接続助詞 * * * *,502,26
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,440,25
あっ,あっ,あっ,感動詞 一般 * * * *,437,26
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,422,26
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,420,26
ね,ね,ね,助詞 終助詞 * * * *,417,25
それ,それ,其れ,代名詞 * * * * *,395,26
ああ,ああ,ああ,感動詞 一般 * * * *,322,26
ラム,ラム,ラム,名詞 普通名詞 一般 * * *,321,18
けど,けど,けれど,助詞 接続助詞 * * * *,308,26
そう,そう,そう,副詞 * * * * *,305,26
お前,お前,御前,代名詞 * * * * *,302,26
様,様,様,接尾辞 名詞的 一般 * * *,293,25
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,291,26
どう,どう,どう,副詞 * * * * *,289,26
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,289,26
その,その,其の,連体詞 * * * * *,282,26
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,279,26
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,269,26
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,262,26
あ,あ,あっ,感動詞 一般 * * * *,258,26
お,お,御,接頭辞 * * * * *,254,26
の,の,の,助詞 終助詞 * * * *,254,25
君,君,君,接尾辞 名詞的 一般 * * *,248,19
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,244,25
だけ,だけ,だけ,助詞 副助詞 * * * *,242,26
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,232,26
ば,ば,ば,助詞 接続助詞 * * * *,227,26
この,この,此の,連体詞 * * * * *,221,26
から,から,から,助詞 格助詞 * * * *,217,26
私,私,私,代名詞 * * * * *,213,24
これ,これ,此れ,代名詞 * * * * *,207,26
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,200,25
