Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,905,12
寧々,寧々,寧々,名詞 固有名詞 人名 名 * *,887,11
て,て,て,助詞 接続助詞 * * * *,750,12
は,は,は,助詞 係助詞 * * * *,745,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,624,12
に,に,に,助詞 格助詞 * * * *,624,12
花子,花子,花子,名詞 固有名詞 人名 名 * *,571,12
が,が,が,助詞 格助詞 * * * *,481,12
も,も,も,助詞 係助詞 * * * *,442,12
で,で,で,助詞 格助詞 * * * *,395,12
を,を,を,助詞 格助詞 * * * *,382,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,377,12
よ,よ,よ,助詞 終助詞 * * * *,364,12
光,光,光,名詞 普通名詞 一般 * * *,355,11
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,342,12
と,と,と,助詞 格助詞 * * * *,340,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,314,12
ん,ん,の,助詞 準体助詞 * * * *,311,12
何,何,何,代名詞 * * * * *,292,12
ね,ね,ね,助詞 終助詞 * * * *,284,12
の,の,の,助詞 準体助詞 * * * *,274,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,260,12
か,か,か,助詞 終助詞 * * * *,245,12
って,って,って,助詞 副助詞 * * * *,243,12
あっ,あっ,あっ,感動詞 一般 * * * *,216,12
こと,こと,こと,名詞 普通名詞 一般 * * *,198,12
俺,俺,俺,代名詞 * * * * *,197,12
か,か,か,助詞 副助詞 * * * *,190,12
ミツバ,ミツバ,三つ葉,名詞 普通名詞 一般 * * *,190,5
〜,〜,〜,補助記号 一般 * * * *,188,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,182,12
くん,くん,君,接尾辞 名詞的 一般 * * *,179,12
から,から,から,助詞 接続助詞 * * * *,164,12
それ,それ,其れ,代名詞 * * * * *,153,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,150,12
の,の,の,助詞 終助詞 * * * *,145,12
私,私,私,代名詞 * * * * *,145,11
けど,けど,けれど,助詞 接続助詞 * * * *,135,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,133,12
な,な,な,助詞 終助詞 * * * *,130,12
もっけ,もっけ,もっけ,名詞 普通名詞 一般 * * *,129,10
あ,あ,あっ,感動詞 一般 * * * *,114,12
ああ,ああ,ああ,感動詞 一般 * * * *,111,12
そう,そう,そう,副詞 * * * * *,110,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,109,12
ん,ん,ん,助詞 格助詞 * * * *,107,12
どう,どう,どう,副詞 * * * * *,102,11
お,お,御,接頭辞 * * * * *,100,12
これ,これ,此れ,代名詞 * * * * *,100,12
たち,たち,達,接尾辞 名詞的 一般 * * *,94,12
つかさ,つかさ,つかさ,名詞 固有名詞 人名 名 * *,94,6
この,この,此の,連体詞 * * * * *,91,12
葵,葵,葵,名詞 普通名詞 一般 * * *,91,7
うっ,うっ,うう,感動詞 一般 * * * *,90,12
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,90,10
うん,うん,うん,感動詞 一般 * * * *,89,12
七,七,7,名詞 数詞 * * * *,85,12
生徒,生徒,生徒,名詞 普通名詞 一般 * * *,85,11
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,84,12
怪異,怪異,怪異,名詞 普通名詞 形状詞可能 * * *,84,11
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,83,12
人,人,人,名詞 普通名詞 一般 * * *,83,12
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,82,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,82,12
から,から,から,助詞 格助詞 * * * *,81,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,80,12
ここ,ここ,此処,代名詞 * * * * *,78,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,78,11
夏彦,夏彦,夏彦,名詞 固有名詞 人名 名 * *,78,7
土,土,土,名詞 普通名詞 一般 * * *,78,4
籠,籠,籠,名詞 普通名詞 一般 * * *,78,4
その,その,其の,連体詞 * * * * *,77,12
し,し,し,助詞 接続助詞 * * * *,76,12
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,72,12
ヤシロ,ヤシロ,社,名詞 普通名詞 一般 * * *,71,11
あの,あの,彼の,連体詞 * * * * *,69,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,68,12
だけ,だけ,だけ,助詞 副助詞 * * * *,63,12
不思議,不思議,不思議,名詞 普通名詞 形状詞可能 * * *,63,12
ば,ば,ば,助詞 接続助詞 * * * *,62,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,61,11
うう,うう,うう,感動詞 一般 * * * *,60,12
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,59,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,58,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,57,12
で,で,で,助詞 接続助詞 * * * *,57,12
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,56,12
お前,お前,御前,代名詞 * * * * *,56,11
･,・,・,補助記号 一般 * * * *,56,9
番,番,番,名詞 普通名詞 助数詞可能 * * *,56,7
三,三,3,名詞 数詞 * * * *,56,4
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,55,12
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,55,12
もう,もう,もう,副詞 * * * * *,54,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,53,9
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,53,7
あなた,あなた,貴方,代名詞 * * * * *,52,12
わ,わ,わ,助詞 終助詞 * * * *,51,12
ん,ん,んっ,感動詞 一般 * * * *,51,12
えっ,えっ,えっ,感動詞 一般 * * * *,50,12
誰,誰,誰,代名詞 * * * * *,48,12
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,48,11
音,音,音,名詞 普通名詞 一般 * * *,48,11
そんな,そんな,そんな,連体詞 * * * * *,47,12
なんて,なんて,なんて,助詞 副助詞 * * * *,47,12
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,47,12
桜,桜,桜,名詞 普通名詞 一般 * * *,47,7
大根,大根,大根,名詞 普通名詞 一般 * * *,47,5
子,子,子,名詞 普通名詞 一般 * * *,46,12
え,え,え,助詞 終助詞 * * * *,45,12
好き,好き,好き,形状詞 一般 * * * *,45,12
女子,女子,女子,名詞 普通名詞 一般 * * *,45,8
僕,僕,僕,代名詞 * * * * *,45,7
はっ,はっ,はっ,感動詞 一般 * * * *,44,12
様,様,様,接尾辞 名詞的 一般 * * *,43,9
階段,階段,階段,名詞 普通名詞 一般 * * *,43,7
さ,さ,さ,助詞 終助詞 * * * *,42,12
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,42,12
話,話,話,名詞 普通名詞 サ変可能 * * *,42,12
もの,もの,物,名詞 普通名詞 サ変可能 * * *,42,11
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,41,12
ちょっと,ちょっと,一寸,副詞 * * * * *,41,12
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,41,12
はい,はい,はい,感動詞 一般 * * * *,41,11
ハリセンボン,ハリセンボン,針千本,名詞 普通名詞 一般 * * *,41,1
うわさ,うわさ,噂,名詞 普通名詞 サ変可能 * * *,40,11
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,40,11
輝,輝,輝,名詞 固有名詞 人名 名 * *,40,6
ヤコ,ヤコ,ヤコ,名詞 普通名詞 一般 * * *,40,4
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,39,12
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,39,12
今,今,今,名詞 普通名詞 副詞可能 * * *,39,11
気,気,気,名詞 普通名詞 一般 * * *,39,11
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,39,10
ミサキ,ミサキ,ミサキ,名詞 普通名詞 一般 * * *,39,7
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,38,11
時,時,時,名詞 普通名詞 副詞可能 * * *,38,10
まで,まで,まで,助詞 副助詞 * * * *,37,12
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,37,11
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,37,11
ら,ら,等,接尾辞 名詞的 一般 * * *,37,9
境界,境界,境界,名詞 普通名詞 一般 * * *,37,6
こんな,こんな,こんな,連体詞 * * * * *,36,12
と,と,と,助詞 接続助詞 * * * *,35,11
君,君,君,代名詞 * * * * *,35,10
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,34,12
少年,少年,少年,名詞 普通名詞 一般 * * *,34,10
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,33,12
どこ,どこ,どこ,代名詞 * * * * *,33,10
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,33,10
告白,告白,告白,名詞 普通名詞 サ変可能 * * *,33,2
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,32,12
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,32,12
ねえ,ねえ,ね,助詞 終助詞 * * * *,32,11
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,32,11
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,32,10
死ん,死ぬ,死ぬ,動詞 一般 * * 五段-ナ行 連用形-撥音便,32,9
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,31,12
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,31,9
知っ,知る,知る,動詞 一般 * * 五段-ラ行 連用形-促音便,30,11
源,源,源,名詞 固有名詞 人名 姓 * *,30,10
先生,先生,先生,名詞 普通名詞 一般 * * *,29,6
依代,依代,依代,名詞 普通名詞 一般 * * *,29,5
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,28,12
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,28,11
て,て,って,助詞 副助詞 * * * *,28,10
なあ,なあ,な,助詞 終助詞 * * * *,28,10
よかっ,よい,良い,形容詞 非自立可能 * * 形容詞 連用形-促音便,28,10
いう,いう,言う,動詞 一般 * * 五段-ワア行 終止形-一般,28,9
