Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,799,11
は,は,は,助詞 係助詞 * * * *,736,11
に,に,に,助詞 格助詞 * * * *,617,11
て,て,て,助詞 接続助詞 * * * *,574,11
が,が,が,助詞 格助詞 * * * *,463,11
を,を,を,助詞 格助詞 * * * *,439,11
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,426,11
で,で,で,助詞 格助詞 * * * *,343,11
と,と,と,助詞 格助詞 * * * *,338,11
も,も,も,助詞 係助詞 * * * *,318,11
か,か,か,助詞 終助詞 * * * *,258,11
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,241,11
の,の,の,助詞 準体助詞 * * * *,227,11
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,220,11
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,220,11
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,216,11
ヴェンデリン,ヴェンデリン,ヴェンデリン,名詞 普通名詞 一般 * * *,216,11
って,って,って,助詞 副助詞 * * * *,199,11
ん,ん,の,助詞 準体助詞 * * * *,182,11
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,179,11
よ,よ,よ,助詞 終助詞 * * * *,177,11
こと,こと,こと,名詞 普通名詞 一般 * * *,168,11
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,153,11
から,から,から,助詞 接続助詞 * * * *,146,11
か,か,か,助詞 副助詞 * * * *,138,11
ね,ね,ね,助詞 終助詞 * * * *,138,11
様,様,様,接尾辞 名詞的 一般 * * *,134,11
な,な,な,助詞 終助詞 * * * *,131,11
お,お,御,接頭辞 * * * * *,129,11
俺,俺,俺,代名詞 * * * * *,126,10
ハァ,ハァ,はあ,感動詞 一般 * * * *,115,11
魔法,魔法,魔法,名詞 普通名詞 一般 * * *,113,11
それ,それ,其れ,代名詞 * * * * *,104,11
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,104,11
ヴェル,ヴェル,ヴェル,名詞 普通名詞 一般 * * *,101,11
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,99,11
これ,これ,此れ,代名詞 * * * * *,91,11
あ,あ,あっ,感動詞 一般 * * * *,90,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,90,11
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,88,11
何,何,何,代名詞 * * * * *,87,11
ルイーゼ,ルイーゼ,ルイーゼ,名詞 固有名詞 人名 一般 * *,87,10
さん,さん,さん,接尾辞 名詞的 一般 * * *,84,11
私,私,私,代名詞 * * * * *,79,11
･,・,・,補助記号 一般 * * * *,79,11
〜,〜,〜,補助記号 一般 * * * *,76,11
あの,あの,彼の,連体詞 * * * * *,75,11
から,から,から,助詞 格助詞 * * * *,75,11
たち,たち,達,接尾辞 名詞的 一般 * * *,75,11
バウマイスター,バウマイスター,バウマイスター,名詞 普通名詞 一般 * * *,74,11
イーナ,イーナ,イーナ,名詞 普通名詞 一般 * * *,74,10
この,この,此の,連体詞 * * * * *,72,11
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,70,11
そう,そう,そう,副詞 * * * * *,69,11
エルヴィン,エルヴィン,エルビン,名詞 固有名詞 人名 一般 * *,69,10
エリーゼ,エリーゼ,エリーゼ,名詞 固有名詞 人名 一般 * *,69,9
え,え,えっ,感動詞 一般 * * * *,68,11
どう,どう,どう,副詞 * * * * *,66,11
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,64,11
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,64,10
ターク,ターク,ターク,名詞 普通名詞 一般 * * *,63,8
けど,けど,けれど,助詞 接続助詞 * * * *,62,11
ブラン,ブラン,ブラン,名詞 普通名詞 一般 * * *,62,8
が,が,が,助詞 接続助詞 * * * *,60,11
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,56,11
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,55,11
その,その,其の,連体詞 * * * * *,54,11
ば,ば,ば,助詞 接続助詞 * * * *,54,11
魔力,魔力,魔力,名詞 普通名詞 一般 * * *,54,8
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,52,11
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,52,11
ら,ら,等,接尾辞 名詞的 一般 * * *,52,10
お前,お前,御前,代名詞 * * * * *,50,10
し,し,し,助詞 接続助詞 * * * *,49,11
ああ,ああ,ああ,感動詞 一般 * * * *,49,10
クルト,クルト,クルト,名詞 固有名詞 人名 一般 * *,49,8
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,48,11
