Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,3685,35
は,は,は,助詞 係助詞 * * * *,2723,35
に,に,に,助詞 格助詞 * * * *,2294,35
を,を,を,助詞 格助詞 * * * *,2063,35
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2037,35
て,て,て,助詞 接続助詞 * * * *,1906,35
が,が,が,助詞 格助詞 * * * *,1841,35
〜,〜,〜,補助記号 一般 * * * *,1665,35
も,も,も,助詞 係助詞 * * * *,1290,35
と,と,と,助詞 格助詞 * * * *,1182,35
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1129,35
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1103,35
で,で,で,助詞 格助詞 * * * *,1092,35
か,か,か,助詞 終助詞 * * * *,1035,35
よ,よ,よ,助詞 終助詞 * * * *,890,35
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,823,35
な,な,な,助詞 終助詞 * * * *,772,35
ん,ん,の,助詞 準体助詞 * * * *,772,35
騎士,騎士,騎士,名詞 普通名詞 一般 * * *,673,35
あっ,あっ,あっ,感動詞 一般 * * * *,671,35
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,643,35
の,の,の,助詞 準体助詞 * * * *,643,35
聖,聖,聖,接頭辞 * * * * *,524,35
様,様,様,接尾辞 名詞的 一般 * * *,515,35
俺,俺,俺,代名詞 * * * * *,493,35
こと,こと,こと,名詞 普通名詞 一般 * * *,471,35
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,457,35
この,この,此の,連体詞 * * * * *,444,35
って,って,って,助詞 副助詞 * * * *,432,35
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,408,35
大罪,大罪,大罪,名詞 普通名詞 一般 * * *,405,35
七,七,7,名詞 数詞 * * * *,402,35
か,か,か,助詞 副助詞 * * * *,394,35
それ,それ,其れ,代名詞 * * * * *,355,35
お前,お前,御前,代名詞 * * * * *,348,35
メリオダス,メリオダス,メリオダス,名詞 普通名詞 一般 * * *,342,35
たち,たち,達,接尾辞 名詞的 一般 * * *,341,35
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,310,35
ね,ね,ね,助詞 終助詞 * * * *,308,34
その,その,其の,連体詞 * * * * *,305,35
私,私,私,代名詞 * * * * *,303,35
