Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1661,26
は,は,は,助詞 係助詞 * * * *,1477,26
て,て,て,助詞 接続助詞 * * * *,1102,26
に,に,に,助詞 格助詞 * * * *,1077,26
を,を,を,助詞 格助詞 * * * *,1068,26
が,が,が,助詞 格助詞 * * * *,1034,26
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,885,26
か,か,か,助詞 終助詞 * * * *,625,26
も,も,も,助詞 係助詞 * * * *,607,26
と,と,と,助詞 格助詞 * * * *,602,26
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,563,26
で,で,で,助詞 格助詞 * * * *,551,26
瓜,瓜,瓜,名詞 普通名詞 一般 * * *,529,22
江,江,江,接尾辞 名詞的 一般 * * *,520,22
あっ,あっ,あっ,感動詞 一般 * * * *,456,26
琲世,琲世,琲世,名詞 固有名詞 人名 名 * *,449,18
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,444,26
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,439,26
よ,よ,よ,助詞 終助詞 * * * *,429,26
音,音,音,名詞 普通名詞 一般 * * *,388,26
不知,不知,不知,名詞 普通名詞 一般 * * *,376,17
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,345,25
月,月,月,名詞 普通名詞 助数詞可能 * * *,344,24
の,の,の,助詞 準体助詞 * * * *,339,26
ん,ん,の,助詞 準体助詞 * * * *,339,26
六,六,6,名詞 数詞 * * * *,336,24
な,な,な,助詞 終助詞 * * * *,320,26
あ,あ,あっ,感動詞 一般 * * * *,312,26
何,何,何,代名詞 * * * * *,292,26
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,275,26
喰,喰る,食う,動詞 一般 * * 下一段-ア行 連用形-一般,265,24
僕,僕,僕,代名詞 * * * * *,261,25
種,種,種,名詞 普通名詞 助数詞可能 * * *,259,24
うっ,うっ,うう,感動詞 一般 * * * *,257,26
ね,ね,ね,助詞 終助詞 * * * *,251,26
金木,金木,金木,名詞 固有名詞 地名 一般 * *,247,18
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,243,26
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,236,26
俺,俺,俺,代名詞 * * * * *,232,25
才子,才子,才子,名詞 普通名詞 一般 * * *,230,21
たち,たち,達,接尾辞 名詞的 一般 * * *,229,25
か,か,か,助詞 副助詞 * * * *,227,26
こと,こと,こと,名詞 普通名詞 一般 * * *,226,26
カナエ,カナエ,カナエ,名詞 普通名詞 一般 * * *,226,11
私,私,私,代名詞 * * * * *,194,26
くっ,くっ,くっ,感動詞 一般 * * * *,185,25
君,君,君,接尾辞 名詞的 一般 * * *,185,24
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,183,26
さん,さん,さん,接尾辞 名詞的 一般 * * *,181,26
どう,どう,どう,副詞 * * * * *,179,25
お前,お前,御前,代名詞 * * * * *,175,25
〜,〜,〜,補助記号 一般 * * * *,173,26
ああ,ああ,ああ,感動詞 一般 * * * *,173,26
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,173,25
それ,それ,其れ,代名詞 * * * * *,157,25
お,お,御,接頭辞 * * * * *,150,26
って,って,って,助詞 副助詞 * * * *,150,23
習,習,習,名詞 普通名詞 一般 * * *,150,20
この,この,此の,連体詞 * * * * *,148,26
から,から,から,助詞 接続助詞 * * * *,146,25
ば,ば,ば,助詞 接続助詞 * * * *,145,26
足音,足音,足音,名詞 普通名詞 一般 * * *,143,26
そう,そう,そう,副詞 * * * * *,138,26
んっ,んっ,んっ,感動詞 一般 * * * *,137,26
捜査官,捜査官,捜査官,名詞 普通名詞 一般 * * *,133,22
これ,これ,此れ,代名詞 * * * * *,131,25
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,130,26
旧,旧,旧,名詞 普通名詞 一般 * * *,124,15
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,120,24
董,董,董,名詞 固有名詞 人名 姓 * *,119,13
香,香,香,名詞 固有名詞 人名 名 * *,119,13
トルソー,トルソー,トルソー,名詞 普通名詞 一般 * * *,119,11
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,117,24
班,班,班,名詞 普通名詞 一般 * * *,117,20
ん,ん,ん,助詞 格助詞 * * * *,115,25
多,多,多,名詞 普通名詞 一般 * * *,114,15
エト,エト,干支,名詞 普通名詞 一般 * * *,112,14
ハッ,ハッ,はっ,感動詞 一般 * * * *,108,25
ハア,ハア,はあ,感動詞 一般 * * * *,108,23
あなた,あなた,貴方,代名詞 * * * * *,108,22
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,107,25
