Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,712,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,648,12
は,は,は,助詞 係助詞 * * * *,574,12
裕太,裕太,裕太,名詞 固有名詞 人名 名 * *,496,12
て,て,て,助詞 接続助詞 * * * *,487,12
に,に,に,助詞 格助詞 * * * *,481,12
が,が,が,助詞 格助詞 * * * *,464,12
六花,六花,六花,名詞 普通名詞 一般 * * *,383,12
グリッドマン,グリッドマン,グリッドマン,名詞 普通名詞 一般 * * *,367,12
アカネ,アカネ,アカネ,名詞 固有名詞 人名 名 * *,366,12
ん,ん,の,助詞 準体助詞 * * * *,362,12
も,も,も,助詞 係助詞 * * * *,350,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,344,12
よ,よ,よ,助詞 終助詞 * * * *,314,12
内海,内海,内海,名詞 普通名詞 一般 * * *,294,12
で,で,で,助詞 格助詞 * * * *,289,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,279,12
と,と,と,助詞 格助詞 * * * *,278,12
を,を,を,助詞 格助詞 * * * *,273,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,250,12
か,か,か,助詞 終助詞 * * * *,247,12
怪獣,怪獣,怪獣,名詞 普通名詞 一般 * * *,238,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,217,12
って,って,って,助詞 副助詞 * * * *,205,12
何,何,何,代名詞 * * * * *,203,12
か,か,か,助詞 副助詞 * * * *,196,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,194,12
私,私,私,代名詞 * * * * *,179,12
音,音,音,名詞 普通名詞 一般 * * *,171,12
こと,こと,こと,名詞 普通名詞 一般 * * *,167,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,163,12
あっ,あっ,あっ,感動詞 一般 * * * *,162,12
の,の,の,助詞 終助詞 * * * *,162,12
俺,俺,俺,代名詞 * * * * *,159,12
ね,ね,ね,助詞 終助詞 * * * *,157,12
から,から,から,助詞 接続助詞 * * * *,154,12
の,の,の,助詞 準体助詞 * * * *,149,12
アレクシス,アレクシス,アレクシス,名詞 固有名詞 人名 一般 * *,138,12
な,な,な,助詞 終助詞 * * * *,136,12
アンチ,アンチ,アンチ,名詞 普通名詞 一般 * * *,123,10
けど,けど,けれど,助詞 接続助詞 * * * *,114,12
マックス,マックス,マックス,名詞 固有名詞 人名 一般 * *,113,10
うん,うん,うん,感動詞 一般 * * * *,111,12
いや,いや,否,感動詞 一般 * * * *,106,12
そう,そう,そう,副詞 * * * * *,103,12
〜,〜,〜,補助記号 一般 * * * *,103,11
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,102,12
たち,たち,達,接尾辞 名詞的 一般 * * *,98,12
ボラー,ボラー,ボラー,名詞 普通名詞 一般 * * *,98,10
くん,くん,君,接尾辞 名詞的 一般 * * *,97,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,97,12
っす,っす,っす,助動詞 * * * 助動詞-デス 終止形-一般,91,11
新条,新条,新条,名詞 固有名詞 人名 姓 * *,91,10
キャリバー,キャリバー,キャリバー,名詞 普通名詞 一般 * * *,90,11
それ,それ,其れ,代名詞 * * * * *,88,11
あ,あ,あっ,感動詞 一般 * * * *,87,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,87,12
ああ,ああ,ああ,感動詞 一般 * * * *,86,12
どう,どう,どう,副詞 * * * * *,85,12
なん,なん,何,代名詞 * * * * *,85,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,84,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,82,12
この,この,此の,連体詞 * * * * *,81,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,79,12
じゃん,じゃん,じゃん,助詞 終助詞 * * * *,79,11
えっ,えっ,えっ,感動詞 一般 * * * *,71,10
さ,さ,さ,助詞 終助詞 * * * *,70,11
なみこ,なみこ,なみこ,名詞 固有名詞 人名 名 * *,70,11
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,69,12
は,は,はあ,感動詞 一般 * * * *,68,11
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,67,12
から,から,から,助詞 格助詞 * * * *,67,11
ん,ん,ん,助詞 格助詞 * * * *,65,12
人,人,人,名詞 普通名詞 一般 * * *,65,9
し,し,し,助詞 接続助詞 * * * *,63,12
･,・,・,補助記号 一般 * * * *,63,11
君,君,君,代名詞 * * * * *,62,12
もう,もう,もう,副詞 * * * * *,61,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,60,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,59,12
これ,これ,此れ,代名詞 * * * * *,58,12
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,58,11
ちょっと,ちょっと,一寸,副詞 * * * * *,56,11
ママ,ママ,ママ,名詞 普通名詞 一般 * * *,56,10
お前,お前,御前,代名詞 * * * * *,55,12
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,55,12
あの,あの,彼の,連体詞 * * * * *,53,12
ヴィット,ヴィット,ヴィット,名詞 普通名詞 一般 * * *,52,10
ば,ば,ば,助詞 接続助詞 * * * *,51,12
ここ,ここ,此処,代名詞 * * * * *,50,12
街,街,街,名詞 普通名詞 一般 * * *,50,11
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,49,11
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,48,12
