Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2541,24
は,は,は,助詞 係助詞 * * * *,2211,24
に,に,に,助詞 格助詞 * * * *,2039,24
を,を,を,助詞 格助詞 * * * *,1759,24
が,が,が,助詞 格助詞 * * * *,1685,24
て,て,て,助詞 接続助詞 * * * *,1679,24
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1360,24
も,も,も,助詞 係助詞 * * * *,1240,24
と,と,と,助詞 格助詞 * * * *,1123,24
で,で,で,助詞 格助詞 * * * *,970,24
か,か,か,助詞 終助詞 * * * *,829,24
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,788,24
の,の,の,助詞 準体助詞 * * * *,779,24
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,761,24
〜,〜,〜,補助記号 一般 * * * *,735,24
葉風,葉風,葉風,名詞 普通名詞 一般 * * *,663,24
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,596,24
な,な,な,助詞 終助詞 * * * *,547,24
ん,ん,の,助詞 準体助詞 * * * *,478,24
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,474,24
よ,よ,よ,助詞 終助詞 * * * *,450,24
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,427,24
樹,樹,樹,名詞 普通名詞 一般 * * *,412,24
愛花,愛花,愛花,名詞 固有名詞 人名 名 * *,407,24
か,か,か,助詞 副助詞 * * * *,393,24
それ,それ,其れ,代名詞 * * * * *,388,24
こと,こと,こと,名詞 普通名詞 一般 * * *,382,24
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,373,24
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,357,24
魔法,魔法,魔法,名詞 普通名詞 一般 * * *,347,22
左門,左門,左門,名詞 固有名詞 人名 名 * *,341,24
お前,お前,御前,代名詞 * * * * *,337,24
私,私,私,代名詞 * * * * *,336,24
ば,ば,ば,助詞 接続助詞 * * * *,318,24
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,297,24
吉野,吉野,吉野,名詞 固有名詞 地名 一般 * *,291,24
その,その,其の,連体詞 * * * * *,278,24
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,272,24
から,から,から,助詞 接続助詞 * * * *,265,24
って,って,って,助詞 副助詞 * * * *,259,24
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,253,24
はじまり,はじまり,始まり,名詞 普通名詞 一般 * * *,250,22
真広,真広,真広,名詞 固有名詞 人名 名 * *,248,24
が,が,が,助詞 接続助詞 * * * *,245,24
どう,どう,どう,副詞 * * * * *,243,24
ね,ね,ね,助詞 終助詞 * * * *,242,24
そう,そう,そう,副詞 * * * * *,241,24
通信,通信,通信,名詞 普通名詞 サ変可能 * * *,241,15
さん,さん,さん,接尾辞 名詞的 一般 * * *,239,23
何,何,何,代名詞 * * * * *,221,24
から,から,から,助詞 格助詞 * * * *,213,24
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,210,23
