Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2657,48
て,て,て,助詞 接続助詞 * * * *,2495,48
に,に,に,助詞 格助詞 * * * *,2385,48
は,は,は,助詞 係助詞 * * * *,2301,48
が,が,が,助詞 格助詞 * * * *,1676,48
を,を,を,助詞 格助詞 * * * *,1670,48
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1554,48
も,も,も,助詞 係助詞 * * * *,1300,48
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1213,48
よ,よ,よ,助詞 終助詞 * * * *,1151,48
で,で,で,助詞 格助詞 * * * *,1064,48
〜,〜,〜,補助記号 一般 * * * *,1015,48
と,と,と,助詞 格助詞 * * * *,1007,48
あっ,あっ,あっ,感動詞 一般 * * * *,1005,48
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,954,48
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,933,48
ん,ん,の,助詞 準体助詞 * * * *,865,48
ね,ね,ね,助詞 終助詞 * * * *,849,48
の,の,の,助詞 準体助詞 * * * *,821,48
か,か,か,助詞 終助詞 * * * *,725,48
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,705,48
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,684,48
さん,さん,さん,接尾辞 名詞的 一般 * * *,649,47
こと,こと,こと,名詞 普通名詞 一般 * * *,616,48
って,って,って,助詞 副助詞 * * * *,595,48
ロプ,ロプ,ロプ,名詞 固有名詞 地名 一般 * *,565,42
お,お,御,接頭辞 * * * * *,501,48
何,何,何,代名詞 * * * * *,499,48
か,か,か,助詞 副助詞 * * * *,498,48
うん,うん,うん,感動詞 一般 * * * *,464,48
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,461,48
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,460,48
ココ,ココ,ココ,名詞 普通名詞 一般 * * *,456,40
わたし,わたし,私,代名詞 * * * * *,447,45
プリキュア,プリキュア,プリキュア,名詞 固有名詞 一般 * * *,432,48
えっ,えっ,えっ,感動詞 一般 * * * *,429,48
の,の,の,助詞 終助詞 * * * *,426,48
うっ,うっ,うう,感動詞 一般 * * * *,426,47
ローズ,ローズ,ローズ,名詞 普通名詞 一般 * * *,426,47
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,421,48
シロップ,シロップ,シロップ,名詞 普通名詞 一般 * * *,406,44
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,405,48
から,から,から,助詞 接続助詞 * * * *,392,47
どう,どう,どう,副詞 * * * * *,383,48
それ,それ,其れ,代名詞 * * * * *,369,48
そう,そう,そう,副詞 * * * * *,365,46
ああ,ああ,ああ,感動詞 一般 * * * *,357,48
これ,これ,此れ,代名詞 * * * * *,333,48
な,な,な,助詞 終助詞 * * * *,329,47
キュア,キュア,キュア,名詞 普通名詞 一般 * * *,321,48
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,320,48
わ,わ,わ,助詞 終助詞 * * * *,304,48
たち,たち,達,接尾辞 名詞的 一般 * * *,291,48
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,291,47
力,力,力,名詞 普通名詞 一般 * * *,284,47
ホシイナー,ホシイナー,ホシイナー,名詞 普通名詞 一般 * * *,281,40
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,277,47
はあ,はあ,はあ,感動詞 一般 * * * *,269,43
この,この,此の,連体詞 * * * * *,262,47
ば,ば,ば,助詞 接続助詞 * * * *,248,47
