Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
・,・,・,補助記号 一般 * * * *,244,1
は,は,は,助詞 係助詞 * * * *,86,1
て,て,て,助詞 接続助詞 * * * *,70,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,51,1
を,を,を,助詞 格助詞 * * * *,50,1
に,に,に,助詞 格助詞 * * * *,49,1
の,の,の,助詞 格助詞 * * * *,49,1
が,が,が,助詞 格助詞 * * * *,43,1
ね,ね,ね,助詞 終助詞 * * * *,40,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,38,1
も,も,も,助詞 係助詞 * * * *,38,1
で,で,で,助詞 格助詞 * * * *,35,1
と,と,と,助詞 格助詞 * * * *,33,1
魔理沙,魔理沙,魔理沙,名詞 固有名詞 人名 名 * *,33,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,32,1
の,の,の,助詞 準体助詞 * * * *,31,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,30,1
か,か,か,助詞 終助詞 * * * *,27,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,27,1
よ,よ,よ,助詞 終助詞 * * * *,27,1
ん,ん,の,助詞 準体助詞 * * * *,26,1
わ,わ,わ,助詞 終助詞 * * * *,24,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,23,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,20,1
わたし,わたし,私,代名詞 * * * * *,20,1
アリス,アリス,アリス,名詞 固有名詞 人名 一般 * *,18,1
から,から,から,助詞 接続助詞 * * * *,17,1
そう,そう,そう,副詞 * * * * *,16,1
どう,どう,どう,副詞 * * * * *,16,1
な,な,な,助詞 終助詞 * * * *,16,1
って,って,って,助詞 副助詞 * * * *,15,1
か,か,か,助詞 副助詞 * * * *,14,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,14,1
の,の,の,助詞 終助詞 * * * *,14,1
はい,はい,はい,感動詞 一般 * * * *,14,1
私,私,私,代名詞 * * * * *,14,1
〜,〜,〜,補助記号 一般 * * * *,13,1
お,お,御,接頭辞 * * * * *,13,1
それ,それ,其れ,代名詞 * * * * *,13,1
うん,うん,うん,感動詞 一般 * * * *,12,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,12,1
そー,そー,そう,副詞 * * * * *,12,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,11,1
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,11,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,11,1
ね〜,ね〜,ね,助詞 終助詞 * * * *,11,1
ぁ,ぁ,ぁ,補助記号 一般 * * * *,10,1
これ,これ,此れ,代名詞 * * * * *,10,1
で,で,で,助詞 接続助詞 * * * *,10,1
霊夢,霊夢,霊夢,名詞 普通名詞 一般 * * *,10,1
お菓子,お菓子,御菓子,名詞 普通名詞 一般 * * *,9,1
こと,こと,こと,名詞 普通名詞 一般 * * *,9,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,9,1
クッキー,クッキー,クッキー,名詞 普通名詞 一般 * * *,9,1
あ,あ,あっ,感動詞 一般 * * * *,8,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,8,1
じゃあ,じゃあ,で,接続詞 * * * * *,8,1
だけ,だけ,だけ,助詞 副助詞 * * * *,8,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,8,1
昨夜,昨夜,昨夜,名詞 普通名詞 副詞可能 * * *,8,1
材料,材料,材料,名詞 普通名詞 一般 * * *,8,1
ああ,ああ,ああ,感動詞 一般 * * * *,7,1
あなた,あなた,貴方,代名詞 * * * * *,7,1
あら,あら,あら,感動詞 一般 * * * *,7,1
かしら,かしら,かしら,助詞 終助詞 * * * *,7,1
けど,けど,けれど,助詞 接続助詞 * * * *,7,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,7,1
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,7,1
チョコ,チョコ,チョコ,名詞 普通名詞 一般 * * *,7,1
パチュリー,パチュリー,パチョリ,名詞 普通名詞 一般 * * *,7,1
何,何,何,代名詞 * * * * *,7,1
食べ,食べる,食べる,動詞 一般 * * 下一段-バ行 連用形-一般,7,1
あっ,あっ,あっ,感動詞 一般 * * * *,6,1
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,6,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,6,1
この,この,此の,連体詞 * * * * *,6,1
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,6,1
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,6,1
ば,ば,ば,助詞 接続助詞 * * * *,6,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,6,1
作る,作る,作る,動詞 一般 * * 五段-ラ行 連体形-一般,6,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,6,1
あ,あ,あー,感動詞 フィラー * * * *,5,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,5,1
たまご,たまご,卵,名詞 普通名詞 一般 * * *,5,1
ちょっと,ちょっと,一寸,副詞 * * * * *,5,1
っ,っ,っ,補助記号 一般 * * * *,5,1
なく,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-一般,5,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,5,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,5,1
わっ,わっ,わあ,感動詞 一般 * * * *,5,1
プレセント,プレセント,プレセント,名詞 普通名詞 一般 * * *,5,1
ー,ー,ー,補助記号 一般 * * * *,5,1
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,5,1
出来,出来る,出来る,動詞 非自立可能 * * 上一段-カ行 連用形-一般,5,1
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,5,1
様,様,様,接尾辞 名詞的 一般 * * *,5,1
気,気,気,名詞 普通名詞 一般 * * *,5,1
無い,無い,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,5,1
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,5,1
顔,顔,顔,名詞 普通名詞 一般 * * *,5,1
え,え,えっ,感動詞 一般 * * * *,4,1
がんばっ,がんばる,頑張る,動詞 一般 * * 五段-ラ行 連用形-促音便,4,1
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,4,1
さま,さま,様,接尾辞 名詞的 一般 * * *,4,1
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,4,1
し,し,し,助詞 接続助詞 * * * *,4,1
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,4,1
そう,そう,そう,形状詞 助動詞語幹 * * * *,4,1
たり,たり,たり,助詞 副助詞 * * * *,4,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,4,1
なん,なん,何,代名詞 * * * * *,4,1
ましょう,ます,ます,助動詞 * * * 助動詞-マス 意志推量形,4,1
また,また,又,接続詞 * * * * *,4,1
もう,もう,もう,副詞 * * * * *,4,1
下さい,下さる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,4,1
人,人,人,接尾辞 名詞的 一般 * * *,4,1
厨房,厨房,厨房,名詞 普通名詞 一般 * * *,4,1
料理,料理,料理,名詞 普通名詞 サ変可能 * * *,4,1
気持ち,気持ち,気持ち,名詞 普通名詞 一般 * * *,4,1
湯,湯,湯,名詞 普通名詞 一般 * * *,4,1
無い,無い,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,4,1
返し,返す,返す,動詞 一般 * * 五段-サ行 連用形-一般,4,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,3,1
あーっ,あーっ,ああ,感動詞 一般 * * * *,3,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,3,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,3,1
いー,いー,いー,感動詞 フィラー * * * *,3,1
ぅ,ぅ,ぅ,補助記号 一般 * * * *,3,1
おいしい,おいしい,美味しい,形容詞 一般 * * 形容詞 終止形-一般,3,1
おう,おう,おお,感動詞 一般 * * * *,3,1
お前,お前,御前,代名詞 * * * * *,3,1
お嬢様,お嬢様,御嬢様,名詞 普通名詞 一般 * * *,3,1
から,から,から,助詞 格助詞 * * * *,3,1
かー,かー,か,助詞 終助詞 * * * *,3,1
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 未然形-一般,3,1
ぐっ,ぐっ,ぐっ,副詞 * * * * *,3,1
ここ,ここ,此処,代名詞 * * * * *,3,1
ご,ご,御,接頭辞 * * * * *,3,1
ござい,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,3,1
さて,さて,扠,接続詞 * * * * *,3,1
せる,せる,せる,助動詞 * * * 下一段-サ行 終止形-一般,3,1
その,その,其の,連体詞 * * * * *,3,1
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,3,1
