Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,4480,51
は,は,は,助詞 係助詞 * * * *,3334,51
を,を,を,助詞 格助詞 * * * *,3150,51
に,に,に,助詞 格助詞 * * * *,2869,51
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2703,51
で,で,で,助詞 格助詞 * * * *,2095,51
て,て,て,助詞 接続助詞 * * * *,2020,51
が,が,が,助詞 格助詞 * * * *,1794,51
と,と,と,助詞 格助詞 * * * *,1337,51
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1146,51
も,も,も,助詞 係助詞 * * * *,1127,51
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1063,51
か,か,か,助詞 終助詞 * * * *,927,51
俺,俺,俺,代名詞 * * * * *,842,50
の,の,の,助詞 準体助詞 * * * *,803,51
･,・,・,補助記号 一般 * * * *,762,48
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,729,51
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,669,51
幸村,幸村,幸村,名詞 固有名詞 人名 姓 * *,661,46
こと,こと,こと,名詞 普通名詞 一般 * * *,588,51
アタック,アタック,アタック,名詞 普通名詞 サ変可能 * * *,572,51
な,な,な,助詞 終助詞 * * * *,570,51
よ,よ,よ,助詞 終助詞 * * * *,557,51
召喚,召喚,召喚,名詞 普通名詞 サ変可能 * * *,556,50
ん,ん,の,助詞 準体助詞 * * * *,529,51
これ,これ,此れ,代名詞 * * * * *,523,51
ライフ,ライフ,ライフ,名詞 普通名詞 一般 * * *,514,49
〜,〜,〜,補助記号 一般 * * * *,496,50
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,491,51
この,この,此の,連体詞 * * * * *,481,51
兼続,兼続,兼続,名詞 固有名詞 人名 名 * *,463,48
ターン,ターン,ターン,名詞 普通名詞 サ変可能 * * *,462,49
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,445,44
お前,お前,御前,代名詞 * * * * *,407,48
たち,たち,達,接尾辞 名詞的 一般 * * *,404,51
る,る,れる,助動詞 * * * 文語下二段-ラ行 終止形-一般,383,51
効果,効果,効果,名詞 普通名詞 一般 * * *,369,49
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,358,51
から,から,から,助詞 格助詞 * * * *,346,51
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,335,51
って,って,って,助詞 副助詞 * * * *,318,49
佐助,佐助,佐助,名詞 固有名詞 人名 名 * *,313,50
それ,それ,其れ,代名詞 * * * * *,311,51
が,が,が,助詞 接続助詞 * * * *,309,51
ソウル,ソウル,ソウル,名詞 固有名詞 地名 一般 * *,308,44
発揮,発揮,発揮,名詞 普通名詞 サ変可能 * * *,300,50
相手,相手,相手,名詞 普通名詞 一般 * * *,299,51
利家,利家,利家,名詞 固有名詞 人名 名 * *,298,44
マイク,マイク,マイク,名詞 普通名詞 一般 * * *,286,20
どう,どう,どう,副詞 * * * * *,272,51
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,271,50
何,何,何,代名詞 * * * * *,265,51
早雲,早雲,早雲,名詞 固有名詞 人名 名 * *,260,43
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,256,51
ば,ば,ば,助詞 接続助詞 * * * *,256,50
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,254,51
その,その,其の,連体詞 * * * * *,254,50
時,時,時,名詞 普通名詞 助数詞可能 * * *,243,48
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,240,50
ここ,ここ,此処,代名詞 * * * * *,239,51
まで,まで,まで,助詞 副助詞 * * * *,237,50
もう,もう,もう,副詞 * * * * *,236,50
か,か,か,助詞 副助詞 * * * *,235,50
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,234,49
そう,そう,そう,副詞 * * * * *,225,50
モニタ,モニタ,モニター,名詞 普通名詞 一般 * * *,225,17
なん,なん,何,代名詞 * * * * *,219,48
ご,ご,ご,名詞 普通名詞 副詞可能 * * *,216,49
体,体,体,名詞 普通名詞 助数詞可能 * * *,214,46
力,力,力,名詞 普通名詞 一般 * * *,211,50
ソウルコア,ソウルコア,ソウルコア,名詞 普通名詞 一般 * * *,209,48
ご,ご,御,接頭辞 * * * * *,205,51
様,様,様,接尾辞 名詞的 一般 * * *,200,39
トシ,トシ,トシ,名詞 固有名詞 人名 一般 * *,199,37
天魔,天魔,天魔,名詞 普通名詞 一般 * * *,198,29
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,195,51
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,195,46
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,195,39
王,王,王,名詞 普通名詞 一般 * * *,187,34
自分,自分,自分,名詞 普通名詞 一般 * * *,185,42
破壊,破壊,破壊,名詞 普通名詞 サ変可能 * * *,184,46
だけ,だけ,だけ,助詞 副助詞 * * * *,183,46
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,181,50
謙信,謙信,謙信,名詞 固有名詞 人名 名 * *,179,18
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,177,49
今,今,今,名詞 普通名詞 副詞可能 * * *,176,50
じゃ,じゃ,で,接続詞 * * * * *,172,51
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,172,50
さん,さん,さん,接尾辞 名詞的 一般 * * *,168,41
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,167,49
あっ,あっ,あっ,感動詞 一般 * * * *,166,43
戦国,戦国,戦国,名詞 普通名詞 一般 * * *,163,40
受ける,受ける,受ける,動詞 一般 * * 下一段-カ行 終止形-一般,160,47
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,159,42
半蔵,半蔵,半蔵,名詞 固有名詞 人名 名 * *,159,14
環奈,環奈,環奈,名詞 固有名詞 人名 名 * *,157,51
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,156,49
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,156,48
ら,ら,等,接尾辞 名詞的 一般 * * *,155,39
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,154,49
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,150,46
更に,更に,更に,接続詞 * * * * *,148,47
お,お,御,接頭辞 * * * * *,147,47
コア,コア,コア,名詞 普通名詞 形状詞可能 * * *,147,40
から,から,から,助詞 接続助詞 * * * *,146,45
属性,属性,属性,名詞 普通名詞 一般 * * *,146,36
六天,六天,六天,名詞 固有名詞 地名 一般 * *,146,25
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,145,44
炎,炎,炎,名詞 普通名詞 一般 * * *,144,44
枚,枚,枚,接尾辞 名詞的 助数詞 * * *,144,38
ため,ため,為,名詞 普通名詞 副詞可能 * * *,143,41
蘭丸,蘭丸,蘭丸,名詞 固有名詞 人名 名 * *,142,30
っ,っ,っ,補助記号 一般 * * * *,140,48
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,139,48
すべて,すべて,全て,名詞 普通名詞 副詞可能 * * *,139,44
次,次,次,名詞 普通名詞 一般 * * *,137,46
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,137,42
ムサシ,ムサシ,ムサシ,名詞 固有名詞 地名 一般 * *,137,35
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,136,46
大六,大六,大六,名詞 固有名詞 人名 姓 * *,134,25
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,133,42
魔王,魔王,魔王,名詞 普通名詞 一般 * * *,133,26
幸村,幸村,幸村,名詞 固有名詞 人名 名 * *,132,49
太一,太一,太一,名詞 普通名詞 一般 * * *,132,48
やつ,やつ,奴,名詞 普通名詞 一般 * * *,132,39
ね,ね,ね,助詞 終助詞 * * * *,129,38
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,127,44
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,126,46
大,大,大,接頭辞 * * * * *,126,29
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,125,41
チーム,チーム,チーム,名詞 普通名詞 一般 * * *,125,15
まだ,まだ,未だ,副詞 * * * * *,124,41
天下,天下,天下,名詞 普通名詞 一般 * * *,122,36
兄,兄,兄,名詞 普通名詞 一般 * * *,121,15
大会,大会,大会,名詞 普通名詞 一般 * * *,120,27
で,で,で,助詞 接続助詞 * * * *,119,43
勝負,勝負,勝負,名詞 普通名詞 サ変可能 * * *,118,41
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,117,39
こそ,こそ,こそ,助詞 係助詞 * * * *,116,48
藤吉郎,藤吉郎,藤吉郎,名詞 固有名詞 人名 名 * *,116,29
よう,よう,様,形状詞 助動詞語幹 * * * *,114,43
いけ,いく,行く,動詞 非自立可能 * * 五段-カ行 命令形,112,44
いく,いく,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,111,42
フラッシュ,フラッシュ,フラッシュ,名詞 普通名詞 一般 * * *,110,39
魂,魂,魂,名詞 普通名詞 一般 * * *,110,39
とき,とき,時,名詞 普通名詞 副詞可能 * * *,109,44
出,出る,出る,動詞 一般 * * 下一段-ダ行 連用形-一般,109,42
フッ,フッ,ふっ,副詞 * * * * *,107,42
誰,誰,誰,代名詞 * * * * *,105,43
烈火,烈火,烈火,名詞 普通名詞 一般 * * *,105,40
そして,そして,そして,接続詞 * * * * *,104,46
赤,赤,赤,名詞 普通名詞 一般 * * *,104,32
咆哮,咆哮,咆哮,名詞 普通名詞 サ変可能 * * *,103,29
信,信,信,名詞 普通名詞 一般 * * *,103,13
くっ,くっ,くっ,感動詞 一般 * * * *,102,42
あいつ,あいつ,彼奴,代名詞 * * * * *,100,30
あの,あの,彼の,連体詞 * * * * *,97,43
で,で,で,接続詞 * * * * *,97,39
武将,武将,武将,名詞 普通名詞 一般 * * *,97,28
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,96,43
手,手,手,名詞 普通名詞 助数詞可能 * * *,96,37
ああ,ああ,ああ,感動詞 一般 * * * *,94,38
サムライ,サムライ,侍,名詞 普通名詞 一般 * * *,92,17
僕,僕,僕,代名詞 * * * * *,91,17
なんて,なんて,なんて,助詞 副助詞 * * * *,90,40
拓馬,拓馬,拓馬,名詞 固有名詞 人名 姓 * *,89,49
へ,へ,へ,助詞 格助詞 * * * *,89,42
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,89,38
てめえ,てめえ,てまえ,代名詞 * * * * *,89,20
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,88,38
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,88,37
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,88,35
えっ,えっ,えっ,感動詞 一般 * * * *,87,37
トシ,トシ,トシ,名詞 固有名詞 人名 名 * *,87,29
エリア,エリア,エリア,名詞 普通名詞 一般 * * *,87,16
信長,信長,信長,名詞 固有名詞 人名 名 * *,87,12
最後,最後,最後,名詞 普通名詞 一般 * * *,86,35
有弥,有弥,有弥,名詞 固有名詞 人名 名 * *,84,49
ソウル,ソウル,ソウル,名詞 普通名詞 一般 * * *,84,35
おいら,おいら,己等,代名詞 * * * * *,84,15
天,天,天,名詞 普通名詞 一般 * * *,83,24
信玄,信玄,信玄,名詞 固有名詞 人名 名 * *,83,12
うっ,うっ,うう,感動詞 一般 * * * *,82,39
歓声,歓声,歓声,名詞 普通名詞 一般 * * *,82,33
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,79,33
六,六,6,名詞 数詞 * * * *,79,19
勝家,勝家,勝家,名詞 固有名詞 人名 名 * *,79,17
た〜,た,た,助動詞 * * * 助動詞-タ 終止形-一般,78,39
発動,発動,発動,名詞 普通名詞 サ変可能 * * *,78,31
私,私,私,代名詞 * * * * *,78,18
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,77,38
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,77,37
手札,手札,手札,名詞 普通名詞 一般 * * *,77,24
まず,まず,先ず,副詞 * * * * *,76,38
前,前,前,名詞 普通名詞 副詞可能 * * *,76,38
もの,もの,物,名詞 普通名詞 サ変可能 * * *,76,36
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,76,35
級,級,級,接尾辞 名詞的 一般 * * *,76,23
できる,できる,出来る,動詞 非自立可能 * * 上一段-カ行 終止形-一般,75,39
我が,我が,我が,連体詞 * * * * *,75,31
愛,愛,愛,名詞 普通名詞 一般 * * *,75,20
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,74,32
貴様,貴様,貴様,代名詞 * * * * *,74,20
一気,一気,一気,名詞 普通名詞 一般 * * *,73,37
受け,受ける,受ける,動詞 一般 * * 下一段-カ行 連用形-一般,73,37
さあ,さあ,さあ,感動詞 一般 * * * *,73,34
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,73,29
こんな,こんな,こんな,連体詞 * * * * *,72,40
攻撃,攻撃,攻撃,名詞 普通名詞 サ変可能 * * *,72,34
小太郎,小太郎,小太郎,名詞 固有名詞 人名 名 * *,72,25
そんな,そんな,そんな,連体詞 * * * * *,71,39
まま,まま,侭,名詞 普通名詞 副詞可能 * * *,71,38
しか,しか,しか,助詞 副助詞 * * * *,71,36
コスト,コスト,コスト,名詞 普通名詞 一般 * * *,71,31
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,71,30
刃,刃,刃,接尾辞 名詞的 一般 * * *,71,25
ところ,ところ,所,名詞 普通名詞 副詞可能 * * *,70,37
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,70,36
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,70,31
市,市,市,名詞 普通名詞 一般 * * *,70,20
一度,一度,一度,名詞 普通名詞 副詞可能 * * *,69,37
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,69,34
龍,龍,竜,名詞 普通名詞 一般 * * *,69,27
できる,できる,出来る,動詞 非自立可能 * * 上一段-カ行 連体形-一般,68,41
わけ,わけ,訳,名詞 普通名詞 一般 * * *,68,37
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,68,23
イクサ,イクサ,イクサ,名詞 普通名詞 一般 * * *,68,18
一,一,1,名詞 数詞 * * * *,67,33
こいつ,こいつ,此奴,代名詞 * * * * *,67,31
長頼,長頼,長頼,名詞 固有名詞 人名 名 * *,67,31
攻め,攻める,攻める,動詞 一般 * * 下一段-マ行 連用形-一般,67,24
決勝,決勝,決勝,名詞 普通名詞 一般 * * *,67,22
回復,回復,回復,名詞 普通名詞 サ変可能 * * *,66,28
でき,できる,出来る,動詞 非自立可能 * * 上一段-カ行 未然形-一般,65,38
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,65,36
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,65,32
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,64,33
倒し,倒す,倒す,動詞 一般 * * 五段-サ行 連用形-一般,64,30
キミ,キミ,君,代名詞 * * * * *,64,13
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,63,36
残り,残り,残り,名詞 普通名詞 一般 * * *,63,34
や,や,や,助詞 副助詞 * * * *,63,33
勝っ,勝つ,勝つ,動詞 一般 * * 五段-タ行 連用形-促音便,63,32
勝利,勝利,勝利,名詞 普通名詞 サ変可能 * * *,62,35
なに,なに,何,代名詞 * * * * *,62,32
疲労,疲労,疲労,名詞 普通名詞 サ変可能 * * *,62,28
人,人,人,接尾辞 名詞的 一般 * * *,62,26
さすが,さすが,流石,副詞 * * * * *,61,37
最強,最強,最強,名詞 普通名詞 一般 * * *,61,23
姫,姫,姫,名詞 普通名詞 一般 * * *,61,12
今度,今度,今度,名詞 普通名詞 副詞可能 * * *,60,33
拙者,拙者,拙者,代名詞 * * * * *,60,17
ムラマサ,ムラマサ,ムラマサ,名詞 固有名詞 人名 一般 * *,60,15
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,59,36
男,男,男,名詞 普通名詞 一般 * * *,59,36
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,59,32
試合,試合,試合,名詞 普通名詞 サ変可能 * * *,59,21
放,放,放し,接尾辞 形状詞的 * * * *,58,46
来い,来る,来る,動詞 非自立可能 * * カ行変格 命令形,58,35
つもり,つもり,積もり,名詞 普通名詞 一般 * * *,58,32
負け,負ける,負ける,動詞 一般 * * 下一段-カ行 連用形-一般,58,32
うわ〜,うわ〜,うわ,感動詞 一般 * * * *,58,30
あなた,あなた,貴方,代名詞 * * * * *,58,14
必ず,必ず,必ず,副詞 * * * * *,57,36
見せ,見せる,見せる,動詞 非自立可能 * * 下一段-サ行 連用形-一般,57,35
うお,うお,うお,名詞 固有名詞 人名 一般 * *,57,32
やら,やる,遣る,動詞 非自立可能 * * 五段-ラ行 未然形-一般,57,26
セット,セット,セット,名詞 普通名詞 サ変可能 * * *,57,26
紫,紫,紫,名詞 普通名詞 一般 * * *,57,22
代表,代表,代表,名詞 普通名詞 サ変可能 * * *,57,14
阿国,阿国,阿国,名詞 固有名詞 人名 一般 * *,57,13
て,てる,てる,助動詞 * * * 下一段-タ行 連体形-省略,56,31
わかっ,わかる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,55,28
全国,全国,全国,名詞 普通名詞 一般 * * *,55,23
連続,連続,連続,名詞 普通名詞 サ変形状詞可能 * * *,54,33
あぁ,あぁ,ああ,感動詞 一般 * * * *,54,30
よし,よし,よし,名詞 普通名詞 一般 * * *,54,30
もん,もん,もん,名詞 普通名詞 一般 * * *,54,29
我,我,我,代名詞 * * * * *,54,24
