Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1329,12
は,は,は,助詞 係助詞 * * * *,897,12
て,て,て,助詞 接続助詞 * * * *,812,12
勇利,勇利,勇利,名詞 固有名詞 人名 名 * *,804,12
に,に,に,助詞 格助詞 * * * *,800,12
が,が,が,助詞 格助詞 * * * *,558,12
ヴィクトル,ヴィクトル,ヴィクトル,名詞 固有名詞 人名 一般 * *,512,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,509,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,507,12
を,を,を,助詞 格助詞 * * * *,497,12
で,で,で,助詞 格助詞 * * * *,468,12
と,と,と,助詞 格助詞 * * * *,390,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,370,12
よ,よ,よ,助詞 終助詞 * * * *,349,12
諸岡,諸岡,諸岡,名詞 固有名詞 人名 姓 * *,328,10
も,も,も,助詞 係助詞 * * * *,326,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,309,12
･,・,・,補助記号 一般 * * * *,269,12
ユーリ,ユーリ,ユーリ,名詞 固有名詞 人名 一般 * *,262,12
〜,〜,〜,補助記号 一般 * * * *,235,12
ん,ん,の,助詞 準体助詞 * * * *,230,12
の,の,の,助詞 準体助詞 * * * *,207,12
か,か,か,助詞 終助詞 * * * *,201,12
僕,僕,僕,代名詞 * * * * *,180,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,179,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,174,12
回転,回転,回転,名詞 普通名詞 サ変可能 * * *,170,12
俺,俺,俺,代名詞 * * * * *,159,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,147,12
あっ,あっ,あっ,感動詞 一般 * * * *,143,12
ね,ね,ね,助詞 終助詞 * * * *,141,12
から,から,から,助詞 格助詞 * * * *,140,12
って,って,って,助詞 副助詞 * * * *,131,12
こと,こと,こと,名詞 普通名詞 一般 * * *,127,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,121,12
ファイナル,ファイナル,ファイナル,名詞 普通名詞 一般 * * *,120,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,118,12
な,な,な,助詞 終助詞 * * * *,117,12
グランプリ,グランプリ,グランプリ,名詞 普通名詞 一般 * * *,117,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,115,12
この,この,此の,連体詞 * * * * *,108,12
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,108,11
トリプル,トリプル,トリプル,名詞 普通名詞 一般 * * *,104,9
何,何,何,代名詞 * * * * *,103,12
か,か,か,助詞 副助詞 * * * *,102,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,102,12
コーチ,コーチ,コーチ,名詞 普通名詞 サ変可能 * * *,98,12
から,から,から,助詞 接続助詞 * * * *,97,12
ジャンプ,ジャンプ,ジャンプ,名詞 普通名詞 サ変可能 * * *,97,11
観客,観客,観客,名詞 普通名詞 一般 * * *,95,10
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,93,12
今,今,今,名詞 普通名詞 副詞可能 * * *,88,12
大会,大会,大会,名詞 普通名詞 一般 * * *,88,9
けど,けど,けれど,助詞 接続助詞 * * * *,84,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,84,12
勝生,勝生,勝生,名詞 固有名詞 人名 名 * *,84,12
位,位,位,接尾辞 名詞的 一般 * * *,84,9
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,83,12
ミナコ,ミナコ,ミナコ,名詞 固有名詞 人名 名 * *,83,11
えっ,えっ,えっ,感動詞 一般 * * * *,82,11
ロシア,ロシア,ロシア,名詞 固有名詞 地名 国 * *,82,11
曲,曲,曲,名詞 普通名詞 一般 * * *,79,11
これ,これ,此れ,代名詞 * * * * *,78,12
まで,まで,まで,助詞 副助詞 * * * *,76,12
ヤコフ,ヤコフ,ヤコブ,名詞 固有名詞 人名 一般 * *,75,12
ああ,ああ,ああ,感動詞 一般 * * * *,73,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,73,12
フリー,フリー,フリー,名詞 普通名詞 形状詞可能 * * *,73,11
