Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,11920,179
は,は,は,助詞 係助詞 * * * *,9203,179
に,に,に,助詞 格助詞 * * * *,9177,179
て,て,て,助詞 接続助詞 * * * *,9158,179
が,が,が,助詞 格助詞 * * * *,7615,179
を,を,を,助詞 格助詞 * * * *,6156,179
も,も,も,助詞 係助詞 * * * *,5444,179
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,5184,179
〜,〜,〜,補助記号 一般 * * * *,4995,179
で,で,で,助詞 格助詞 * * * *,4639,179
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,4225,179
よ,よ,よ,助詞 終助詞 * * * *,4105,179
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,4041,179
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,3991,179
と,と,と,助詞 格助詞 * * * *,3958,179
ね,ね,ね,助詞 終助詞 * * * *,3199,179
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,2964,179
の,の,の,助詞 準体助詞 * * * *,2658,179
私,私,私,代名詞 * * * * *,2364,178
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,2300,176
って,って,って,助詞 副助詞 * * * *,2130,179
さん,さん,さん,接尾辞 名詞的 一般 * * *,2122,178
の,の,の,助詞 終助詞 * * * *,2119,179
か,か,か,助詞 終助詞 * * * *,2044,179
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,2018,179
ぷり,ぷり,振り,名詞 普通名詞 助数詞可能 * * *,1886,142
ぃ,ぃ,ぃ,補助記号 一般 * * * *,1881,158
ん,ん,の,助詞 準体助詞 * * * *,1877,179
わ,わ,わ,助詞 終助詞 * * * *,1809,175
こと,こと,こと,名詞 普通名詞 一般 * * *,1761,179
お,お,御,接頭辞 * * * * *,1688,178
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,1642,178
らぁら,らぁら,らぁら,名詞 固有名詞 人名 名 * *,1582,179
か,か,か,助詞 副助詞 * * * *,1336,178
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,1334,178
め,め,め,名詞 普通名詞 一般 * * *,1320,179
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,1317,175
から,から,から,助詞 接続助詞 * * * *,1261,179
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,1216,168
これ,これ,此れ,代名詞 * * * * *,1212,179
それ,それ,其れ,代名詞 * * * * *,1207,178
人,人,人,接尾辞 名詞的 一般 * * *,1144,150
そ,そ,そう,副詞 * * * * *,1120,167
たち,たち,達,接尾辞 名詞的 一般 * * *,1095,175
な,な,な,助詞 終助詞 * * * *,1092,178
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,1052,175
