Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,985,14
は,は,は,助詞 係助詞 * * * *,877,14
に,に,に,助詞 格助詞 * * * *,731,14
て,て,て,助詞 接続助詞 * * * *,716,14
を,を,を,助詞 格助詞 * * * *,695,14
が,が,が,助詞 格助詞 * * * *,675,14
も,も,も,助詞 係助詞 * * * *,407,14
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,372,14
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,365,14
で,で,で,助詞 格助詞 * * * *,360,14
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,331,14
と,と,と,助詞 格助詞 * * * *,288,14
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,283,14
よ,よ,よ,助詞 終助詞 * * * *,281,14
の,の,の,助詞 準体助詞 * * * *,271,14
〜,〜,〜,補助記号 一般 * * * *,269,14
こと,こと,こと,名詞 普通名詞 一般 * * *,246,14
ね,ね,ね,助詞 終助詞 * * * *,207,14
ら,ら,等,接尾辞 名詞的 一般 * * *,202,14
プリズム,プリズム,プリズム,名詞 普通名詞 一般 * * *,191,14
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,183,14
私,私,私,代名詞 * * * * *,183,14
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,181,14
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,177,14
ん,ん,の,助詞 準体助詞 * * * *,177,14
か,か,か,助詞 終助詞 * * * *,175,14
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,164,14
シンフォニア,シンフォニア,シンフォニア,名詞 普通名詞 一般 * * *,163,14
み,み,み,接頭辞 * * * * *,162,14
あい,あい,あい,代名詞 * * * * *,162,13
あ,あ,あー,感動詞 フィラー * * * *,159,14
って,って,って,助詞 副助詞 * * * *,158,14
さん,さん,さん,接尾辞 名詞的 一般 * * *,140,14
ショー,ショー,ショー,名詞 普通名詞 一般 * * *,133,13
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,132,14
私たち,私たち,私達,名詞 普通名詞 一般 * * *,126,14
たち,たち,達,接尾辞 名詞的 一般 * * *,119,14
これ,これ,此れ,代名詞 * * * * *,117,14
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,104,14
わ,わ,わ,助詞 終助詞 * * * *,102,13
あ,あ,あっ,感動詞 一般 * * * *,98,14
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,98,14
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,98,13
か,か,か,助詞 副助詞 * * * *,95,14
それ,それ,其れ,代名詞 * * * * *,94,13
の,の,の,助詞 終助詞 * * * *,93,14
から,から,から,助詞 接続助詞 * * * *,89,13
な,な,な,助詞 終助詞 * * * *,89,13
この,この,此の,連体詞 * * * * *,87,14
み,みる,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,85,13
ヘイン,ヘイン,ヘイン,名詞 固有名詞 人名 一般 * *,81,10
あの,あの,彼の,連体詞 * * * * *,79,14
お,お,御,接頭辞 * * * * *,79,14
どう,どう,どう,副詞 * * * * *,78,14
ば,ば,ば,助詞 接続助詞 * * * *,77,13
その,その,其の,連体詞 * * * * *,75,14
何,何,何,代名詞 * * * * *,74,14
なん,なん,何,代名詞 * * * * *,73,14
から,から,から,助詞 格助詞 * * * *,72,14
そう,そう,そう,副詞 * * * * *,70,14
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,70,14
あなた,あなた,貴方,代名詞 * * * * *,68,14
ヘイン,ヘイン,ヘイン,名詞 固有名詞 人名 名 * *,67,14
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,65,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,64,14
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,64,13
阿世知,阿世知,阿世知,名詞 固有名詞 人名 姓 * *,62,14
とき,とき,時,名詞 普通名詞 副詞可能 * * *,59,12
へ,へ,へ,助詞 格助詞 * * * *,59,12
社長,社長,社長,名詞 普通名詞 一般 * * *,59,10
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,58,14
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,57,14
今,今,今,名詞 普通名詞 副詞可能 * * *,57,14
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,54,14
ユンス,ユンス,ユンス,名詞 固有名詞 人名 名 * *,54,14
だけ,だけ,だけ,助詞 副助詞 * * * *,53,14
ため,ため,為,名詞 普通名詞 副詞可能 * * *,53,13
え,え,えっ,感動詞 一般 * * * *,53,12
太郎,太郎,太郎,名詞 固有名詞 人名 名 * *,53,11
もう,もう,もう,副詞 * * * * *,52,14
グレイ,グレイ,グレー,名詞 固有名詞 人名 一般 * *,52,12
プリティー,プリティー,プリティー,形状詞 一般 * * * *,52,11
かりん,かりん,花梨,名詞 普通名詞 一般 * * *,51,13
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,51,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,51,12
欽,欽,欽,名詞 固有名詞 人名 姓 * *,51,11
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,50,13
れいな,れいな,れいな,名詞 固有名詞 人名 名 * *,50,13
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,50,12
未来,未来,未来,名詞 普通名詞 一般 * * *,50,11
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,48,14
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,48,14
やみ,やみ,やみ,名詞 普通名詞 一般 * * *,48,13
はい,はい,はい,感動詞 一般 * * * *,48,12
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,48,12
む,む,む,助動詞 * * * 文語助動詞-ム 終止形-一般,48,10
トフル,トフル,TOEFL,名詞 普通名詞 一般 * * *,48,10
人,人,人,名詞 普通名詞 一般 * * *,47,13
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,45,14
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,45,14
うん,うん,うん,感動詞 一般 * * * *,45,13
