Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,939,13
の,の,の,助詞 格助詞 * * * *,897,13
に,に,に,助詞 格助詞 * * * *,848,13
は,は,は,助詞 係助詞 * * * *,838,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,662,13
を,を,を,助詞 格助詞 * * * *,661,13
が,が,が,助詞 格助詞 * * * *,619,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,445,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,422,13
も,も,も,助詞 係助詞 * * * *,418,13
で,で,で,助詞 格助詞 * * * *,394,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,393,13
ん,ん,の,助詞 準体助詞 * * * *,373,13
と,と,と,助詞 格助詞 * * * *,372,13
か,か,か,助詞 終助詞 * * * *,362,13
ね,ね,ね,助詞 終助詞 * * * *,296,13
よ,よ,よ,助詞 終助詞 * * * *,293,13
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,271,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,260,13
こと,こと,こと,名詞 普通名詞 一般 * * *,245,13
の,の,の,助詞 準体助詞 * * * *,233,13
私,私,私,代名詞 * * * * *,200,13
真理,真理,真理,名詞 普通名詞 一般 * * *,196,13
それ,それ,其れ,代名詞 * * * * *,191,13
か,か,か,助詞 副助詞 * * * *,176,13
って,って,って,助詞 副助詞 * * * *,172,13
な,な,な,助詞 終助詞 * * * *,166,13
の,の,の,助詞 終助詞 * * * *,163,13
そう,そう,そう,副詞 * * * * *,162,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,156,13
この,この,此の,連体詞 * * * * *,154,13
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,144,13
さん,さん,さん,接尾辞 名詞的 一般 * * *,142,13
どう,どう,どう,副詞 * * * * *,136,13
うん,うん,うん,感動詞 一般 * * * *,131,13
えっ,えっ,えっ,感動詞 一般 * * * *,128,13
これ,これ,此れ,代名詞 * * * * *,126,13
何,何,何,代名詞 * * * * *,126,13
から,から,から,助詞 格助詞 * * * *,123,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,122,13
から,から,から,助詞 接続助詞 * * * *,117,13
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,117,13
その,その,其の,連体詞 * * * * *,105,13
旬,旬,旬,名詞 普通名詞 形状詞可能 * * *,100,13
ば,ば,ば,助詞 接続助詞 * * * *,98,13
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,93,13
お,お,御,接頭辞 * * * * *,89,13
あの,あの,彼の,連体詞 * * * * *,85,13
人,人,人,名詞 普通名詞 一般 * * *,82,13
なん,なん,何,代名詞 * * * * *,81,13
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,79,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,79,13
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,78,13
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,77,13
〜,〜,〜,補助記号 一般 * * * *,74,13
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,72,13
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,71,12
もう,もう,もう,副詞 * * * * *,70,13
本,本,本,名詞 普通名詞 一般 * * *,70,13
え,え,えっ,感動詞 一般 * * * *,69,11
が,が,が,助詞 接続助詞 * * * *,68,13
和,和,和,名詞 固有名詞 人名 姓 * *,67,13
花,花,花,名詞 固有名詞 人名 名 * *,67,13
風太,風太,風太,名詞 固有名詞 人名 名 * *,66,10
けど,けど,けれど,助詞 接続助詞 * * * *,65,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,64,13
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,64,13
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,62,13
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,62,13
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,61,13
博士,博士,博士,名詞 普通名詞 一般 * * *,61,11
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,60,13
わ,わ,わ,助詞 終助詞 * * * *,60,13
あなた,あなた,貴方,代名詞 * * * * *,58,12
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,58,12
ああ,ああ,ああ,感動詞 一般 * * * *,58,11
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,56,13
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,56,12
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,55,13
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,55,13
研究,研究,研究,名詞 普通名詞 サ変可能 * * *,55,13
あっ,あっ,あっ,感動詞 一般 * * * *,54,13
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,54,13
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,54,12
はい,はい,はい,感動詞 一般 * * * *,52,13
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,52,12
ここ,ここ,此処,代名詞 * * * * *,51,13
もの,もの,物,名詞 普通名詞 サ変可能 * * *,51,13
よう,よう,様,形状詞 助動詞語幹 * * * *,51,13
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,51,11
御影,御影,御影,名詞 固有名詞 地名 一般 * *,51,11
ママ,ママ,ママ,名詞 普通名詞 一般 * * *,51,10
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,50,13
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,50,13
和,和,和,名詞 普通名詞 一般 * * *,50,13
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,50,11
年,年,年,名詞 普通名詞 助数詞可能 * * *,48,13
早瀬,早瀬,早瀬,名詞 固有名詞 人名 姓 * *,48,13
電気,電気,電気,名詞 普通名詞 一般 * * *,48,10
だけ,だけ,だけ,助詞 副助詞 * * * *,47,13
あぁ,あぁ,ああ,感動詞 一般 * * * *,47,12
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,46,13
と,と,と,助詞 接続助詞 * * * *,46,12
永司,永司,永司,名詞 固有名詞 人名 名 * *,46,11
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,45,13
科学,科学,科学,名詞 普通名詞 サ変可能 * * *,45,9
ちょっと,ちょっと,一寸,副詞 * * * * *,44,13
キミ,キミ,君,代名詞 * * * * *,44,13
兄,兄,兄,名詞 普通名詞 一般 * * *,44,12
実験,実験,実験,名詞 普通名詞 サ変可能 * * *,44,8
あ,あ,あっ,感動詞 一般 * * * *,43,12
今,今,今,名詞 普通名詞 副詞可能 * * *,43,12
お兄ちゃん,お兄ちゃん,お兄ちゃん,名詞 普通名詞 一般 * * *,42,12
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,42,12
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,42,12
たち,たち,達,接尾辞 名詞的 一般 * * *,41,12
で,で,で,助詞 接続助詞 * * * *,41,12
発明,発明,発明,名詞 普通名詞 サ変形状詞可能 * * *,41,10
わかっ,わかる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,40,13
そんな,そんな,そんな,連体詞 * * * * *,39,13
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,39,12
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,39,11
よかっ,よい,良い,形容詞 非自立可能 * * 形容詞 連用形-促音便,38,11
･,・,・,補助記号 一般 * * * *,38,11
花,花,花,名詞 普通名詞 一般 * * *,38,10
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,37,13
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,37,13
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,37,12
俺,俺,俺,代名詞 * * * * *,37,11
様,様,様,接尾辞 名詞的 一般 * * *,37,11
なんて,なんて,なんて,助詞 副助詞 * * * *,36,13
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,36,11
いや,いや,否,感動詞 一般 * * * *,36,11
科学者,科学者,科学者,名詞 普通名詞 一般 * * *,36,10
磁石,磁石,磁石,名詞 普通名詞 一般 * * *,36,7
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,35,13
じゃあ,じゃあ,で,接続詞 * * * * *,35,11
ら,ら,等,接尾辞 名詞的 一般 * * *,35,11
前,前,前,名詞 普通名詞 副詞可能 * * *,35,11
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,34,13
へ,へ,へ,助詞 格助詞 * * * *,34,11
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,34,10
君,君,君,接尾辞 名詞的 一般 * * *,34,10
彼,彼,彼,代名詞 * * * * *,34,9
あ,あ,あー,感動詞 フィラー * * * *,33,12
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,32,13
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,32,11
とき,とき,時,名詞 普通名詞 副詞可能 * * *,31,12
お前,お前,御前,代名詞 * * * * *,31,11
なに,なに,何,代名詞 * * * * *,31,10
もし,もし,若し,副詞 * * * * *,31,10
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,30,13
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,30,12
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,30,11
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,30,11
先生,先生,先生,名詞 普通名詞 一般 * * *,30,8
どこ,どこ,どこ,代名詞 * * * * *,29,12
