Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2477,42
は,は,は,助詞 係助詞 * * * *,2073,42
に,に,に,助詞 格助詞 * * * *,1894,42
て,て,て,助詞 接続助詞 * * * *,1853,42
を,を,を,助詞 格助詞 * * * *,1761,42
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1383,42
が,が,が,助詞 格助詞 * * * *,1234,42
と,と,と,助詞 格助詞 * * * *,926,42
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,921,42
も,も,も,助詞 係助詞 * * * *,841,42
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,838,42
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,753,42
で,で,で,助詞 格助詞 * * * *,614,42
の,の,の,助詞 準体助詞 * * * *,592,42
か,か,か,助詞 終助詞 * * * *,541,42
マゾーン,マゾーン,マゾーン,名詞 普通名詞 一般 * * *,532,41
ん,ん,の,助詞 準体助詞 * * * *,485,42
ハーロック,ハーロック,ハーロック,名詞 固有名詞 人名 一般 * *,467,42
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,419,42
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,394,42
な,な,な,助詞 終助詞 * * * *,379,42
よ,よ,よ,助詞 終助詞 * * * *,373,42
キャプテン,キャプテン,キャプテン,名詞 普通名詞 一般 * * *,341,42
こと,こと,こと,名詞 普通名詞 一般 * * *,332,41
何,何,何,代名詞 * * * * *,327,42
号,号,号,名詞 普通名詞 助数詞可能 * * *,301,41
か,か,か,助詞 副助詞 * * * *,283,42
この,この,此の,連体詞 * * * * *,282,41
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,279,42
地球,地球,地球,名詞 普通名詞 一般 * * *,266,37
アルカディア,アルカディア,アルカディア,名詞 固有名詞 地名 一般 * *,258,39
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,252,42
ね,ね,ね,助詞 終助詞 * * * *,251,41
宇宙,宇宙,宇宙,名詞 普通名詞 一般 * * *,245,42
その,その,其の,連体詞 * * * * *,245,41
それ,それ,其れ,代名詞 * * * * *,240,42
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,238,42
そう,そう,そう,副詞 * * * * *,238,41
