Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1898,24
は,は,は,助詞 係助詞 * * * *,1751,24
リムル,リムル,リムル,名詞 固有名詞 人名 一般 * *,1674,23
て,て,て,助詞 接続助詞 * * * *,1578,24
に,に,に,助詞 格助詞 * * * *,1439,24
を,を,を,助詞 格助詞 * * * *,1374,24
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1245,24
が,が,が,助詞 格助詞 * * * *,1145,24
と,と,と,助詞 格助詞 * * * *,963,24
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,856,24
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,771,24
か,か,か,助詞 終助詞 * * * *,766,24
の,の,の,助詞 準体助詞 * * * *,716,24
も,も,も,助詞 係助詞 * * * *,699,24
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,674,24
で,で,で,助詞 格助詞 * * * *,631,24
な,な,な,助詞 終助詞 * * * *,619,24
よ,よ,よ,助詞 終助詞 * * * *,505,24
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,465,24
俺,俺,俺,代名詞 * * * * *,435,24
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,417,24
〜,〜,〜,補助記号 一般 * * * *,380,24
たち,たち,達,接尾辞 名詞的 一般 * * *,359,24
こと,こと,こと,名詞 普通名詞 一般 * * *,345,24
ん,ん,の,助詞 準体助詞 * * * *,337,24
か,か,か,助詞 副助詞 * * * *,272,24
って,って,って,助詞 副助詞 * * * *,261,24
シズ,シズ,シズ,名詞 固有名詞 人名 名 * *,261,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,259,24
様,様,様,接尾辞 名詞的 一般 * * *,253,22
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,247,24
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,246,24
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,242,24
この,この,此の,連体詞 * * * * *,238,24
それ,それ,其れ,代名詞 * * * * *,237,24
ガビル,ガビル,ガビル,名詞 普通名詞 一般 * * *,237,10
が,が,が,助詞 接続助詞 * * * *,227,24
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,220,24
何,何,何,代名詞 * * * * *,218,24
ね,ね,ね,助詞 終助詞 * * * *,216,24
あっ,あっ,あっ,感動詞 一般 * * * *,207,24
その,その,其の,連体詞 * * * * *,200,23
スライム,スライム,スライム,名詞 普通名詞 一般 * * *,199,21
から,から,から,助詞 接続助詞 * * * *,196,24
そう,そう,そう,副詞 * * * * *,190,24
お前,お前,御前,代名詞 * * * * *,186,24
お,お,御,接頭辞 * * * * *,185,24
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,175,24
さん,さん,さん,接尾辞 名詞的 一般 * * *,169,23
よう,よう,様,形状詞 助動詞語幹 * * * *,163,23
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,161,24
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,159,23
どう,どう,どう,副詞 * * * * *,157,24
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,154,24
者,者,者,接尾辞 名詞的 一般 * * *,154,24
オーク,オーク,オーク,名詞 普通名詞 一般 * * *,154,11
これ,これ,此れ,代名詞 * * * * *,153,23
から,から,から,助詞 格助詞 * * * *,152,23
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,151,24
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,150,24
魔王,魔王,魔王,名詞 普通名詞 一般 * * *,145,17
ああ,ああ,ああ,感動詞 一般 * * * *,144,23
大賢,大賢,大賢,名詞 普通名詞 一般 * * *,139,24
