Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,173,3
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,169,3
の,の,の,助詞 格助詞 * * * *,129,3
に,に,に,助詞 格助詞 * * * *,122,3
て,て,て,助詞 接続助詞 * * * *,97,3
が,が,が,助詞 格助詞 * * * *,90,3
を,を,を,助詞 格助詞 * * * *,83,3
も,も,も,助詞 係助詞 * * * *,80,3
よ,よ,よ,助詞 終助詞 * * * *,80,3
ん,ん,の,助詞 準体助詞 * * * *,70,3
か,か,か,助詞 終助詞 * * * *,69,3
な,な,な,助詞 終助詞 * * * *,67,3
慎也,慎也,慎也,名詞 固有名詞 人名 名 * *,66,1
で,で,で,助詞 格助詞 * * * *,63,3
あっ,あっ,あっ,感動詞 一般 * * * *,59,3
と,と,と,助詞 格助詞 * * * *,58,3
佐藤,佐藤,佐藤,名詞 固有名詞 人名 姓 * *,54,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,51,3
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,50,3
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,48,3
何,何,何,代名詞 * * * * *,48,3
の,の,の,助詞 準体助詞 * * * *,45,3
俺,俺,俺,代名詞 * * * * *,42,3
って,って,って,助詞 副助詞 * * * *,39,3
はあっ,はあっ,はあ,感動詞 一般 * * * *,38,3
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,36,3
亜人,亜人,亜人,名詞 固有名詞 人名 名 * *,36,3
ね,ね,ね,助詞 終助詞 * * * *,34,3
はあ,はあ,はあ,感動詞 一般 * * * *,31,3
隊員,隊員,隊員,名詞 普通名詞 一般 * * *,30,1
田中,田中,田中,名詞 固有名詞 人名 姓 * *,29,2
ああ,ああ,ああ,感動詞 一般 * * * *,28,3
か,か,か,助詞 副助詞 * * * *,27,3
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,27,3
民兵,民兵,民兵,名詞 普通名詞 一般 * * *,27,1
これ,これ,此れ,代名詞 * * * * *,26,3
