Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,8433,113
は,は,は,助詞 係助詞 * * * *,7252,113
を,を,を,助詞 格助詞 * * * *,5720,113
に,に,に,助詞 格助詞 * * * *,5184,113
て,て,て,助詞 接続助詞 * * * *,4596,113
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,4415,113
が,が,が,助詞 格助詞 * * * *,4207,113
〜,〜,〜,補助記号 一般 * * * *,3269,111
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,2929,113
と,と,と,助詞 格助詞 * * * *,2378,113
も,も,も,助詞 係助詞 * * * *,2245,113
俺,俺,俺,代名詞 * * * * *,1871,113
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1831,113
か,か,か,助詞 終助詞 * * * *,1677,113
で,で,で,助詞 格助詞 * * * *,1576,113
の,の,の,助詞 準体助詞 * * * *,1537,113
あっ,あっ,あっ,感動詞 一般 * * * *,1456,113
ああ,ああ,ああ,感動詞 一般 * * * *,1410,105
この,この,此の,連体詞 * * * * *,1405,113
お前,お前,御前,代名詞 * * * * *,1397,113
よ,よ,よ,助詞 終助詞 * * * *,1247,113
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1244,113
な,な,な,助詞 終助詞 * * * *,1153,113
ケンシロウ,ケンシロウ,ケンシロウ,名詞 固有名詞 人名 名 * *,1072,100
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,1028,113
うっ,うっ,うう,感動詞 一般 * * * *,1020,112
様,様,様,接尾辞 名詞的 一般 * * *,971,102
拳,拳,拳,名詞 普通名詞 一般 * * *,963,88
こと,こと,こと,名詞 普通名詞 一般 * * *,915,113
ん,ん,の,助詞 準体助詞 * * * *,915,106
その,その,其の,連体詞 * * * * *,843,111
北斗,北斗,北斗,名詞 普通名詞 一般 * * *,817,109
何,何,何,代名詞 * * * * *,776,108
男,男,男,名詞 普通名詞 一般 * * *,773,113
ああっ,ああっ,ああ,感動詞 一般 * * * *,767,105
ば,ば,ば,助詞 接続助詞 * * * *,690,108
ラオウ,ラオウ,ラオウ,名詞 固有名詞 人名 名 * *,673,60
たち,たち,達,接尾辞 名詞的 一般 * * *,665,107
か,か,か,助詞 副助詞 * * * *,647,111
うう,うう,うう,感動詞 一般 * * * *,634,104
うん,うん,うん,感動詞 一般 * * * *,632,110
ケン,ケン,ケン,名詞 固有名詞 人名 名 * *,609,98
どう,どう,どう,副詞 * * * * *,607,109
それ,それ,其れ,代名詞 * * * * *,601,111
お,お,御,接頭辞 * * * * *,585,107
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,583,112
これ,これ,此れ,代名詞 * * * * *,581,110
貴様,貴様,貴様,代名詞 * * * * *,563,104
南斗,南斗,南斗,名詞 普通名詞 一般 * * *,546,87
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,544,108
神拳,神拳,神拳,名詞 固有名詞 人名 名 * *,527,109
トキ,トキ,鴇,名詞 普通名詞 一般 * * *,526,48
はっ,はっ,はっ,感動詞 一般 * * * *,509,98
ぬ,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-一般,497,86
が,が,が,助詞 接続助詞 * * * *,488,109
ヤツ,ヤツ,奴,名詞 普通名詞 一般 * * *,483,97
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,478,111
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,473,104
ら,ら,等,接尾辞 名詞的 一般 * * *,473,87
ううっ,ううっ,うう,感動詞 一般 * * * *,466,97
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,461,109
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,460,88
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,442,107
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,442,104
私,私,私,代名詞 * * * * *,440,85
さん,さん,さん,接尾辞 名詞的 一般 * * *,435,87
ハハハハ,ハハハハ,はははは,感動詞 一般 * * * *,418,90
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,417,101
あ,あ,あー,感動詞 フィラー * * * *,416,105
あ〜,あ〜,ああ,感動詞 一般 * * * *,410,99
っ,っ,っ,補助記号 一般 * * * *,408,75
ユリア,ユリア,ユリア,名詞 普通名詞 一般 * * *,408,50
あの,あの,彼の,連体詞 * * * * *,405,103
はあ,はあ,はあ,感動詞 一般 * * * *,402,96
う,う,うー,感動詞 フィラー * * * *,402,95
今,今,今,名詞 普通名詞 副詞可能 * * *,400,101
そう,そう,そう,副詞 * * * * *,392,101
もう,もう,もう,副詞 * * * * *,384,102
わ,わ,わ,助詞 終助詞 * * * *,379,101
まで,まで,まで,助詞 副助詞 * * * *,377,104
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,372,104
だけ,だけ,だけ,助詞 副助詞 * * * *,368,102
王,王,王,名詞 普通名詞 一般 * * *,367,62
星,星,星,名詞 普通名詞 一般 * * *,366,85
あなた,あなた,貴方,代名詞 * * * * *,359,79
ため,ため,為,名詞 普通名詞 副詞可能 * * *,354,100
へ,へ,へ,助詞 格助詞 * * * *,352,104
から,から,から,助詞 格助詞 * * * *,351,101
ここ,ここ,此処,代名詞 * * * * *,350,100
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,346,83
拳,拳,拳,接尾辞 名詞的 一般 * * *,343,88
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,337,84
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,326,101
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,318,96
フフフフ,フフフフ,フフフフ,名詞 普通名詞 一般 * * *,317,87
ぬ,ぬ,ず,助動詞 * * * 助動詞-ヌ 連体形-一般,317,82
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,315,102
あ,あ,あっ,感動詞 一般 * * * *,312,87
あぁ,あぁ,ああ,感動詞 一般 * * * *,312,32
で,で,で,助詞 接続助詞 * * * *,307,102
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,297,95
死,死,死,名詞 普通名詞 一般 * * *,296,93
村,村,村,名詞 普通名詞 一般 * * *,296,63
んっ,んっ,んっ,感動詞 一般 * * * *,292,71
命,命,命,名詞 普通名詞 一般 * * *,290,91
そして,そして,そして,接続詞 * * * * *,289,90
シュウ,シュウ,シュウ,名詞 固有名詞 人名 名 * *,288,19
よう,よう,様,形状詞 助動詞語幹 * * * *,286,87
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,276,93
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,263,89
なぜ,なぜ,何故,副詞 * * * * *,263,84
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,262,88
うわっ,うわっ,うわ,感動詞 一般 * * * *,262,77
レイ,レイ,レイ,名詞 普通名詞 一般 * * *,260,34
おお,おお,おお,感動詞 一般 * * * *,259,101
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,251,97
星,星,星,接尾辞 名詞的 一般 * * *,251,64
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,250,73
なに,なに,何,代名詞 * * * * *,246,92
おい,おい,おい,感動詞 一般 * * * *,245,78
人,人,人,名詞 普通名詞 一般 * * *,244,78
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,242,93
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,240,96
一,一,1,名詞 数詞 * * * *,236,104
誰,誰,誰,代名詞 * * * * *,235,92
うわ〜,うわ〜,うわ,感動詞 一般 * * * *,235,74
もの,もの,物,名詞 普通名詞 サ変可能 * * *,234,83
あ〜っ,あ〜っ,ああ,感動詞 一般 * * * *,233,49
女,女,女,名詞 普通名詞 一般 * * *,230,63
年,年,年,名詞 普通名詞 助数詞可能 * * *,229,113
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,229,77
ふっ,ふっ,ふっ,副詞 * * * * *,229,74
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,224,88
七,七,7,名詞 数詞 * * * *,224,80
うぅ,うぅ,うう,感動詞 一般 * * * *,222,30
って,って,って,助詞 副助詞 * * * *,220,77
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,219,91
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,219,70
はぁ,はぁ,はあ,感動詞 一般 * * * *,218,44
おっ,おっ,おっ,感動詞 一般 * * * *,217,93
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,216,75
なん,なん,何,代名詞 * * * * *,215,84
時,時,時,名詞 普通名詞 副詞可能 * * *,215,80
宿命,宿命,宿命,名詞 普通名詞 一般 * * *,214,65
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,213,92
傷,傷,傷,名詞 普通名詞 一般 * * *,210,63
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,209,84
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,208,86
者,者,者,名詞 普通名詞 一般 * * *,208,77
最後,最後,最後,名詞 普通名詞 一般 * * *,206,64
手,手,手,名詞 普通名詞 助数詞可能 * * *,205,87
生き,生きる,生きる,動詞 一般 * * 上一段-カ行 連用形-一般,203,84
サウザー,サウザー,サウザー,名詞 固有名詞 人名 一般 * *,202,21
名,名,名,名詞 普通名詞 一般 * * *,198,79
者,者,者,接尾辞 名詞的 一般 * * *,198,55
より,より,より,助詞 格助詞 * * * *,197,80
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,196,89
えっ,えっ,えっ,感動詞 一般 * * * *,196,85
助け,助ける,助ける,動詞 一般 * * 下一段-カ行 連用形-一般,196,76
ユリア,ユリア,ユリヤ,名詞 固有名詞 人名 一般 * *,196,33
リン,リン,燐,名詞 普通名詞 一般 * * *,195,56
力,力,力,名詞 普通名詞 一般 * * *,194,78
うおっ,うおっ,うお,感動詞 一般 * * * *,193,78
どこ,どこ,どこ,代名詞 * * * * *,190,88
心,心,心,名詞 普通名詞 サ変可能 * * *,190,73
血,血,血,名詞 普通名詞 一般 * * *,188,76
ね,ね,ね,助詞 終助詞 * * * *,188,74
我が,我が,我が,連体詞 * * * * *,188,59
王様,王様,王様,名詞 普通名詞 一般 * * *,187,40
まだ,まだ,未だ,副詞 * * * * *,184,76
マミヤ,マミヤ,マミヤ,名詞 固有名詞 一般 * * *,184,31
体,体,体,名詞 普通名詞 一般 * * *,182,76
将,将,将,名詞 普通名詞 一般 * * *,182,25
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,181,85
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,181,78
目,目,目,名詞 普通名詞 一般 * * *,180,75
野郎,野郎,野郎,名詞 普通名詞 一般 * * *,180,70
バカ,バカ,ばか,名詞 普通名詞 形状詞可能 * * *,178,81
うお,うお,うお,名詞 固有名詞 人名 一般 * *,178,73
から,から,から,助詞 接続助詞 * * * *,178,69
さあ,さあ,さあ,感動詞 一般 * * * *,177,71
気,気,気,名詞 普通名詞 一般 * * *,172,71
早く,早い,早い,形容詞 一般 * * 形容詞 連用形-一般,172,70
そんな,そんな,そんな,連体詞 * * * * *,171,79
い,い,い,助詞 終助詞 * * * *,170,70
秘孔,秘孔,秘孔,名詞 普通名詞 一般 * * *,169,70
天,天,天,名詞 普通名詞 一般 * * *,169,50
二千,二千,2000,名詞 数詞 * * * *,167,86
兄さん,兄さん,兄さん,名詞 普通名詞 一般 * * *,167,39
うわあ,うわあ,うわ,感動詞 一般 * * * *,165,58
くっ,くっ,くっ,感動詞 一般 * * * *,164,68
フドウ,フドウ,不動,名詞 普通名詞 一般 * * *,162,17
死ん,死ぬ,死ぬ,動詞 一般 * * 五段-ナ行 連用形-撥音便,161,75
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,161,71
こんな,こんな,こんな,連体詞 * * * * *,160,78
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,160,76
なら,なる,成る,動詞 非自立可能 * * 五段-ラ行 未然形-一般,160,74
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,159,79
でき,できる,出来る,動詞 非自立可能 * * 上一段-カ行 未然形-一般,159,74
フフフ,フフフ,ふふふ,感動詞 一般 * * * *,159,68
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,158,76
戦い,戦い,戦い,名詞 普通名詞 一般 * * *,156,70
聖帝,聖帝,聖帝,名詞 普通名詞 一般 * * *,155,17
歴史,歴史,歴史,名詞 普通名詞 一般 * * *,154,89
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,153,80
など,など,など,助詞 副助詞 * * * *,153,64
恐怖,恐怖,恐怖,名詞 普通名詞 サ変可能 * * *,153,51
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,152,77
ジュウザ,ジュウザ,ジュウザ,名詞 普通名詞 一般 * * *,151,11
ユダ,ユダ,ユダ,名詞 固有名詞 人名 一般 * *,149,15
フッ,フッ,ふっ,副詞 * * * * *,148,63
ふん,ふん,ふん,感動詞 一般 * * * *,148,62
たたた,たたた,たたた,副詞 * * * * *,145,64
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,145,63
う,う,うう,感動詞 一般 * * * *,144,69
あたっ,あたる,当たる,動詞 一般 * * 五段-ラ行 連用形-促音便,144,46
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,142,72
ヘヘヘヘ,ヘヘヘヘ,ヘヘヘヘ,名詞 普通名詞 一般 * * *,142,57
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,141,69
はい,はい,はい,感動詞 一般 * * * *,141,57
しかし,しかし,然し,接続詞 * * * * *,140,74
ぐっ,ぐっ,ぐっ,副詞 * * * * *,140,64
伝承,伝承,伝承,名詞 普通名詞 サ変可能 * * *,139,36
一人,一人,一人,名詞 普通名詞 副詞可能 * * *,135,77
町,町,町,名詞 普通名詞 一般 * * *,135,43
や,や,や,助詞 副助詞 * * * *,134,72
水,水,水,名詞 普通名詞 一般 * * *,134,36
中,中,中,名詞 普通名詞 副詞可能 * * *,131,61
前,前,前,名詞 普通名詞 副詞可能 * * *,129,70
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,129,54
はあっ,はあっ,はあ,感動詞 一般 * * * *,128,56
あんた,あんた,貴方,代名詞 * * * * *,128,40
時代,時代,時代,名詞 普通名詞 一般 * * *,127,55
バット,バット,バット,名詞 普通名詞 一般 * * *,126,59
はず,はず,筈,名詞 普通名詞 一般 * * *,125,72
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,125,66
こそ,こそ,こそ,助詞 係助詞 * * * *,125,59
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,125,50
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,124,62
ケ,ケ,け,名詞 普通名詞 一般 * * *,124,58
よ〜,よ〜,よ,助詞 終助詞 * * * *,124,51
おら,おら,おら,感動詞 一般 * * * *,123,51
愛,愛,愛,名詞 普通名詞 一般 * * *,123,39
べき,べし,べし,助動詞 * * * 文語助動詞-ベシ 連体形-一般,122,72
わし,わし,わし,代名詞 * * * * *,122,48
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,120,57
の,の,の,助詞 終助詞 * * * *,120,57
ん,む,む,助動詞 * * * 文語助動詞-ム 終止形-撥音便,120,56
こいつ,こいつ,此奴,代名詞 * * * * *,120,52
れる,れる,れる,助動詞 * * * 助動詞-レル 終止形-一般,119,65
ね,ぬ,ず,助動詞 * * * 助動詞-ヌ 仮定形-一般,117,55
てめえ,てめえ,てまえ,代名詞 * * * * *,117,50
我,我,我,代名詞 * * * * *,117,38
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,115,67
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,114,66
おおっ,おおっ,おお,感動詞 一般 * * * *,114,57
あた,あた,あた,副詞 * * * * *,114,47
ござい,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,114,47
あたし,あたし,私,代名詞 * * * * *,114,46
下,下,下,名詞 普通名詞 一般 * * *,113,73
よく,よく,良く,副詞 * * * * *,113,67
さ,さ,さ,接尾辞 名詞的 一般 * * *,113,61
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,113,56
自分,自分,自分,名詞 普通名詞 一般 * * *,112,61
ハハハ,ハハハ,ははは,感動詞 一般 * * * *,112,58
アイリ,アイリ,アイリ,名詞 固有名詞 人名 名 * *,112,19
