Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2882,40
は,は,は,助詞 係助詞 * * * *,2403,40
て,て,て,助詞 接続助詞 * * * *,2245,40
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2178,40
に,に,に,助詞 格助詞 * * * *,2145,40
〜,〜,〜,補助記号 一般 * * * *,1736,40
が,が,が,助詞 格助詞 * * * *,1658,40
を,を,を,助詞 格助詞 * * * *,1527,40
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1382,40
よ,よ,よ,助詞 終助詞 * * * *,1372,40
ん,ん,の,助詞 準体助詞 * * * *,1344,40
で,で,で,助詞 格助詞 * * * *,1307,40
も,も,も,助詞 係助詞 * * * *,1277,40
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1100,40
か,か,か,助詞 終助詞 * * * *,1078,40
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,1045,40
と,と,と,助詞 格助詞 * * * *,1038,40
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1005,40
ね,ね,ね,助詞 終助詞 * * * *,781,40
な,な,な,助詞 終助詞 * * * *,683,40
あ,あ,あっ,感動詞 一般 * * * *,683,39
って,って,って,助詞 副助詞 * * * *,643,40
くん,くん,君,接尾辞 名詞的 一般 * * *,592,39
の,の,の,助詞 準体助詞 * * * *,573,40
たち,たち,達,接尾辞 名詞的 一般 * * *,568,40
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,537,40
声,声,声,名詞 普通名詞 一般 * * *,534,40
から,から,から,助詞 接続助詞 * * * *,481,40
ぼく,ぼく,僕,代名詞 * * * * *,479,39
心,心,心,名詞 普通名詞 サ変可能 * * *,467,39
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,465,39
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,455,40
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,433,40
そう,そう,そう,副詞 * * * * *,425,40
こと,こと,こと,名詞 普通名詞 一般 * * *,411,36
うん,うん,うん,感動詞 一般 * * * *,407,40
か,か,か,助詞 副助詞 * * * *,401,40
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,393,40
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,370,40
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,363,40
玲華,玲華,玲華,名詞 固有名詞 人名 名 * *,361,38
けど,けど,けれど,助詞 接続助詞 * * * *,360,40
コーチ,コーチ,コーチ,名詞 普通名詞 サ変可能 * * *,358,40
それ,それ,其れ,代名詞 * * * * *,357,40
サッカー,サッカー,サッカー,名詞 普通名詞 一般 * * *,341,37
チーム,チーム,チーム,名詞 普通名詞 一般 * * *,329,39
虎太,虎太,虎太,名詞 固有名詞 人名 名 * *,323,37
ら,ら,等,接尾辞 名詞的 一般 * * *,322,40
なん,なん,何,代名詞 * * * * *,315,40
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,308,40
どう,どう,どう,副詞 * * * * *,306,40
お前,お前,御前,代名詞 * * * * *,291,38
あっ,あっ,あっ,感動詞 一般 * * * *,288,39
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,287,40
何,何,何,代名詞 * * * * *,285,39
オレ,オレ,俺,代名詞 * * * * *,284,36
や,や,や,助動詞 * * * 助動詞-ヤ 終止形-一般,280,39
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,276,39
さん,さん,さん,接尾辞 名詞的 一般 * * *,270,39
この,この,此の,連体詞 * * * * *,268,40
ホイッスル,ホイッスル,ホイッスル,名詞 普通名詞 一般 * * *,265,37
から,から,から,助詞 格助詞 * * * *,263,40
花島,花島,花島,名詞 固有名詞 人名 姓 * *,259,38
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,258,39
お,お,御,接頭辞 * * * * *,255,40
ハァ,ハァ,はあ,感動詞 一般 * * * *,255,26
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,254,39
試合,試合,試合,名詞 普通名詞 サ変可能 * * *,252,39
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,250,40
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,242,40
これ,これ,此れ,代名詞 * * * * *,235,40
もう,もう,もう,副詞 * * * * *,234,39
凰壮,凰壮,凰壮,名詞 固有名詞 人名 名 * *,232,38
ば,ば,ば,助詞 接続助詞 * * * *,226,40
の,の,の,助詞 終助詞 * * * *,225,37
はい,はい,はい,感動詞 一般 * * * *,212,40
だけ,だけ,だけ,助詞 副助詞 * * * *,210,39
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,208,39
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,207,40
あの,あの,彼の,連体詞 * * * * *,204,40
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,203,38
選手,選手,選手,名詞 普通名詞 一般 * * *,200,39
ああ,ああ,ああ,感動詞 一般 * * * *,193,39
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,191,40
翔,翔,翔,名詞 固有名詞 人名 名 * *,189,40
が,が,が,助詞 接続助詞 * * * *,186,37
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,185,39
え,え,えっ,感動詞 一般 * * * *,185,36
し,し,し,助詞 接続助詞 * * * *,183,40
青砥,青砥,青砥,名詞 固有名詞 地名 一般 * *,183,26
人,人,人,接尾辞 名詞的 一般 * * *,180,36
竜,竜,竜,名詞 普通名詞 一般 * * *,172,38
ボール,ボール,ボール,名詞 普通名詞 一般 * * *,170,38
持,持,持ち,接尾辞 名詞的 一般 * * *,170,37
プレデター,プレデター,プレデター,名詞 固有名詞 一般 * * *,168,38
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,164,40
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,162,40
フッ,フッ,ふっ,副詞 * * * * *,162,36
わ,わ,わ,助詞 終助詞 * * * *,161,36
練習,練習,練習,名詞 普通名詞 サ変可能 * * *,160,33
今,今,今,名詞 普通名詞 副詞可能 * * *,159,39
点,点,点,名詞 普通名詞 助数詞可能 * * *,159,32
や,や,や,助詞 副助詞 * * * *,156,36
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,155,40
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,155,39
よう,よう,様,形状詞 助動詞語幹 * * * *,154,36
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,153,38
子,子,子,名詞 普通名詞 一般 * * *,152,36
その,その,其の,連体詞 * * * * *,149,38
エリカ,エリカ,エリカ,名詞 固有名詞 人名 一般 * *,148,33
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,147,38
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,146,38
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,144,40
まで,まで,まで,助詞 副助詞 * * * *,144,39
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,144,38
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,142,36
ちょっと,ちょっと,一寸,副詞 * * * * *,139,37
あ,あ,あー,感動詞 フィラー * * * *,135,35
相手,相手,相手,名詞 普通名詞 一般 * * *,134,31
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,131,39
ゴール,ゴール,ゴール,名詞 普通名詞 サ変可能 * * *,130,34
ピ,ピ,ピ,名詞 普通名詞 一般 * * *,130,32
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,128,35
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,128,33
なぁ,なぁ,な,助詞 終助詞 * * * *,128,33
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,126,35
ここ,ここ,此処,代名詞 * * * * *,125,35
ピッ,ピッ,ぴっ,副詞 * * * * *,122,25
だいじょうぶ,だいじょうぶ,大丈夫,形状詞 一般 * * * *,120,34
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,119,35
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,117,38
自分,自分,自分,名詞 普通名詞 一般 * * *,117,36
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,117,34
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,116,36
で,で,で,助詞 接続助詞 * * * *,114,39
ピピ,ピピ,ピピ,名詞 固有名詞 地名 一般 * *,114,24
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,111,34
きょう,きょう,今日,名詞 普通名詞 副詞可能 * * *,109,31
そんな,そんな,そんな,連体詞 * * * * *,108,36
前,前,前,名詞 普通名詞 副詞可能 * * *,107,36
わかっ,わかる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,107,35
なんて,なんて,なんて,助詞 副助詞 * * * *,107,34
わたし,わたし,私,代名詞 * * * * *,107,29
プレー,プレー,プレー,名詞 普通名詞 サ変可能 * * *,106,33
た〜,た,た,助動詞 * * * 助動詞-タ 終止形-一般,105,32
えっ,えっ,えっ,感動詞 一般 * * * *,104,38
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,103,33
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,102,31
一,一,1,名詞 数詞 * * * *,101,32
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,98,39
キャプテン,キャプテン,キャプテン,名詞 普通名詞 一般 * * *,98,28
っ,っ,っ,補助記号 一般 * * * *,96,33
三,三,3,名詞 数詞 * * * *,96,27
絶対,絶対,絶対,名詞 普通名詞 副詞可能 * * *,95,33
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,94,34
パス,パス,パス,名詞 普通名詞 サ変可能 * * *,93,31
いや,いや,否,感動詞 一般 * * * *,92,34
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,92,34
音,音,音,名詞 普通名詞 一般 * * *,92,28
と,と,と,助詞 接続助詞 * * * *,91,35
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,91,34
時,時,時,名詞 普通名詞 副詞可能 * * *,91,34
また,また,又,接続詞 * * * * *,89,31
さ,さ,さ,助詞 終助詞 * * * *,89,29
