Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,4099,76
〜,〜,〜,補助記号 一般 * * * *,3084,76
て,て,て,助詞 接続助詞 * * * *,3063,76
は,は,は,助詞 係助詞 * * * *,2723,76
に,に,に,助詞 格助詞 * * * *,2584,76
が,が,が,助詞 格助詞 * * * *,2157,76
の,の,の,助詞 格助詞 * * * *,1991,76
ん,ん,の,助詞 準体助詞 * * * *,1971,76
よ,よ,よ,助詞 終助詞 * * * *,1872,76
を,を,を,助詞 格助詞 * * * *,1839,76
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1765,76
ゴン,ゴン,ごん,副詞 * * * * *,1506,50
か,か,か,助詞 終助詞 * * * *,1495,76
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1411,76
な,な,な,助詞 終助詞 * * * *,1402,76
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1273,76
も,も,も,助詞 係助詞 * * * *,1237,76
で,で,で,助詞 格助詞 * * * *,1201,76
の,の,の,助詞 準体助詞 * * * *,1113,76
と,と,と,助詞 格助詞 * * * *,984,76
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,964,76
何,何,何,代名詞 * * * * *,892,76
ン,ン,ヌ,助動詞 * * * 助動詞-ヌ 終止形-撥音便,769,76
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,736,76
ね,ね,ね,助詞 終助詞 * * * *,726,73
俺,俺,俺,代名詞 * * * * *,717,74
ゴン,ゴン,ごん,名詞 固有名詞 一般 * * *,714,50
こと,こと,こと,名詞 普通名詞 一般 * * *,711,76
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,683,76
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,652,76
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,590,76
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,588,76
どう,どう,どう,副詞 * * * * *,587,76
もう,もう,もう,副詞 * * * * *,580,76
から,から,から,助詞 接続助詞 * * * *,570,76
そう,そう,そう,副詞 * * * * *,567,75
って,って,って,助詞 副助詞 * * * *,557,75
ゴ,ゴ,ご,名詞 普通名詞 一般 * * *,543,49
様,様,様,接尾辞 名詞的 一般 * * *,529,64
お前,お前,御前,代名詞 * * * * *,520,74
あ〜,あ〜,ああ,感動詞 一般 * * * *,494,75
あっ,あっ,あっ,感動詞 一般 * * * *,488,74
それ,それ,其れ,代名詞 * * * * *,469,76
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,460,75
っ,っ,っ,補助記号 一般 * * * *,457,67
これ,これ,此れ,代名詞 * * * * *,454,72
か,か,か,助詞 副助詞 * * * *,440,76
なん,なん,何,代名詞 * * * * *,439,76
たち,たち,達,接尾辞 名詞的 一般 * * *,431,69
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,420,73
あぁ,あぁ,ああ,感動詞 一般 * * * *,416,66
この,この,此の,連体詞 * * * * *,412,73
うん,うん,うん,感動詞 一般 * * * *,411,73
うわ〜,うわ〜,うわ,感動詞 一般 * * * *,407,68
ちょっと,ちょっと,一寸,副詞 * * * * *,397,76
の,の,の,助詞 終助詞 * * * *,396,72
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,383,75
ウッス,ウッス,ウッス,名詞 普通名詞 一般 * * *,379,58
ち,ち,ち,名詞 普通名詞 一般 * * *,367,50
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,365,54
ははは,ははは,ははは,感動詞 一般 * * * *,361,42
おい,おい,おい,感動詞 一般 * * * *,356,73
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,346,73
ん,ん,んっ,感動詞 一般 * * * *,325,72
うぅ,うぅ,うう,感動詞 一般 * * * *,316,61
私,私,私,代名詞 * * * * *,315,61
僕,僕,僕,代名詞 * * * * *,314,58
ゴーン,ゴーン,ごーん,副詞 * * * * *,314,46
だっち,だっち,ダッチ,名詞 普通名詞 一般 * * *,310,46
ここ,ここ,此処,代名詞 * * * * *,307,69
う,う,うー,感動詞 フィラー * * * *,304,73
わ,わ,わ,助詞 終助詞 * * * *,299,56
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,287,68
どこ,どこ,どこ,代名詞 * * * * *,286,71
ば,ば,ば,助詞 接続助詞 * * * *,277,72
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,272,71
本当,本当,本当,名詞 普通名詞 一般 * * *,268,68
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,261,66
わかっ,わかる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,253,69
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,252,71
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,251,71
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,249,67
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,248,66
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,247,70
ら,ら,等,接尾辞 名詞的 一般 * * *,247,67
奴,奴,奴,名詞 普通名詞 一般 * * *,245,48
あいつ,あいつ,彼奴,代名詞 * * * * *,244,70
お,お,御,接頭辞 * * * * *,243,67
あ,あ,あっ,感動詞 一般 * * * *,241,69
から,から,から,助詞 格助詞 * * * *,235,73
あの,あの,彼の,連体詞 * * * * *,234,70
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,229,71
うっ,うっ,うう,感動詞 一般 * * * *,229,65
ち,ち,ちっ,副詞 * * * * *,229,44
あはは,あはは,あはは,感動詞 一般 * * * *,227,43
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,225,72
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,216,64
うわぁ,うわぁ,うわ,感動詞 一般 * * * *,215,58
で,で,で,助詞 接続助詞 * * * *,214,70
う,う,うう,感動詞 一般 * * * *,210,64
ああ,ああ,ああ,感動詞 一般 * * * *,207,60
はい,はい,はい,感動詞 一般 * * * *,207,57
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,205,73
だけ,だけ,だけ,助詞 副助詞 * * * *,204,64
こんな,こんな,こんな,連体詞 * * * * *,202,64
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,196,60
えっ,えっ,えっ,感動詞 一般 * * * *,195,69
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,195,65
まで,まで,まで,助詞 副助詞 * * * *,194,71
そんな,そんな,そんな,連体詞 * * * * *,192,63
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,191,68
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,189,66
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,189,66
また,また,又,接続詞 * * * * *,188,61
はぁ,はぁ,はあ,感動詞 一般 * * * *,188,53
う〜ん,う〜ん,ううん,感動詞 一般 * * * *,185,64
今,今,今,名詞 普通名詞 副詞可能 * * *,184,69
え,え,えっ,感動詞 一般 * * * *,184,62
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,182,65
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,179,67
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,178,64
よう,よう,様,形状詞 助動詞語幹 * * * *,176,64
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,175,62
その,その,其の,連体詞 * * * * *,174,65
行く,行く,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,173,65
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,169,63
