Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,1050,19
の,の,の,助詞 格助詞 * * * *,988,19
て,て,て,助詞 接続助詞 * * * *,894,19
に,に,に,助詞 格助詞 * * * *,881,19
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,832,19
を,を,を,助詞 格助詞 * * * *,804,19
が,が,が,助詞 格助詞 * * * *,766,19
も,も,も,助詞 係助詞 * * * *,563,19
リヒトー,リヒトー,リヒトー,名詞 普通名詞 一般 * * *,523,19
陽菜,陽菜,陽菜,名詞 固有名詞 人名 名 * *,483,19
で,で,で,助詞 格助詞 * * * *,441,19
と,と,と,助詞 格助詞 * * * *,435,19
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,404,19
か,か,か,助詞 終助詞 * * * *,393,19
リィン,リィン,リィン,名詞 普通名詞 一般 * * *,390,15
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,389,19
よ,よ,よ,助詞 終助詞 * * * *,359,19
ん,ん,の,助詞 準体助詞 * * * *,347,19
あっ,あっ,あっ,感動詞 一般 * * * *,332,19
ジェイル,ジェイル,ジェール,名詞 固有名詞 人名 一般 * *,318,17
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,316,19
の,の,の,助詞 準体助詞 * * * *,311,19
〜,〜,〜,補助記号 一般 * * * *,290,19
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,274,19
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,260,19
ね,ね,ね,助詞 終助詞 * * * *,235,19
さん,さん,さん,接尾辞 名詞的 一般 * * *,233,19
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,225,19
な,な,な,助詞 終助詞 * * * *,217,19
こと,こと,こと,名詞 普通名詞 一般 * * *,215,19
あ,あ,あっ,感動詞 一般 * * * *,214,19
私,私,私,代名詞 * * * * *,209,19
って,って,って,助詞 副助詞 * * * *,206,19
離人,離人,離人,名詞 普通名詞 一般 * * *,198,10
ナナ,ナナ,ナナ,名詞 固有名詞 人名 名 * *,195,15
たち,たち,達,接尾辞 名詞的 一般 * * *,181,19
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,176,19
から,から,から,助詞 接続助詞 * * * *,170,19
ああ,ああ,ああ,感動詞 一般 * * * *,166,19
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,165,19
うっ,うっ,うう,感動詞 一般 * * * *,162,19
この,この,此の,連体詞 * * * * *,160,18
それ,それ,其れ,代名詞 * * * * *,151,19
ペレ,ペレ,ペレ,名詞 固有名詞 人名 一般 * *,146,15
なん,なん,何,代名詞 * * * * *,143,18
か,か,か,助詞 副助詞 * * * *,134,19
これ,これ,此れ,代名詞 * * * * *,131,19
どう,どう,どう,副詞 * * * * *,131,19
僕,僕,僕,代名詞 * * * * *,131,19
そう,そう,そう,副詞 * * * * *,129,19
ば,ば,ば,助詞 接続助詞 * * * *,126,19
何,何,何,代名詞 * * * * *,125,19
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,119,19
んっ,んっ,んっ,感動詞 一般 * * * *,117,18
リヒトー,リヒトー,リヒトー,名詞 固有名詞 人名 一般 * *,117,15
っす,っす,っす,助動詞 * * * 助動詞-デス 終止形-一般,115,14
俺,俺,俺,代名詞 * * * * *,113,15
から,から,から,助詞 格助詞 * * * *,109,18
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,108,18
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,106,17
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,105,17
あの,あの,彼の,連体詞 * * * * *,104,19
ハァ,ハァ,はあ,感動詞 一般 * * * *,102,15
その,その,其の,連体詞 * * * * *,101,19
もう,もう,もう,副詞 * * * * *,99,18
撃墜,撃墜,撃墜,名詞 普通名詞 サ変可能 * * *,96,16
王,王,王,名詞 普通名詞 一般 * * *,95,16
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,94,19
ん,ん,ん,助詞 格助詞 * * * *,92,19
時風,時風,時風,名詞 普通名詞 一般 * * *,92,7
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,89,19
人,人,人,名詞 普通名詞 一般 * * *,88,18
だけ,だけ,だけ,助詞 副助詞 * * * *,87,18
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,87,16
の,の,の,助詞 終助詞 * * * *,86,19
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,86,18
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,84,19
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,81,19
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,81,18
お前,お前,御前,代名詞 * * * * *,79,16
アラン,アラン,アラン,名詞 固有名詞 人名 一般 * *,79,7
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,76,19
お,お,御,接頭辞 * * * * *,76,17
が,が,が,助詞 接続助詞 * * * *,75,17
貴様,貴様,貴様,代名詞 * * * * *,75,13
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,73,14
中尉,中尉,中尉,名詞 普通名詞 一般 * * *,73,13
･,・,・,補助記号 一般 * * * *,72,17
カウント,カウント,カウント,名詞 普通名詞 サ変可能 * * *,72,15
園原,園原,園原,名詞 固有名詞 地名 一般 * *,71,10
殺さ,殺す,殺す,動詞 一般 * * 五段-サ行 未然形-一般,70,9
星,星,星,名詞 普通名詞 一般 * * *,70,7
ん,ん,んっ,感動詞 一般 * * * *,68,18
うう,うう,うう,感動詞 一般 * * * *,67,18
ら,ら,等,接尾辞 名詞的 一般 * * *,65,15
一ノ瀬,一ノ瀬,一ノ瀬,名詞 固有名詞 人名 姓 * *,65,7
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,64,19
シュメルマン,シュメルマン,シュメルマン,名詞 普通名詞 一般 * * *,63,8
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,62,19
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,62,18
はい,はい,はい,感動詞 一般 * * * *,62,16
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,62,16
けど,けど,けれど,助詞 接続助詞 * * * *,61,19
戦争,戦争,戦争,名詞 普通名詞 サ変可能 * * *,61,15
なんて,なんて,なんて,助詞 副助詞 * * * *,60,16
プリン,プリン,プリン,名詞 普通名詞 一般 * * *,60,13
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,59,18
ヤツ,ヤツ,奴,名詞 普通名詞 一般 * * *,59,17
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,57,18
えっ,えっ,えっ,感動詞 一般 * * * *,56,18
で,で,で,助詞 接続助詞 * * * *,56,16
君,君,君,代名詞 * * * * *,56,15
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,55,19
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,55,17
ダビ,ダビ,荼毘,名詞 普通名詞 一般 * * *,55,5
生徒,生徒,生徒,名詞 普通名詞 一般 * * *,54,7
道安,道安,道安,名詞 固有名詞 人名 名 * *,54,6
よう,よう,様,形状詞 助動詞語幹 * * * *,53,15
ちょっと,ちょっと,一寸,副詞 * * * * *,52,17
年,年,年,名詞 普通名詞 助数詞可能 * * *,52,13
子供,子供,子供,名詞 普通名詞 一般 * * *,52,12
どこ,どこ,どこ,代名詞 * * * * *,51,18
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,51,18
軍人,軍人,軍人,名詞 普通名詞 一般 * * *,51,14
す,す,っす,助動詞 * * * 助動詞-デス 終止形-一般,50,16
あなた,あなた,貴方,代名詞 * * * * *,50,15
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,49,17
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,49,17
今,今,今,名詞 普通名詞 副詞可能 * * *,49,17
まで,まで,まで,助詞 副助詞 * * * *,49,15
フィレンダ,フィレンダ,フィレンダ,名詞 普通名詞 一般 * * *,49,7
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,48,17
くっ,くっ,くっ,感動詞 一般 * * * *,47,15
え,え,え,助詞 終助詞 * * * *,46,16
そんな,そんな,そんな,連体詞 * * * * *,46,16
音,音,音,名詞 普通名詞 一般 * * *,45,18
誰,誰,誰,代名詞 * * * * *,45,17
こんな,こんな,こんな,連体詞 * * * * *,45,16
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,45,15
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,44,18
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,44,16
気,気,気,名詞 普通名詞 一般 * * *,44,15
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,43,17
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,43,15
ため,ため,為,名詞 普通名詞 副詞可能 * * *,43,12
ここ,ここ,此処,代名詞 * * * * *,42,14
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,42,14
バロット,バロット,バロット,名詞 普通名詞 一般 * * *,42,12
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,41,18
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,40,17
じゃ,じゃ,で,助詞 格助詞 * * * *,40,15
い,い,い,助詞 終助詞 * * * *,40,14
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,40,13
アルシア,アルシア,アルシア,名詞 固有名詞 人名 一般 * *,40,12
もの,もの,物,名詞 普通名詞 サ変可能 * * *,39,15
敵,敵,敵,名詞 普通名詞 一般 * * *,39,8
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,38,16
前,前,前,名詞 普通名詞 副詞可能 * * *,38,15
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,38,14
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,38,14
女性,女性,女性,名詞 普通名詞 一般 * * *,38,7
軍隊,軍隊,軍隊,名詞 普通名詞 一般 * * *,38,7
客,客,客,名詞 普通名詞 一般 * * *,38,4
自分,自分,自分,名詞 普通名詞 一般 * * *,37,15
あんた,あんた,貴方,代名詞 * * * * *,37,14
なっ,なっ,なあ,感動詞 一般 * * * *,37,14
わ,わ,わ,助詞 終助詞 * * * *,37,11
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,36,18
なく,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-一般,36,17
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,36,16
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,36,16
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,36,16
男性,男性,男性,名詞 普通名詞 一般 * * *,36,6
まま,まま,侭,名詞 普通名詞 副詞可能 * * *,35,13
はず,はず,筈,名詞 普通名詞 一般 * * *,34,16
いや,いや,否,感動詞 一般 * * * *,34,15
さ,さ,さ,助詞 終助詞 * * * *,34,15
とき,とき,時,名詞 普通名詞 副詞可能 * * *,34,15
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,34,15
う,う,うう,感動詞 一般 * * * *,34,14
軍,軍,軍,名詞 普通名詞 一般 * * *,34,12
一同,一同,一同,名詞 普通名詞 一般 * * *,34,9
街,街,街,名詞 普通名詞 一般 * * *,34,7
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,33,16
わけ,わけ,訳,名詞 普通名詞 一般 * * *,33,14
あれ,あれ,彼れ,代名詞 * * * * *,32,14
より,より,より,助詞 格助詞 * * * *,32,14
ずっと,ずっと,ずっと,副詞 * * * * *,32,10
アルシング,アルシング,アルシング,名詞 普通名詞 一般 * * *,32,7
え,え,えっ,感動詞 一般 * * * *,31,15
でしょう,です,です,助動詞 * * * 助動詞-デス 意志推量形,31,15
そんな,そんな,そんな,形状詞 一般 * * * *,31,14
ナナ,ナナ,ナナ,名詞 固有名詞 人名 一般 * *,31,14
フッ,フッ,ふっ,副詞 * * * * *,31,14
人間,人間,人間,名詞 普通名詞 一般 * * *,31,13
すべて,すべて,全て,名詞 普通名詞 副詞可能 * * *,31,12
キャー,キャー,きゃあ,感動詞 一般 * * * *,31,12
曹長,曹長,曹長,名詞 普通名詞 一般 * * *,31,9
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,31,7
軍曹,軍曹,軍曹,名詞 普通名詞 一般 * * *,31,5
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,30,18
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,30,15
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,30,14
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,30,13
伝説,伝説,伝説,名詞 普通名詞 一般 * * *,30,9
アビス,アビス,アビス,名詞 普通名詞 一般 * * *,30,8
隊長,隊長,隊長,名詞 普通名詞 一般 * * *,30,8
阿久井,阿久井,阿久井,名詞 固有名詞 人名 姓 * *,30,7
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,29,15
なんか,なんか,なんか,助詞 副助詞 * * * *,29,14
やめ,やめる,やめる,動詞 一般 * * 下一段-マ行 連用形-一般,29,13
兄さん,兄さん,兄さん,名詞 普通名詞 一般 * * *,29,13
し,し,し,助詞 接続助詞 * * * *,29,12
手,手,手,名詞 普通名詞 助数詞可能 * * *,29,11
私たち,私たち,私達,名詞 普通名詞 一般 * * *,29,10
未来,未来,未来,名詞 普通名詞 一般 * * *,29,4
早く,早い,早い,形容詞 一般 * * 形容詞 連用形-一般,28,16
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,28,11
お願い,お願い,御願い,名詞 普通名詞 サ変可能 * * *,28,10
園原,園原,園原,名詞 固有名詞 人名 姓 * *,28,10
者,者,者,名詞 普通名詞 一般 * * *,28,10
あたし,あたし,私,代名詞 * * * * *,28,8
へ,へ,へ,助詞 格助詞 * * * *,27,15
ハッ,ハッ,はっ,感動詞 一般 * * * *,27,14
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,27,12
くん,くん,君,接尾辞 名詞的 一般 * * *,27,10
