Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2002,8
は,は,は,助詞 係助詞 * * * *,1612,8
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1387,8
に,に,に,助詞 格助詞 * * * *,1279,8
が,が,が,助詞 格助詞 * * * *,1200,8
を,を,を,助詞 格助詞 * * * *,1180,8
て,て,て,助詞 接続助詞 * * * *,1172,8
も,も,も,助詞 係助詞 * * * *,737,8
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,632,8
と,と,と,助詞 格助詞 * * * *,620,8
で,で,で,助詞 格助詞 * * * *,601,8
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,582,8
カイジ,カイジ,カイジ,名詞 固有名詞 人名 名 * *,556,8
か,か,か,助詞 終助詞 * * * *,483,8
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,483,8
ん,ん,の,助詞 準体助詞 * * * *,453,8
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,378,8
こと,こと,こと,名詞 普通名詞 一般 * * *,352,8
この,この,此の,連体詞 * * * * *,350,8
何,何,何,代名詞 * * * * *,333,8
の,の,の,助詞 準体助詞 * * * *,329,8
よ,よ,よ,助詞 終助詞 * * * *,309,8
な,な,な,助詞 終助詞 * * * *,302,8
その,その,其の,連体詞 * * * * *,294,8
か,か,か,助詞 副助詞 * * * *,269,8
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,265,8
それ,それ,其れ,代名詞 * * * * *,262,8
って,って,って,助詞 副助詞 * * * *,254,8
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,252,8
が,が,が,助詞 接続助詞 * * * *,244,8
俺,俺,俺,代名詞 * * * * *,239,8
ば,ば,ば,助詞 接続助詞 * * * *,238,8
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,233,8
そう,そう,そう,副詞 * * * * *,191,8
どう,どう,どう,副詞 * * * * *,184,8
これ,これ,此れ,代名詞 * * * * *,169,8
玉,玉,玉,名詞 普通名詞 助数詞可能 * * *,167,6
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,163,8
目,目,目,接尾辞 名詞的 一般 * * *,158,8
ああ,ああ,ああ,感動詞 一般 * * * *,149,8
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,149,8
さん,さん,さん,接尾辞 名詞的 一般 * * *,144,8
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,144,8
から,から,から,助詞 格助詞 * * * *,143,8
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,143,8
あの,あの,彼の,連体詞 * * * * *,140,8
もう,もう,もう,副詞 * * * * *,137,8
ここ,ここ,此処,代名詞 * * * * *,136,8
そんな,そんな,そんな,連体詞 * * * * *,134,8
今,今,今,名詞 普通名詞 副詞可能 * * *,130,8
から,から,から,助詞 接続助詞 * * * *,129,8
へ,へ,へ,助詞 格助詞 * * * *,128,8
金,金,金,名詞 普通名詞 一般 * * *,124,8
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,120,8
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,120,8
目,目,目,名詞 普通名詞 一般 * * *,118,8
段,段,段,名詞 普通名詞 助数詞可能 * * *,118,6
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,117,8
勝負,勝負,勝負,名詞 普通名詞 サ変可能 * * *,114,8
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,113,8
沼,沼,沼,名詞 普通名詞 一般 * * *,113,6
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,112,8
奴,奴,奴,名詞 普通名詞 一般 * * *,112,8
お前,お前,御前,代名詞 * * * * *,110,8
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,110,8
バカ,バカ,ばか,名詞 普通名詞 形状詞可能 * * *,109,8
ら,ら,等,接尾辞 名詞的 一般 * * *,106,8
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,104,8
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,104,8
