Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
に,に,に,助詞 格助詞 * * * *,63,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,62,1
の,の,の,助詞 格助詞 * * * *,62,1
は,は,は,助詞 係助詞 * * * *,59,1
て,て,て,助詞 接続助詞 * * * *,55,1
が,が,が,助詞 格助詞 * * * *,49,1
を,を,を,助詞 格助詞 * * * *,45,1
凪,凪,凪,名詞 普通名詞 一般 * * *,34,1
って,って,って,助詞 副助詞 * * * *,31,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,30,1
よ,よ,よ,助詞 終助詞 * * * *,29,1
も,も,も,助詞 係助詞 * * * *,28,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,27,1
で,で,で,助詞 格助詞 * * * *,27,1
ん,ん,の,助詞 準体助詞 * * * *,27,1
早乙女,早乙女,早乙女,名詞 固有名詞 人名 姓 * *,26,1
末真,末真,末真,名詞 固有名詞 地名 一般 * *,26,1
か,か,か,助詞 副助詞 * * * *,23,1
か,か,か,助詞 終助詞 * * * *,22,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,21,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,21,1
エコーズ,エコーズ,エコーズ,名詞 普通名詞 一般 * * *,20,1
こと,こと,こと,名詞 普通名詞 一般 * * *,19,1
と,と,と,助詞 格助詞 * * * *,18,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,18,1
ね,ね,ね,助詞 終助詞 * * * *,18,1
京子,京子,京子,名詞 固有名詞 人名 名 * *,18,1
何,何,何,代名詞 * * * * *,17,1
な,な,な,助詞 終助詞 * * * *,16,1
直子,直子,直子,名詞 固有名詞 人名 名 * *,15,1
あっ,あっ,あっ,感動詞 一般 * * * *,14,1
から,から,から,助詞 接続助詞 * * * *,14,1
合原,合原,合原,名詞 固有名詞 人名 姓 * *,14,1
百,百,100,名詞 数詞 * * * *,14,1
ああ,ああ,ああ,感動詞 一般 * * * *,13,1
そう,そう,そう,副詞 * * * * *,13,1
どう,どう,どう,副詞 * * * * *,13,1
の,の,の,助詞 終助詞 * * * *,13,1
の,の,の,助詞 準体助詞 * * * *,13,1
間,間,間,接尾辞 名詞的 副詞可能 * * *,13,1
霧,霧,霧,名詞 普通名詞 一般 * * *,13,1
その,その,其の,連体詞 * * * * *,12,1
わ,わ,わ,助詞 終助詞 * * * *,12,1
あ,あ,あっ,感動詞 一般 * * * *,11,1
お前,お前,御前,代名詞 * * * * *,11,1
