Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,982,11
は,は,は,助詞 係助詞 * * * *,924,11
に,に,に,助詞 格助詞 * * * *,824,11
て,て,て,助詞 接続助詞 * * * *,690,11
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,641,11
も,も,も,助詞 係助詞 * * * *,566,11
が,が,が,助詞 格助詞 * * * *,555,11
で,で,で,助詞 格助詞 * * * *,507,11
よ,よ,よ,助詞 終助詞 * * * *,464,11
ん,ん,の,助詞 準体助詞 * * * *,451,11
と,と,と,助詞 格助詞 * * * *,433,11
を,を,を,助詞 格助詞 * * * *,391,11
か,か,か,助詞 終助詞 * * * *,371,11
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,346,11
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,340,11
の,の,の,助詞 準体助詞 * * * *,311,11
何,何,何,代名詞 * * * * *,292,11
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,286,11
ね,ね,ね,助詞 終助詞 * * * *,273,11
美里,美里,美里,名詞 固有名詞 地名 一般 * *,266,11
って,って,って,助詞 副助詞 * * * *,236,11
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,230,11
長谷川,長谷川,長谷川,名詞 固有名詞 人名 姓 * *,228,11
な,な,な,助詞 終助詞 * * * *,226,11
川浜,川浜,川浜,名詞 固有名詞 人名 姓 * *,187,11
か,か,か,助詞 副助詞 * * * *,181,11
さん,さん,さん,接尾辞 名詞的 一般 * * *,181,11
及川,及川,及川,名詞 固有名詞 人名 姓 * *,166,8
こと,こと,こと,名詞 普通名詞 一般 * * *,160,11
から,から,から,助詞 接続助詞 * * * *,158,11
マリー,マリー,マリー,名詞 固有名詞 人名 一般 * *,146,4
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,143,11
たち,たち,達,接尾辞 名詞的 一般 * * *,138,11
私,私,私,代名詞 * * * * *,137,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,122,11
の,の,の,助詞 終助詞 * * * *,121,10
〜,〜,〜,補助記号 一般 * * * *,118,11
けど,けど,けれど,助詞 接続助詞 * * * *,113,11
そう,そう,そう,副詞 * * * * *,112,11
お,お,御,接頭辞 * * * * *,110,11
から,から,から,助詞 格助詞 * * * *,108,11
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,106,11
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,104,11
俺,俺,俺,代名詞 * * * * *,104,11
樹,樹,樹,名詞 普通名詞 一般 * * *,104,9
それ,それ,其れ,代名詞 * * * * *,103,11
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,99,11
沢木,沢木,沢木,名詞 固有名詞 人名 姓 * *,98,11
この,この,此の,連体詞 * * * * *,94,11
わ,わ,わ,助詞 終助詞 * * * *,93,11
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,92,11
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,92,11
・,・,・,補助記号 一般 * * * *,90,11
武藤,武藤,武藤,名詞 固有名詞 人名 姓 * *,86,9
君,君,君,接尾辞 名詞的 一般 * * *,84,11
ら,ら,等,接尾辞 名詞的 一般 * * *,83,11
