Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1689,23
入間,入間,入間,名詞 固有名詞 地名 一般 * *,1633,23
は,は,は,助詞 係助詞 * * * *,1552,23
に,に,に,助詞 格助詞 * * * *,1369,23
て,て,て,助詞 接続助詞 * * * *,1251,23
を,を,を,助詞 格助詞 * * * *,993,23
が,が,が,助詞 格助詞 * * * *,977,23
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,905,23
も,も,も,助詞 係助詞 * * * *,760,23
と,と,と,助詞 格助詞 * * * *,694,23
で,で,で,助詞 格助詞 * * * *,681,23
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,668,23
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,536,23
クララ,クララ,クララ,名詞 固有名詞 人名 一般 * *,510,23
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,495,23
の,の,の,助詞 準体助詞 * * * *,492,23
か,か,か,助詞 終助詞 * * * *,491,23
よ,よ,よ,助詞 終助詞 * * * *,483,23
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,433,23
ね,ね,ね,助詞 終助詞 * * * *,397,23
アスモデウス,アスモデウス,アスモデウス,名詞 普通名詞 一般 * * *,388,23
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,386,23
な,な,な,助詞 終助詞 * * * *,343,23
ん,ん,の,助詞 準体助詞 * * * *,337,23
〜,〜,〜,補助記号 一般 * * * *,328,23
生徒,生徒,生徒,名詞 普通名詞 一般 * * *,312,21
お,お,御,接頭辞 * * * * *,309,23
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,274,23
何,何,何,代名詞 * * * * *,273,23
か,か,か,助詞 副助詞 * * * *,271,23
様,様,様,接尾辞 名詞的 一般 * * *,268,23
って,って,って,助詞 副助詞 * * * *,258,23
私,私,私,代名詞 * * * * *,255,23
こと,こと,こと,名詞 普通名詞 一般 * * *,240,23
あっ,あっ,あっ,感動詞 一般 * * * *,235,23
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,231,23
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,229,23
君,君,君,接尾辞 名詞的 一般 * * *,229,22
カルエゴ,カルエゴ,カルエゴ,名詞 普通名詞 一般 * * *,228,18
僕,僕,僕,代名詞 * * * * *,222,23
えっ,えっ,えっ,感動詞 一般 * * * *,217,23
から,から,から,助詞 接続助詞 * * * *,210,23
サリバン,サリバン,サリバン,名詞 固有名詞 人名 一般 * *,209,21
たち,たち,達,接尾辞 名詞的 一般 * * *,205,22
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,204,23
アメリ,アメリ,アメリ,名詞 固有名詞 人名 一般 * *,201,19
これ,これ,此れ,代名詞 * * * * *,191,23
この,この,此の,連体詞 * * * * *,181,22
さん,さん,さん,接尾辞 名詞的 一般 * * *,181,22
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,178,23
キリヲ,キリヲ,キリヲ,名詞 普通名詞 一般 * * *,176,9
魔,魔,魔,名詞 普通名詞 一般 * * *,171,23
･,・,・,補助記号 一般 * * * *,171,22
それ,それ,其れ,代名詞 * * * * *,164,22
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,164,10
ナレーション,ナレーション,ナレーション,名詞 普通名詞 一般 * * *,159,23
はい,はい,はい,感動詞 一般 * * * *,153,23
悪魔,悪魔,悪魔,名詞 普通名詞 一般 * * *,153,23
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,147,23
から,から,から,助詞 格助詞 * * * *,147,23
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,141,23
バトラ,バトラ,バトラ,名詞 普通名詞 一般 * * *,140,14
あ,あ,あっ,感動詞 一般 * * * *,135,22
そう,そう,そう,副詞 * * * * *,132,23
ば,ば,ば,助詞 接続助詞 * * * *,132,23
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,131,22
あの,あの,彼の,連体詞 * * * * *,129,23
どう,どう,どう,副詞 * * * * *,128,23
うん,うん,うん,感動詞 一般 * * * *,126,23
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,123,22
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,121,23
その,その,其の,連体詞 * * * * *,120,23
ああ,ああ,ああ,感動詞 一般 * * * *,119,22
サブノック,サブノック,サブノック,名詞 普通名詞 一般 * * *,118,17
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,113,23
よう,よう,様,形状詞 助動詞語幹 * * * *,113,23
が,が,が,助詞 接続助詞 * * * *,113,22
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,112,21
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,111,23
くろ,くろ,黒,名詞 普通名詞 一般 * * *,109,4
けど,けど,けれど,助詞 接続助詞 * * * *,108,23
ち,ち,ち,名詞 普通名詞 一般 * * *,108,21
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,105,23
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,104,23
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,104,23
人間,人間,人間,名詞 普通名詞 一般 * * *,103,21
もう,もう,もう,副詞 * * * * *,101,23
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,101,22
学校,学校,学校,名詞 普通名詞 一般 * * *,100,21
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,94,23
む,む,む,助動詞 * * * 文語助動詞-ム 終止形-一般,94,4
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,93,23
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,93,22
の,の,の,助詞 終助詞 * * * *,93,21
