Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
に,に,に,助詞 格助詞 * * * *,2734,30
の,の,の,助詞 格助詞 * * * *,2713,30
は,は,は,助詞 係助詞 * * * *,2446,30
を,を,を,助詞 格助詞 * * * *,2034,30
て,て,て,助詞 接続助詞 * * * *,1995,30
が,が,が,助詞 格助詞 * * * *,1940,30
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1614,30
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1109,30
と,と,と,助詞 格助詞 * * * *,1062,30
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1051,30
で,で,で,助詞 格助詞 * * * *,986,30
も,も,も,助詞 係助詞 * * * *,962,30
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,876,30
か,か,か,助詞 終助詞 * * * *,830,30
よ,よ,よ,助詞 終助詞 * * * *,762,30
の,の,の,助詞 準体助詞 * * * *,754,30
ん,ん,の,助詞 準体助詞 * * * *,710,30
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,475,30
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,420,29
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,415,30
一騎,一騎,一騎,名詞 普通名詞 一般 * * *,413,30
な,な,な,助詞 終助詞 * * * *,407,30
俺,俺,俺,代名詞 * * * * *,407,28
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,397,30
何,何,何,代名詞 * * * * *,392,30
って,って,って,助詞 副助詞 * * * *,382,29
お前,お前,御前,代名詞 * * * * *,369,27
島,島,島,名詞 普通名詞 一般 * * *,359,30
私,私,私,代名詞 * * * * *,355,30
事,事,事,名詞 普通名詞 一般 * * *,352,28
ね,ね,ね,助詞 終助詞 * * * *,351,30
か,か,か,助詞 副助詞 * * * *,342,30
あ,あ,あっ,感動詞 一般 * * * *,336,29
の,の,の,助詞 終助詞 * * * *,309,30
敵,敵,敵,名詞 普通名詞 一般 * * *,309,26
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,305,30
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,300,29
それ,それ,其れ,代名詞 * * * * *,298,30
